"","varcode","nro","wave","russian","english"
"124","pb9.2.1",124,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"125","pb9.2.23",125,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"126","pb9.3",126,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"127","pb9.4",127,"h20","Какого пола этот человек?","What sex is this person?"
"128","pb9.5",128,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"129","pb9.9.1",129,"h20","Кем 9-ый член семьи приходится 1-му члену семьи?","Who ninth member of the family has to 1st family member?"
"130","pb9.9.2",130,"h20","Кем 9-ый член семьи приходится 2-му члену семьи?","Who ninth member of the family has to 2nd family member?"
"131","pb9.9.3",131,"h20","Кем 9-ый член семьи приходится 3-му члену семьи?","Who ninth member of the family has to 3rd family member?"
"132","pb9.9.4",132,"h20","Кем 9-ый член семьи приходится 4-му члену семьи?","Who ninth member of the family has to 4th member of the family?"
"133","pb9.9.5",133,"h20","Кем 9-ый член семьи приходится 5-му члену семьи?","Who ninth member of the family has to 5th member of the family?"
"134","pb9.9.6",134,"h20","Кем 9-ый член семьи приходится 6-му члену семьи?","Who ninth member of the family has to the 6th member of the family?"
"135","pb9.9.7",135,"h20","Кем 9-ый член семьи приходится 7-му члену семьи?","Who ninth member of the family has to 7th member of the family?"
"136","pb9.9.8",136,"h20","Кем 9-ый член семьи приходится 8-му члену семьи?","Who ninth member of the family has to 8th member of the family?"
"137","pb10.1",137,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"138","pidind10",138,"h20","индивидуальный номер 10-го члена","individual number 10th member"
"139","pb10.2.1",139,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"140","pb102.23",140,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"141","pb10.3",141,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"142","pb10.4",142,"h20","Какого пола этот человек?","What sex is this person?"
"143","pb10.5",143,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"144","pb10.9.1",144,"h20","Кем 10-ый член семьи приходится 1-му члену семьи?","Who the 10th member of the family has to 1st family member?"
"145","pb10.9.2",145,"h20","Кем 10-ый член семьи приходится 2-му члену семьи?","Who the 10th member of the family has to 2nd family member?"
"146","pb10.9.3",146,"h20","Кем 10-ый член семьи приходится 3-му члену семьи?","Who the 10th member of the family has to 3rd family member?"
"147","pb10.9.4",147,"h20","Кем 10-ый член семьи приходится 4-му члену семьи?","Who the 10th member of the family has to 4th member of the family?"
"148","pb10.9.5",148,"h20","Кем 10-ый член семьи приходится 5-му члену семьи?","Who the 10th member of the family has to 5th member of the family?"
"149","pb10.9.6",149,"h20","Кем 10-ый член семьи приходится 6-му члену семьи?","Who the 10th member of the family has to 6th family member?"
"150","pb10.9.7",150,"h20","Кем 10-ый член семьи приходится 7-му члену семьи?","Who the 10th member of the family has to 7th member of the family?"
"151","pb10.9.8",151,"h20","Кем 10-ый член семьи приходится 8-му члену семьи?","Who the 10th member of the family has to 8th member of the family?"
"152","pb10.9.9",152,"h20","Кем 10-ый член семьи приходится 9-му члену семьи?","Who the 10th member of the family has to the 9th member of the family?"
"153","pb11.1",153,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"154","pidind11",154,"h20","индивидуальный номер 11-го члена","individual number 11th member"
"155","pb11.2.1",155,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"156","pb112.23",156,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"157","pb11.3",157,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"158","pb11.4",158,"h20","Какого пола этот человек?","What sex is this person?"
"159","pb11.5",159,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"160","pb11.9.1",160,"h20","Кем 11-ый член семьи приходится 1-му члену семьи?","Who the 11th member of the family has to 1st family member?"
"161","pb11.9.2",161,"h20","Кем 11-ый член семьи приходится 2-му члену семьи?","Who the 11th member of the family has to 2nd family member?"
"162","pb11.9.3",162,"h20","Кем 11-ый член семьи приходится 3-му члену семьи?","Who the 11th member of the family has to 3rd family member?"
"163","pb11.9.4",163,"h20","Кем 11-ый член семьи приходится 4-му члену семьи?","Who the 11th member of the family has to 4th member of the family?"
"164","pb11.9.5",164,"h20","Кем 11-ый член семьи приходится 5-му члену семьи?","Who the 11th member of the family has to 5th member of the family?"
"165","pb11.9.6",165,"h20","Кем 11-ый член семьи приходится 6-му члену семьи?","Who the 11th member of the family has to 6th family member?"
"166","pb11.9.7",166,"h20","Кем 11-ый член семьи приходится 7-му члену семьи?","Who the 11th member of the family has to 7th member of the family?"
"167","pb11.9.8",167,"h20","Кем 11-ый член семьи приходится 8-му члену семьи?","Who the 11th member of the family has to 8th member of the family?"
"168","pb11.9.9",168,"h20","Кем 11-ый член семьи приходится 9-му члену семьи?","Who the 11th member of the family has to the 9th member of the family?"
"169","pb119.10",169,"h20","Кем 11-ый член семьи приходится 10-му члену семьи?","Who the 11th member of the family has to 10th member of the family?"
"170","pb12.1",170,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"171","pidind12",171,"h20","индивидуальный номер 12-го члена","individual number 12th member"
"172","pb12.2.1",172,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"173","pb122.23",173,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"174","pb12.3",174,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"175","pb12.4",175,"h20","Какого пола этот человек?","What sex is this person?"
"176","pb12.5",176,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"177","pb12.9.1",177,"h20","Кем 12-ый член семьи приходится 1-му члену семьи?","Who twelfth member of the family has to 1st family member?"
"178","pb12.9.2",178,"h20","Кем 12-ый член семьи приходится 2-му члену семьи?","Who twelfth member of the family has to 2nd family member?"
"179","pb12.9.3",179,"h20","Кем 12-ый член семьи приходится 3-му члену семьи?","Who twelfth member of the family has to 3rd family member?"
"180","pb12.9.4",180,"h20","Кем 12-ый член семьи приходится 4-му члену семьи?","Who twelfth member of the family has to 4th member of the family?"
"181","pb12.9.5",181,"h20","Кем 12-ый член семьи приходится 5-му члену семьи?","Who twelfth member of the family has to 5th member of the family?"
"182","pb12.9.6",182,"h20","Кем 12-ый член семьи приходится 6-му члену семьи?","Who twelfth member of the family has to 6th family member?"
"183","pb12.9.7",183,"h20","Кем 12-ый член семьи приходится 7-му члену семьи?","Who twelfth member of the family has to 7th member of the family?"
"184","pb12.9.8",184,"h20","Кем 12-ый член семьи приходится 8-му члену семьи?","Who twelfth member of the family has to 8th member of the family?"
"185","pb12.9.9",185,"h20","Кем 12-ый член семьи приходится 9-му члену семьи?","Who twelfth member of the family has to the 9th member of the family?"
"186","pb129.10",186,"h20","Кем 12-ый член семьи приходится 10-му члену семьи?","Who twelfth member of the family has to 10th member of the family?"
"187","pb129.11",187,"h20","Кем 12-ый член семьи приходится 11-му члену семьи?","Who twelfth member of the family for 11 th member of the family?"
"188","pb13.1",188,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"189","pidind13",189,"h20","индивидуальный номер 13-го члена","individual number 13th member"
"190","pb13.2.1",190,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"191","pb132.23",191,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"192","pb13.3",192,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"193","pb13.4",193,"h20","Какого пола этот человек?","What sex is this person?"
"194","pb13.5",194,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"195","pb13.9.1",195,"h20","Кем 13-ый член семьи приходится 1-му члену семьи?","Who the 13th member of the family has to 1st family member?"
"196","pb13.9.2",196,"h20","Кем 13-ый член семьи приходится 2-му члену семьи?","Who the 13th member of the family has to 2nd family member?"
"197","pb13.9.3",197,"h20","Кем 13-ый член семьи приходится 3-му члену семьи?","Who the 13th member of the family has to 3rd family member?"
"198","pb13.9.4",198,"h20","Кем 13-ый член семьи приходится 4-му члену семьи?","Who the 13th member of the family has to 4th member of the family?"
"199","pb13.9.5",199,"h20","Кем 13-ый член семьи приходится 5-му члену семьи?","Who the 13th member of the family has to 5th member of the family?"
"200","pb13.9.6",200,"h20","Кем 13-ый член семьи приходится 6-му члену семьи?","Who the 13th member of the family has to 6th family member?"
"201","pb13.9.7",201,"h20","Кем 13-ый член семьи приходится 7-му члену семьи?","Who the 13th member of the family has to 7th member of the family?"
"202","pb13.9.8",202,"h20","Кем 13-ый член семьи приходится 8-му члену семьи?","Who the 13th member of the family has to 8th member of the family?"
"203","pb13.9.9",203,"h20","Кем 13-ый член семьи приходится 9-му члену семьи?","Who the 13th member of the family has to the 9th member of the family?"
"204","pb139.10",204,"h20","Кем 13-ый член семьи приходится 10-му члену семьи?","Who the 13th member of the family has to 10th member of the family?"
"205","pb139.11",205,"h20","Кем 13-ый член семьи приходится 11-му члену семьи?","Who the 13th member of the family for 11 th member of the family?"
"206","pb139.12",206,"h20","Кем 13-ый член семьи приходится 12-му члену семьи?","Who the 13th member of the family has to 12th member of the family?"
"207","pb14.1",207,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"208","pidind14",208,"h20","индивидуальный номер 14-го члена","individual number 14th member"
"209","pb14.2.1",209,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"210","pb142.23",210,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"211","pb14.3",211,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"212","pb14.4",212,"h20","Какого пола этот человек?","What sex is this person?"
"213","pb14.5",213,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"214","pb14.9.1",214,"h20","Кем 14-ый член семьи приходится 1-му члену семьи?","Who the 14th member of the family has to 1st family member?"
"215","pb14.9.2",215,"h20","Кем 14-ый член семьи приходится 2-му члену семьи?","Who the 14th member of the family has to 2nd family member?"
"216","pb14.9.3",216,"h20","Кем 14-ый член семьи приходится 3-му члену семьи?","Who the 14th member of the family has to 3rd family member?"
"217","pb14.9.4",217,"h20","Кем 14-ый член семьи приходится 4-му члену семьи?","Who the 14th member of the family has to 4th member of the family?"
"218","pb14.9.5",218,"h20","Кем 14-ый член семьи приходится 5-му члену семьи?","Who the 14th member of the family has to 5th member of the family?"
"219","pb14.9.6",219,"h20","Кем 14-ый член семьи приходится 6-му члену семьи?","Who the 14th member of the family has to 6th family member?"
"220","pb14.9.7",220,"h20","Кем 14-ый член семьи приходится 7-му члену семьи?","Who the 14th member of the family has to 7th member of the family?"
"221","pb14.9.8",221,"h20","Кем 14-ый член семьи приходится 8-му члену семьи?","Who the 14th member of the family has to 8th member of the family?"
"222","pb14.9.9",222,"h20","Кем 14-ый член семьи приходится 9-му члену семьи?","Who the 14th member of the family has to the 9th member of the family?"
"223","pb149.10",223,"h20","Кем 14-ый член семьи приходится 10-му члену семьи?","Who the 14th member of the family has to 10th member of the family?"
"224","pb149.11",224,"h20","Кем 14-ый член семьи приходится 11-му члену семьи?","Who the 14th member of the family for 11 th member of the family?"
"225","pb149.12",225,"h20","Кем 14-ый член семьи приходится 12-му члену семьи?","Who the 14th member of the family has to 12th member of the family?"
"226","pb149.13",226,"h20","Кем 14-ый член семьи приходится 13-му члену семьи?","Who the 14th member of the family for 13 th member of the family?"
"227","pb15.1",227,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"228","pidind15",228,"h20","индивидуальный номер 15-го члена","individual number 15th member"
"229","pb15.2.1",229,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"230","pb152.23",230,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"231","pb15.3",231,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"232","pb15.4",232,"h20","Какого пола этот человек?","What sex is this person?"
"233","pb15.5",233,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"234","pb15.9.1",234,"h20","Кем 15-ый член семьи приходится 1-му члену семьи?","Who the 15th member of the family has to 1st family member?"
"235","pb15.9.2",235,"h20","Кем 15-ый член семьи приходится 2-му члену семьи?","Who the 15th member of the family has to 2nd family member?"
"236","pb15.9.3",236,"h20","Кем 15-ый член семьи приходится 3-му члену семьи?","Who the 15th member of the family has to 3rd family member?"
"237","pb15.9.4",237,"h20","Кем 15-ый член семьи приходится 4-му члену семьи?","Who the 15th member of the family has to 4th member of the family?"
