nro,wave,varcode,russian,english
20,i20,hid_i,НОМЕР ИНДИВИДА В 12-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 12-th wave - IDENTIFICATION
21,i20,hid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА,Identification variables of the 12th round
22,i20,gid_i,НОМЕР ИНДИВИДА В 11-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 11-th wave - IDENTIFICATION
23,i20,gid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА,Identification variables Round 11
24,i20,fid_i,НОМЕР ИНДИВИДА В 10-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 10-th wave - IDENTIFICATION
25,i20,fid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА,Identification variables Round 10
26,i20,eid_i,НОМЕР ИНДИВИДА В 9-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER of individuals in the 9 th wave - IDENTIFICATION
27,i20,eid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА,Identification variables 9th round
28,i20,did_i,НОМЕР ИНДИВИДА В 8-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER of individuals in the 8-th wave - IDENTIFICATION
29,i20,did_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА,Identification variables Round 8
30,i20,cid_i,НОМЕР ИНДИВИДА В 7-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER of individuals in the 7-th wave - IDENTIFICATION
31,i20,cid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА,Identification variables Round 7
32,i20,bid_i,НОМЕР ИНДИВИДА В 6-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER of individuals in the 6-th wave - IDENTIFICATION
33,i20,bid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА,Identification variables 6th round
34,i20,aid_i,НОМЕР ИНДИВИДА В 5-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER of individuals in the 5th wave - IDENTIFICATION
35,i20,aid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА,Identification variables Round 5
36,i20,p_origsm,АДРЕС ПЕРВОНАЧАЛЬНОЙ ВЫБОРКИ? - в 20-й волне,ADDRESS original sample? - In the 20th wave
37,i20,p_inwgt,ПОСТСТРАТИФИКАЦИОННЫЙ ВЕС ДЛЯ ДАННОГО ИНДИВИДА В 20-Й ВОЛНЕ,POSTSTRATIFIKATSIONNY weight for a given individual in the 20-th wave
38,i20,region,Регион,region
39,i20,psu,ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА,PRIMARY UNIT SELECTION
40,i20,ssu,Вторичная единица отбора,The secondary sampling units
41,i20,status,ТИП НАСЕЛЕННОГО ПУНКТА,Type of settlement
42,i20,popul,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ,POPULATION
43,i20,p_int_y,Год проведения интервью - 20я волна,The year of the interview - 20ya wave
44,i20,p_born_m,МЕСЯЦ РОЖДЕНИЯ РЕБЕНКА - 20 ВОЛНА,MONTH Childbirth - 20 WAVE
45,i20,p_adult,Есть взрослый вопросник 20 волны?,There are 20 waves adult questionnaire?
46,i20,p_child,Есть детский вопросник 20 волны?,There is a children's questionnaire 20 waves?
47,i20,p_marst,СЕМЕЙНОЕ ПОЛОЖЕНИЕ - 20 ВОЛНА,MARITAL STATUS - 20 WAVE
48,i20,p_occup,ПРОФЕССИОНАЛЬНАЯ ГРУППА - 20 ВОЛНА,Professional groups - 20 WAVE
49,i20,p_educ,ОБРАЗОВАНИЕ (ПОДРОБНО): старше 14 лет,EDUCATION (details): over 14 years
50,i20,p_diplom,ЗАКОНЧЕННОЕ ОБРАЗОВАНИЕ (ГРУППА),Completed education (GROUP)
51,i20,y_educ,ГОД СБОРА ИНФОРМАЦИИ ПО ОБРАЗОВАНИЮ,VINTAGE information on education
52,i20,site,НОМЕР НАСЕЛЕННОГО ПУНКТА,NUMBER settlements
53,i20,ph3a,НОМЕР СЕМЬИ,FAMILY ROOM
54,i20,ph4,Номер члена семьи,Number of family members
55,i20,ph4.1,Респондент ранее участвовал(а) в исследовании?,Respondent has previously taken part (a) in the study?
56,i20,PH5,Пол респондента,Sex of the respondent
57,i20,ph6,Год рождения (=pj69.9c),Year of birth (= pj69.9c)
58,i20,ph7.1,Дата проведения интервью: число,Date of interview: the number of
59,i20,ph7.2,Дата проведения интервью: месяц,Date of interview: Month
60,i20,ph8a,Интервью продолжалось: часов и минут (часов),Interview continued: hours and minutes (hours)
61,i20,ph8b,Интервью продолжалось: часов и минут (минут),Interview continued: hours and minutes (minutes)
62,i20,i_year,Год сбора данные о миграции - раздел I,Vintage migration data - Section I
63,i20,PI1,Вы родились в другом населенном пункте или в том; где живете сейчас?,You were born in another location or in; where do you live now?
64,i20,PI2,В какой республике бывшего СССР Вы родились?,In some former Soviet republics were you born?
65,i20,PI3,Вы родились в городе; поселке городского типа или в селе; деревне; кишлаке; ауле?,You were born in the city; a small town or village; village; village; aul?
66,i20,pi3.1,Вы жили в другом населенном пункте - не в том; где Вы родились; более чем 6 месяцев подряд после того; как Вам исполнилось 14 лет; включая учебу; службу в армии и прочее?,You have lived in another village - not that; where you were born; more than 6 consecutive months thereafter; as you are at least 14 years of age; including studies; served in the army and so on?
67,i20,PI4,Кем Вы себя считаете по национальности? Я имею в виду не обязательно ту национальность; которая указана в Вашем паспорте,Who do you think you are by nationality? I do not mean necessarily that nationality; which is listed in your passport
68,i20,PI7,С какого года Вы живете в данном населенном пункте?,Since when do you live in this village?
69,i20,PI8,С какого года Вы постоянно живете в Российской Федерации?,When did you always live in the Russian Federation?
70,i20,PJ1,Ваше основное занятие в настоящее время. Вы сейчас:,Your main occupation now. You are:
71,i20,pj1.1.1,Насколько Вы удовлетворены или не удовлетворены Вашей работой в целом?,Are you satisfied or dissatisfied with your work in general?
72,i20,pj1.1.2,Насколько Вы удовлетворены или не удовлетворены условиями Вашего труда?,Are you satisfied or not satisfied with the terms of your work?
73,i20,pj1.1.3,Насколько Вы удовлетворены или не удовлетворены оплатой Вашего труда?,Are you satisfied or dissatisfied with the payment of your work?
74,i20,pj1.1.4,Насколько Вы удовлетворены или не удовлетворены возможностями Вашего профессионального роста?,Are you satisfied or dissatisfied with your career opportunities?
75,i20,pj2code,Код профессии по ISCO88 основной работы,Code profession ISCO88 basic work
76,i20,pj4.1,В какой отрасли Вы работаете на этой работе?,In what industry you work in this job?
77,i20,pj5a,С какого года Вы работаете на этом предприятии? Если Вы увольнялись и снова возвращались на то же предприятие; назовите дату последнего возвращения (ГОД),When did you work for this company? If you leave and come back again to the same company; name the date of the last return (year)
78,i20,pj5b,С какого месяца Вы работаете на этом предприятии? Если Вы увольнялись и снова возвращались на то же предприятие; назовите дату последнего возвращения (МЕСЯЦ),From what month you work at this business? If you leave and come back again to the same company; name the date of the last return (months)
79,i20,pj5.2,Как Вы нашли эту Вашу основную работу?,How did you find this your main job?
80,i20,pj6,У Вас есть подчиненные на этой работе?,Do you have a slave in this job?
81,i20,pj6.0,Сколько у Вас подчиненных? Пожалуйста; посчитайте всех Ваших подчиненных; а не только тех; кто находится в Вашем непосредственном подчинении,How you subordinates? Please; count all your subordinates; not just those; who is your direct submission
82,i20,pj6.1a,Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (ЧАСОВ),What is the average continuing your normal working day on the job: hours and minutes? (Hours)
83,i20,pj6.1b,Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (МИНУТ),What is the average continuing your normal working day on the job: hours and minutes? (MIN)
84,i20,pj6.2,Сколько часов в среднем продолжается Ваша обычная рабочая неделя?,How many hours on average lasts your usual working week?
85,i20,pj7,Вы работали по основному месту работы в течение последних 30 дней?,You worked on the main job in the last 30 days?
86,i20,pj7.1,Сколько всего рабочих дней было у Вас за последние 30 дней?,How many days did you have in the last 30 days?
87,i20,pj8,Сколько часов Вы фактически отработали по основному месту работы в течение последних 30 дней?,How many hours you actually worked on the main job in the last 30 days?
88,i20,pj8.1,Скажите; пожалуйста; Вы работали по основной работе дома в течение последних 30 дней?,tell me; please; You worked on the main job at home in the last 30 days?
89,i20,pj8.2,Сколько часов Вы фактически занимались этой работой дома в течение последних 30 дней?,How many hours did you actually doing this work at home in the last 30 days?
90,i20,pj8.3,Скажите; пожалуйста; Вы учитывали эти часы; когда называли общую продолжительность рабочего времени за последние 30 дней?,tell me; please; You take into account those hours; called when the total duration of working time in the last 30 days?
91,i20,pj9,По основному месту работы в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли?,The main job in the last 30 days you have received any money as salary; Prize; subsidies; benefits; income; profits?
92,i20,pj10,Сколько денег в течение последних 30 дней Вы получили по основному месту работы после вычета налогов и отчислений? Если все или часть денег Вы получили в иностранной валюте; переведите все в рубли и назовите общую сумму,How much money in the last 30 days you will get the main job after taxes and deductions? If all or part of the money you received in foreign currency; turn all into rubles and name totaling
93,i20,pj10.1,Как Вы думаете; какой процент этих денег был проведен официально; то есть с них были уплачены налоги?,"What do you think; what percentage of the money was held officially; that is, they had paid taxes?"
94,i20,pj10.2,Если Вы получали премию по основному месту работы в течение последних 30 дней; то сколько рублей Вы получили?,If you have received the award in the main job in the last 30 days; how many rubles you get?
95,i20,pj11,На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная,In this job you work in the enterprise; in the organization? We mean any organization; which employs more than one person; regardless; it private or public
96,i20,pj11.1,Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту?,"You feature on this work officially; that is, the workbook; employment agreement; contract?"
97,i20,pj11.2,Почему Вы не оформлены на этой работе официально?,Why do not you feature on this work officially?
98,i20,pj13,Сколько человек работает на Вашем предприятии? Если не знаете точно; скажите примерно,How many people work at your company? If you do not know exactly; tell me about
99,i20,pj13.2,За последние 12 месяцев какова была Ваша среднемесячная зарплата на этом предприятии после вычета налогов - независимо от того; платят Вам ее вовремя или нет?,"Over the past 12 months, what was your average monthly salary at the plant after taxes - no matter; You pay it on time or not?"
100,i20,pj14,В настоящее время Ваше предприятие осталось должно Вам какие-то деньги; которые по разным причинам не выплатило вовремя?,"Currently, your company owes you some money; who for various reasons are not paid on time?"
101,i20,pj15,Сколько всего денег Вам не доплатили?,How much money you do not pay extra?
102,i20,pj16,За сколько месяцев предприятие не доплатило Вам эти деньги?,"For many months, the company does not pay you the money?"
103,i20,pj18.2,В течение последних 12 месяцев Вам уменьшали зарплату или сокращали часы работы не по Вашему желанию?,In the last 12 months you have reduced wages or reduced work hours not according to your wishes?
104,i20,pj19,В течение последних 12 месяцев Вас отправляла администрация в вынужденный неоплачиваемый отпуск?,In the last 12 months you sent the administration a forced unpaid leave?
105,i20,pj21a,В течение последних 12 месяцев Вы были в оплачиваемом отпуске?,"During the past 12 months, have you been in paid vacation?"
106,i20,pj21b,Сколько всего календарных дней продолжался или продолжается этот отпуск?,How many days continued or resumed this holiday?
107,i20,pj21.3,Является ли производство; на котором Вы работаете; вредным или опасным; т.е. дающим Вам право на досрочное назначение трудовой пенсии; на дополнительные выплаты или льготы?,Is production; where you work; harmful or dangerous; ie giving you the right to early appointment of labor pension; additional payments or benefits?
108,i20,pj23,Является государство владельцем или совладельцем Вашего предприятия; организации?,The State is the owner or co-owner of your company; the organization?
109,i20,pj24,Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица?,Is the owner or co-owners of your company; organization of foreign companies or foreign individuals?
110,i20,pj25,Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы?,"Is the owner or co-owners of your company; organization of any Russian private person; collective enterprises, or Russian private firms?"
111,i20,pj26,А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете?,Do you personally own or co-owner of the company; where do you work?
112,i20,pj29,Как Вы считаете; на этой работе Вы занимаетесь предпринимательской деятельностью?,What do you think; this work you engage in entrepreneurial activity?
113,i20,pj308,Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на основной работе; было создано:,Please; tell; company or organization; you work in the main job; was created
114,i20,pj309,Форма собственности предприятия или организации; в которой Вы работаете на основной работе; с тех пор:,Ownership of the enterprise or organization; you work in the main job; since then:
115,i20,pj22,Представьте себе не очень приятную картину: предприятие; где Вы работаете; по каким-то причинам закроется; и все работники уволены. Насколько Вы уверены в том; что сможете найти работу не хуже той; на которой работаете сейчас?,"Imagine not very pleasant picture: the enterprise; where you work; for whatever reasons, will close; and all employees laid off. How confident are you that; that will be able to find a job is not worse than that; on which work now?"
116,i20,pj29.0,На этой работе Вы занимаетесь...?,In this job you do ...?
117,i20,pj31,Насколько Вас беспокоит то; что Вы можете потерять работу?,As far as you are concerned; you could lose your job?
118,i20,pj29.1,Вы сменили место работы или профессию по сравнению с ноябрем 2009 года; или все осталось по-прежнему?,You changed jobs or profession compared to November 2009; or all remained the same?
119,i20,pj29.2.1,После ноября 2010 года Вы продвинулись по службе; получили более высокую должность?,Since November 2010 you moved to the service; received a higher position?
120,i20,pj29.2.2,После ноября 2010 года Вы перешли работать в другое структурное подразделение - отдел; цех и т.п.?,"Since November 2010 you went to work in other business units - Department; shop, etc.?"
121,i20,pj29.2.3,После ноября 2010 года Вы перешли на более низкую должность?,Since November 2010 you moved to a lower position?
122,i20,pj32,У Вас есть еще какая-нибудь работа?,Do you still have any work?
123,i20,pj32.1,Возможно; у Вас есть еще работа по совместительству; временная работа по контракту; соглашению; договору подряда; гранту; или индивидуальная работа по лицензии или без нее?,possible; You still have a job-sharing; temporary work under the contract; agreement; Contract; grant; or self-employed person under license or without her?
124,i20,pj33code,Код профессии по ISCO88 дополнительной работы,Code profession ISCO88 additional work
125,i20,pj35.1,В какой отрасли Вы работаете на этой работе?,In what industry you work in this job?
126,i20,pj36.1a,Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (ЧАСОВ),The average number of hours and minutes continues your typical day in this job? (Hours)
127,i20,pj36.1b,Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (МИНУТ),The average number of hours and minutes continues your typical day in this job? (MIN)
128,i20,pj36.2,А сколько часов в среднем продолжается Ваша обычная рабочая неделя?,How many hours on average lasts your usual working week?
129,i20,pj37,Вы работали на этой работе в течение последних 30 дней?,You've worked at this job in the last 30 days?
130,i20,pj38,Сколько часов Вы фактически отработали на этой работе в течение последних 30 дней?,How many hours you actually worked at this job in the last 30 days?
131,i20,pj39,На той работе; о которой мы сейчас говорим; в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли?,On the work; about which we are talking; in the last 30 days you get some amount of money as salary; Prize; subsidies; benefits; income; profits?
132,i20,pj40,Сколько денег в течение последних 30 дней Вы получили на этой работе после вычета налогов? Если все или часть денег Вы получили не в рублях; а в иностранной валюте; переведите  все в рубли и назовите общую сумму,How much money in the last 30 days you got this job after taxes? If all or part of the money you received is not in rubles; and in foreign currency; turn all into rubles and name totaling
133,i20,pj41,На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная,In this job you work in the enterprise; in the organization? We mean any organization; which employs more than one person; regardless; it private or public
134,i20,pj41.1,Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту?,"You feature on this work officially; that is, the workbook; employment agreement; contract?"
135,i20,pj41.2,Почему Вы не оформлены на этой работе официально?,Why do not you feature on this work officially?
136,i20,pj313,Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на этой работе; было создано:,Please; tell; company or organization; you work at this job; was created
137,i20,pj314,Форма собственности предприятия или организации; в которой Вы работаете на этой работе; с тех пор:,Ownership of the enterprise or organization; you work at this job; since then:
138,i20,pj43,Сколько человек работает на этом предприятии? Если не знаете точно; скажите примерно,How many people work at the plant? If you do not know exactly; tell me about
139,i20,pj49,Является государство владельцем или совладельцем Вашего предприятия; организации?,The State is the owner or co-owner of your company; the organization?
140,i20,pj50,Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица?,Is the owner or co-owners of your company; organization of foreign companies or foreign individuals?
141,i20,pj51,Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы?,"Is the owner or co-owners of your company; organization of any Russian private person; collective enterprises, or Russian private firms?"
142,i20,pj52,А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете?,Do you personally own or co-owner of the company; where do you work?
143,i20,pj56,В течение последних 30 дней Вы занимались (еще) какой-нибудь работой; за которую Вам заплатили или должны заплатить?,Over the past 30 days did you do (yet) any work; for which you have paid or have to pay?
144,i20,pj56.11c,Код профессии по ISCO88 первого случайного заработка,Code of the profession for the first random ISCO88 earnings
145,i20,pj56.12c,Код профессии по ISCO88 второго случайного заработка,Code profession ISCO88 second random earnings
146,i20,pj56.13c,Код профессии по ISCO88 третьего случайного заработка,Code profession ISCO88 third odd jobs
147,i20,pj57,Сколько всего денег в течение последних 30 дней Вам заплатили за всю эту работу? Если оплата производилась в неденежной форме; оцените; сколько это; примерно; будет в рублях?,How much money in the last 30 days you paid for all this work? If payment is made in kind; vote; how much it; about; will be in rubles?
148,i20,pj58,Для Вас это был случайный заработок или Вы часто занимаетесь такой работой и регулярно получаете за это деньги?,"For you, this was a random earnings or you often do this kind of work and regularly get money for it?"
149,i20,pj59,Сколько часов за последние 30 дней Вы занимались всей этой работой?,How many hours in the last 30 days did you do all this work?
150,i20,pj59.1,Скажите; эта работа была оформлена официально; например; по договору или контракту; лицензии?,tell me; This work has been issued officially; for example; under the agreement or contract; Licenses?
151,i20,pj60,Сколько всего денег в течение последних 30 дней Вы лично получили; считая все: зарплату; пенсии; премии; прибыли; пособия; материальную помощь; случайные заработки и другие денежные поступления,How much money in the last 30 days you personally received; Considering all: salary; pensions; Prize; profits; benefits; financial assistance; odd jobs and other cash receipts
152,i20,pj60.4a1,В течение последних 12 месяцев Вы работали на дополнительной работе?,During the past 12 months have you worked for the extra work?
153,i20,pj60.4a2,В течение последних 12 месяцев Вы выращивали что-то на своем участке на продажу или на обмен?,"During the past 12 months, have you grown something on the site for sale or exchange?"
154,i20,pj60.4a3,В течение последних 12 месяцев Вы разводили скот; птицу; рыб; другую живность на продажу?,"During the past 12 months, have you raised cattle; poultry; fish; other animals for sale?"
155,i20,pj60.4a7,В течение последних 12 месяцев Вы сдавали внаем квартиру; комнату; дачу; гараж; автомобиль?,"During the past 12 months, have you rented an apartment; room; cottage; garage; a car?"
156,i20,pj60.4a8,В течение последних 12 месяцев Вы клали деньги в банк под проценты; давали деньги в займы под проценты?,"During the past 12 months, have you put money in the bank at interest; given money in loans at interest?"
157,i20,pj60.4a9,В течение последних 12 месяцев Вы оказывали услуги за плату; например; подвозили кого-то на машине; ремонтировали бытовую технику; автомобили; нанимались делать ремонт в квартире и т.п.?,"In the last 12 months you have been providing services for a fee; for example; someone a ride on the machine; repairing appliances; automobiles; hired to make repairs in the apartment, and the like?"
158,i20,pj60.5a,Как изменилось материальное положение Вашей семьи за последние 12 месяцев?,How has your financial position in the last 12 months?
159,i20,pj61,Как Вы думаете; через 12 месяцев Вы и Ваша семья будете жить лучше или хуже; чем сегодня?,"What do you think; after 12 months, you and your family will live better or worse; than it is today?"
160,i20,pj62,Представьте себе лестницу из 9 ступеней; где на нижней; первой ступени; стоят нищие; а на высшей; девятой  - богатые. На какой из девяти ступеней находитесь сегодня Вы лично?,Imagine a staircase of 9 steps; wherein on the bottom; the first stage; are poor; and at the top; ninth - the rich. Which of the nine steps are you personally today?
161,i20,pj63,Представьте себе лестницу; из 9 ступеней; где на нижней ступени стоят совсем бесправные; а на высшей - те; у кого большая власть. На каой из девяти ступеней находитесь сегодня Вы лично?,Imagine a ladder; of 9 degrees; where on the lower level are quite powerless; and at the top - those; Who has more power. On kaoy of nine steps are you personally today?
162,i20,pj64,Еще одна лестница из 9 ступеней; где на нижней ступени находятся люди; которых совсем не уважают; а на высшей - те; кого очень уважают. На какой из девяти ступеней находитесь сегодня Вы лично?,Another staircase of 9 steps; where on the lower level are the people; which is not respected; and at the top - those; who are highly respected. Which of the nine steps are you personally today?
163,i20,pj65,Насколько Вы удовлетворены своей жизнью в целом в настоящее время?,Are you satisfied with your life as a whole nowadays?
164,i20,pj66,Насколько Вас беспокоит то; что Вы не сможете обеспечивать себя самым необходимым в ближайшие 12 месяцев?,As far as you are concerned; that you will not be able to provide for themselves the necessities in the next 12 months?
165,i20,pj66.1,Насколько Вы удовлетворены своим материальным положением в настоящее время?,Are you satisfied with their financial situation at the moment?
166,i20,pj69.9c,В каком году Вы родились?,In what year were you born?
167,i20,pj70.1,Сколько классов школы Вы закончили?,How many years of schooling you have completed?
168,i20,pj70,У Вас есть аттестат о полном среднем образовании; то есть об окончании 10 - 12 классов?,"Do you have a certificate of secondary education; that is, the end of the 10 - 12 classes?"
169,i20,pj70.2,Вы сейчас учитесь в общеобразовательной школе; общеобразовательном колледже; лицее?,You are studying at a secondary school; general education college; Lyceum?
170,i20,pk3.1,В каком классе Вы учитесь?,What grade do you study?
171,i20,pk3.2,Вы учитесь в...?,You learn to ...?
172,i20,Pk3.2s,Другое к вопросу pk3.2,Another issue to pk3.2
173,i20,pj317,Вы закончили учиться в школе в том же населенном пункте; где живете сейчас?,You have completed at school in the same locality; where do you live now?
174,i20,pj318,В каком населенном пункте Вы закончили учиться в школе?,In a village you have completed in school?
175,i20,pj319,Какую школу Вы окончили или в какой школе Вы учились последней?,What school you graduated from or what school you last attended?
176,i20,pj71,Вы учились или учитесь где-нибудь; кроме школы?,You have studied or studying anywhere; besides school?
177,i20,pj72.1a,Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (первые),You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (first)
178,i20,pj72.1b,Сколько лет Вы проучились на профессиональных курсах? (первые),How long have you been studying in professional courses? (first)
179,i20,PJ721dac,Код профессии по ISCO88 первой специальности профессиональных курсов,Code profession ISCO88 first specialty professional courses
180,i20,pj72.1c,Получили ли диплом на профессиональных курсах? (первые),Have a diploma in professional courses? (first)
181,i20,pj72.1e,В каком году окончили/ушли с профессиональных курсов? (первые),In what year finished / went to vocational courses? (first)
182,i20,pj72.1a2,Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (вторые),You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (second)
183,i20,pj72.1b2,Сколько лет Вы проучились на профессиональных курсах? (вторые),How long have you been studying in professional courses? (second)
184,i20,PJ721dbc,Код профессии по ISCO88 второй специальности профессиональных курсов,Code profession ISCO88 second specialty professional courses
185,i20,pj72.1c2,Получили ли диплом на профессиональных курсах? (вторые),Have a diploma in professional courses? (second)
186,i20,pj72.1e2,В каком году окончили/ушли с профессиональных курсов? (вторые),In what year finished / went to vocational courses? (second)
187,i20,pj72.1a3,Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (третьи),You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (third)
188,i20,pj72.1b3,Сколько лет Вы проучились на профессиональных курсах? (третьи),How long have you been studying in professional courses? (third)
189,i20,PJ721dcc,Код профессии по ISCO88 третьей специальности профессиональных курсов,Code profession ISCO88 third special professional courses
190,i20,pj72.1c3,Получили ли диплом на профессиональных курсах? (третьи),Have a diploma in professional courses? (third)
191,i20,pj72.1e3,В каком году окончили/ушли с профессиональных курсов? (третьи),In what year finished / went to vocational courses? (third)
192,i20,pj72.1a4,Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (четвертые),You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (fourth)
193,i20,pj72.1b4,Сколько лет Вы проучились на профессиональных курсах? (четвертые),How long have you been studying in professional courses? (fourth)
194,i20,PJ721ddc,Код профессии по ISCO88 четвертой специальности профессиональных курсов,Code profession ISCO88 fourth special professional courses
195,i20,pj72.1c4,Получили ли диплом на профессиональных курсах? (четвертые),Have a diploma in professional courses? (fourth)
