,varcode,type,russian,english,five_most_popular_values,number_of_valid,number_of_missing
16,hid_i,numeric,НОМЕР ИНДИВИДА В 12-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 12-th wave - IDENTIFICATION,100010103 | 100010104 | 100010105 | 100010106 | 100010202 | 100010204,5871,15882
17,idind,numeric,ЕДИНЫЙ ИДЕНТИФИКАЦИОННЫЙ НОМЕР ИНДИВИДА ДЛЯ ВОЛН 5 И ПОСЛЕДУЮЩИХ ,Unique identification number for a wave 5 INDIVIDUAL AND FOLLOW,    1 |  1003 | 10033 | 10047 |  1005 | 10053,21753,0
18,iid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА ,Identification variables 13th ROUND, 470904 |  770024 |  770009 |  780007 |  780009 |  130004,6233,15520
19,iid_i,numeric,НОМЕР ИНДИВИДА В 13-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 13-th wave - IDENTIFICATION,100010103 | 100010104 | 100010105 | 100010106 | 100010202 | 100010204,6233,15520
20,jid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА ,Identification variable 14 Round, 770024 | 1140007 |  130004 |  470904 |  770009 |  780007,6413,15340
21,jid_i,numeric,НОМЕР ИНДИВИДА В 14-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 14-th wave - IDENTIFICATION,100010103 | 100010104 | 100010105 | 100010106 | 100010202 | 100010204,6413,15340
22,kid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА ,Identification variable 15 Round, 7700024 |  4709004 |  7700020 |  7700026 | 12900301 | 13000009,7991,13762
23,kid_i,numeric,НОМЕР ИНДИВИДА В 15-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 15-th wave - IDENTIFICATION,1000100103 | 1000100104 | 1000100105 | 1000100106 | 1000100202 | 1000100204,7991,13762
24,lid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-го РАУНДА ,Identification variable 16 Round,11400051 |  7800007 | 12900301 |  4709004 |  7700020 |  7700026,8461,13292
25,lid_i,numeric,НОМЕР ИНДИВИДА В 16-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 16-th wave - IDENTIFICATION,1000100103 | 1000100104 | 1000100105 | 1000100106 | 1000100202 | 1000100204,8461,13292
26,mid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-го РАУНДА ,Identification variable 17 Round, 7700026 |  7700024 |  8300001 | 11400051 | 12900301 |  4709004,8815,12938
27,mid_i,numeric,НОМЕР ИНДИВИДА В 17-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 17-second wave - IDENTIFICATION,1000100103 | 1000100104 | 1000100105 | 1000100106 | 1000100202 | 1000100204,8815,12938
28,nid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-го РАУНДА ,Identification variables 18th-round,129082 |  77026 |  77042 |  77024 |  77102 | 107126,9370,12383
29,nid_i,numeric,НОМЕР ИНДИВИДА В 18-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 18-second wave - IDENTIFICATION,10000103 | 10000104 | 10000105 | 10000106 | 10000202 | 10000204,9370,12383
30,oid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА ,Identification variable 19 Round,1290082 |  770026 |  770042 |  770024 |  770102 | 1070126,14462,7291
31,oid_i,numeric,НОМЕР ИНДИВИДА В 19-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 19-second wave - IDENTIFICATION,100000103 | 100000104 | 100000105 | 100000106 | 100000202 | 100000204,14462,7291
32,pid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА ,Identification variable 20 Round,  91145 | 1290082 | 1412547 |  770042 | 1420410 |  770024,16336,5417
33,pid_i,numeric,НОМЕР ИНДИВИДА В 20-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 20-th wave - IDENTIFICATION,100000202 | 100000204 | 100000208 | 100000301 | 100000401 | 100000402,16336,5417
34,popul,numeric,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ,POPULATION,11503501 |  1143535 |   239800 |   508887 |   524669 |  4879566,21753,0
35,psu,numeric,Номер региона (первичная единица отбора) ,Region number (primary sampling units),г. Москва | Московская область | Кущевский р-н: Краснодарский край | Залукокоаже и Зольский р-н: Республика Кабардино-Балкария | Казань: Республика Татарстан | Соликамск и Соликамский р-н: Пермский край,21753,0
36,qid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА ,Identification variable 21 Round,  91145 | 1070126 |  520220 | 1290082 | 1412547 |  770026,18401,3352
37,QID_I,,НОМЕР ИНДИВИДА В 21-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 21-th wave - IDENTIFICATION,100000202 | 100000204 | 100000208 | 100000301 | 100000401 | 100000402,18401,3352
38,r_adult,,Есть взрослый вопросник 22 волны? ,There are 22 waves adult questionnaire?,Есть взрослый вопросник 22-й волны | Нет взрослого вопросника 22-й волны,21753,0
39,r_born_m,,Месяц рождения ребенка ,Month of birth of the child,Сентябрь | Август | Июнь | Март | Октябрь | Июль,3799,17954
40,r_child,,Есть детский вопросник 22 волны? ,There is a children's questionnaire 22 waves?,Нет детского вопросника 22-й волны | Есть детский вопросник 22-й волны,21753,0
41,r_diplom,,ЗАКОНЧЕННОЕ ОБРАЗОВАНИЕ (ГРУППА) ,Completed education (GROUP),законч среднее образование | законч высшее образование и выше | законч среднее специальное образование | незаконч среднее образование (7 - 8 кл) + что-то еще | незаконч среднее образование (7 - 8 кл) | окончил 0 - 6 классов,17954,3799
42,r_educ,,ОБРАЗОВАНИЕ (ПОДРОБНО): старше 14 лет ,EDUCATION (details): over 14 years,есть диплом о высшем образовании | техникум с дипломом | среднее образование - есть аттестат о ср. образовании | 10 и более классов школы и какое-либо професс. обр. с дипломом | 9 классов школы | 8 классов школы,17954,3799
43,region,,Регион ,region,"Москва | Московская область | Краснодарский край, Кущевский район | Республика Кабардино-Балкария, Залукокоаже и Зольский район | Казань | Пермский край, Соликамск и Соликамский район",21753,0
44,rh11,,Номер взрослого члена семьи; отвечавшего на вопросы детского вопросника ,Number of the adult household member; answers the question of children's questionnaire, 1 |  2 |  3 |  4 |  5 |  6,3799,17954
45,rh3a,,НОМЕР СЕМЬИ ,FAMILY ROOM,  35 |   67 |   41 |   29 |   59 |   58,21753,0
46,rh4,,Номер члена семьи ,Number of family members, 1 |  2 |  3 |  4 |  5 |  6,21753,0
47,rh4.1,,Респондент ранее участвовал(а) в исследовании? ,Respondent has previously taken part (a) in the study?,Да | Нет,21753,0
48,rh5,,Пол респондента ,Sex of the respondent,ЖЕНСКИЙ | МУЖСКОЙ,21753,0
49,rh6,,Год рождения респондента 22 ВОЛНА (=rj69.9c) ,Year of birth of respondent 22 WAVE (= rj69.9c),1986 | 1983 | 1985 | 1978 | 1984 | 1987,21753,0
50,rh7.1,,Дата проведения интервью: число ,Date of interview: the number of, 9 | 10 | 12 |  8 | 19 | 20,21753,0
51,rh7.2,,Дата проведения интервью: месяц ,Date of interview: Month,Октябрь | Ноябрь | Декабрь | Январь | Февраль | Сентябрь,21753,0
52,rh8a,,Интервью продолжалось: часов и минут (часов) ,Interview continued: hours and minutes (hours),0 | 1 | 2,21753,0
53,rh8b,,Интервью продолжалось: часов и минут (минут) ,Interview continued: hours and minutes (minutes),40 | 30 | 50 |  0 | 20 | 45,21753,0
54,ri1,,Вы родились в другом населенном пункте или в том; где живете сейчас? ,You were born in another location or in; where do you live now?,"В ТОМ, ГДЕ ЖИВЕТ СЕЙЧАС | В ДРУГОМ НАСЕЛЕННОМ ПУНКТЕ | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА",21753,0
55,ri3,,Вы родились в городе; поселке городского типа или в селе; деревне; кишлаке; ауле? * В 2013 году добавлено пояснение для интервьюера о том; что статус поселения отмечается такой; каким он был на момент рождения респондента. ,"You were born in the city; a small town or village; village; village; aul? * In 2013, the added explanation for the interviewer about; that the status of the settlement of such notes; as it was at the time of birth of the respondent.","В СЕЛЕ, ДЕРЕВНЕ, КИШЛАКЕ, АУЛЕ | В ГОРОДЕ | В ПОСЕЛКЕ ГОРОДСКОГО ТИПА | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",8759,12994
56,ri3.1,,Вы жили в другом населенном пункте - не в том; где Вы родились; более чем 6 месяцев подряд после того; как Вам исполнилось 14 лет; включая учебу; службу в армии и прочее? ,You have lived in another village - not that; where you were born; more than 6 consecutive months thereafter; as you are at least 14 years of age; including studies; served in the army and so on?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,17954,3799
57,ri4,,Кем Вы себя считаете по национальности? ,Who do you think you are by nationality?,РУССКИМ(РУССКОЙ) | КАБАРДИНЕЦ(КА) | ТАТАРИН(КА) | ЧУВАШ(КА) | УДМУРТ(КА) | УКРАИНЕЦ(КА),17954,3799
58,ri7,,С какого года Вы живете в данном населенном пункте? ,Since when do you live in this village?,    1990 |     1986 |     1998 |     1985 |     1982 |     1980,18474,3279
59,ri8,,С какого года Вы постоянно живете в Российской Федерации? ,When did you always live in the Russian Federation?,99999996 |     1990 |     2000 |     1994 |     1993 | 99999997,18474,3279
60,rid_h,,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 22-го РАУНДА ,Identification variable 22 Round, 520220 |   91145 | 1070126 | 1290209 | 1412547 |  770026,21753,0
61,RID_I,,НОМЕР ИНДИВИДА В 22-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 22-th wave - IDENTIFICATION,100000101 | 100000102 | 100000103 | 100000202 | 100000204 | 100000208,21753,0
62,r_int_y,,Год опроса ,year of survey,2013 | 2014,21753,0
63,r_inwgt,,Постстратификационный вес для данного индивида ,Poststratifikatsionny weight for a given individual,0.0000000 | 0.7611238 | 1.0498702 | 0.9712482 | 1.1490391 | 1.1360104,21753,0
64,rj1,,Ваше основное занятие в настоящее время? ,Your main occupation now?,Вы сейчас работаете | Или у Вас сейчас нет работы | Вы находитесь в отпуске декретном или по уходу за ребенком до 3-х лет | Вы находитесь в любом другом оплачиваемом отпуске | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Вы находитесь в неоплачиваемом отпуске,17954,3799
65,rj10,,Сколько денег в течение последних 30 дней Вы получили по основному месту работы после вычета налогов и отчислений? Если все или часть денег Вы получили в иностранной валюте; переведите все в рубли и назовите общую сумму ,How much money in the last 30 days you will get the main job after taxes and deductions? If all or part of the money you received in foreign currency; turn all into rubles and name totaling,   20000 |    15000 |    10000 |    30000 |    25000 |    12000,9554,12199
66,rj10.1,,Как Вы думаете; какой процент этих денег был проведен официально; то есть с них были уплачены налоги? ,"What do you think; what percentage of the money was held officially; that is, they had paid taxes?",1.0e+02 | 1.0e+08 | 0.0e+00 | 1.3e+01 | 5.0e+01 | 3.0e+01,9554,12199
67,rj10.2,,Если Вы получали премию по основному месту работы в течение последних 30 дней; то сколько рублей Вы получили? ,If you have received the award in the main job in the last 30 days; how many rubles you get?,99999996 | 99999997 |     3000 |     2000 | 99999998 |     5000,9554,12199
68,rj11,,На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная ,In this job you work in the enterprise; in the organization? We mean any organization; which employs more than one person; regardless; it private or public,"Вы работаете на предприятии, в организации | Не на предприятии, не в организации | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА",10096,11657
69,rj1.1.1,,Насколько Вы удовлетворены или не удовлетворены Вашей работой в целом? ,Are you satisfied or dissatisfied with your work in general?,"СКОРЕЕ УДОВЛЕТВОРЕНЫ | И ДА, И НЕТ | ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ | СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ | СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ | НЕТ ОТВЕТА",10096,11657
70,rj11.1,,Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту? ,"You feature on this work officially; that is, the workbook; employment agreement; contract?",Оформлены официально | Не оформлены официально | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,8986,12767
71,rj1.1.2,,Насколько Вы удовлетворены или не удовлетворены условиями Вашего труда? ,Are you satisfied or not satisfied with the terms of your work?,"СКОРЕЕ УДОВЛЕТВОРЕНЫ | И ДА, И НЕТ | ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ | СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ | СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ | НЕТ ОТВЕТА",10096,11657
72,rj11.2,,Почему Вы не оформлены на этой работе официально? ,Why do not you feature on this work officially?,"Работодатель не хочет оформлять | Вы сами не хотели оформляться | И работодатель, и Вы сами не хотели оформляться | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА",588,21165
73,rj1.1.3,,Насколько Вы удовлетворены или не удовлетворены оплатой Вашего труда? ,Are you satisfied or dissatisfied with the payment of your work?,"СКОРЕЕ УДОВЛЕТВОРЕНЫ | СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ | И ДА, И НЕТ | СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ | ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ | НЕТ ОТВЕТА",10096,11657
74,rj1.1.4,,Насколько Вы удовлетворены или не удовлетворены возможностями для Вашего профессионального роста? ,Are you satisfied or dissatisfied with opportunities for your professional growth?,"СКОРЕЕ УДОВЛЕТВОРЕНЫ | И ДА, И НЕТ | СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ | ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ | СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",10096,11657
75,rj123,,Приходилось ли Вам в течение последних 12 месяцев пользоваться Интернетом? ,Have you in the past 12 months to use the Internet?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,19731,2022
76,rj124.1,,В течение последних 12 месяцев Вы пользовались Интернетом у себя дома? ,"During the past 12 months, have you used the Internet at home?",Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,11600,10153
77,rj124.2,,В течение последних 12 месяцев Вы пользовались Интернетом по месту работы; учебы? ,"During the past 12 months, have you used the Internet in the workplace; studies?",Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,11600,10153
78,rj124.3,,В течение последних 12 месяцев Вы пользовались Интернетом в Интернет-кафе? ,"During the past 12 months, have you used the Internet at Internet cafes?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,11600,10153
79,rj124.4,,В течение последних 12 месяцев Вы пользовались Интернетом в других местах? ,"During the past 12 months, have you used the Internet in other places?",Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,11600,10153
80,rj125.1,,Вы пользовались Интернетом в течение последних 12 месяцев для учебы? ,You used the Internet in the last 12 months to study?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,11600,10153
81,rj125.10,,Вы пользовались Интернетом в течение последних 12 месяцев для посещения сайтов социальных сетей? ,You used the Internet in the last 12 months to visit social networking sites?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,11600,10153
82,rj125.2,,Вы пользовались Интернетом в течение последних 12 месяцев для работы? ,You used the Internet in the last 12 months to work?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,10351,11402
83,rj125.3,,Вы пользовались Интернетом в течение последних 12 месяцев для развлечений? ,You used the Internet in the last 12 months for entertainment?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,11600,10153
84,rj125.4,,Вы пользовались Интернетом в течение последних 12 месяцев для общения с другими людьми? ,You used the Internet in the last 12 months to communicate with other people?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,11600,10153
85,rj125.5,,Вы пользовались Интернетом в течение последних 12 месяцев для получения информации о новостях? ,You used the Internet in the last 12 months to get information about news?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,10351,11402
86,rj125.6,,Вы пользовались Интернетом в течение последних 12 месяцев для расширения кругозора; повышения своего культурного уровня? ,You used the Internet in the last 12 months to expand the horizons; improve their cultural level?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,11600,10153
87,rj125.7,,Вы пользовались Интернетом в течение последних 12 месяцев для получения справочных материалов? ,You used the Internet in the last 12 months for reference materials?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,11600,10153
88,rj125.8,,Вы пользовались Интернетом в течение последних 12 месяцев для покупок; получения товаров и услуг? ,You used the Internet in the last 12 months for purchases; receipt of goods and services?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,10351,11402
89,rj125.9,,Вы пользовались Интернетом в течение последних 12 месяцев для чего-то еще? ,You used the Internet in the last 12 months for something else?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,11600,10153
90,rj13,,Сколько человек работает на Вашем предприятии? Если не знаете точно; скажите примерно ,How many people work at your company? If you do not know exactly; tell about,99999997 |      100 |       20 |       30 |       50 |       10,8986,12767
91,rj13.2,,За последние 12 месяцев какова была Ваша среднемесячная зарплата на этом предприятии после вычета налогов - независимо от того; платят Вам ее вовремя или нет? ,"Over the past 12 months, what was your average monthly salary at the plant after taxes - no matter; You pay it on time or not?",   20000 |    15000 |    10000 |    25000 |    30000 |    12000,8986,12767
92,rj136,,Вы обращались куда-нибудь или к кому-нибудь в поисках работы в течение последних 7 дней? ,You accessed anywhere or to anyone in search of work in the last 7 days?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,848,20905
93,rj14,,В настоящее время Ваше предприятие осталось должно Вам какие-то деньги; которые по разным причинам не выплатило вовремя? ,"Currently, your company owes you some money; who for various reasons are not paid on time?",Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,8986,12767
94,rj15,,Сколько всего денег Вам не доплатили? ,How much money you do not pay extra?,99999997 |    20000 |    15000 |    30000 |    12000 |    10000,315,21438
95,rj16,,За сколько месяцев предприятие не доплатило Вам эти деньги? ,"For many months, the company does not pay you the money?",1.0e+00 | 2.0e+00 | 3.0e+00 | 1.0e+08 | 6.0e+00 | 4.0e+00,315,21438
96,rj161.3m,,Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовой стаж; не считая времени учебы на дневном отделении ВУЗа или техникума? МЕСЯЦЕВ *В 2013 году этот вопрос про стаж задается всем респондентам – работающим и не работающим; не зависимо от ответа на вопрос rj77 ,"How many full years and months of your formalized general seniority; not counting the time studying full time at university or college? Month * In 2013, the question about the experience given to all respondents - working and not working; regardless of the answer to the question rj77", 0 |  2 |  6 |  3 |  1 |  4,14951,6802
97,rj161.3y,,Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовой стаж; не считая времени учебы на дневном отделении ВУЗа или техникума? ЛЕТ *В 2013 году этот вопрос про стаж задается всем респондентам – работающим и не работающим; не зависимо от ответа на вопрос rj77  ,"How many full years and months of your formalized general seniority; not counting the time studying full time at university or college? YEARS * In 2013, the question about the experience given to all respondents - working and not working; regardless of the answer to the question rj77",1.0e+08 | 2.0e+01 | 1.0e+01 | 5.0e+00 | 4.0e+01 | 3.0e+01,16231,5522
98,rj170.1,,Вы пользуетесь следующими видами добровольного страхования: страхование жизни и от несчастного случая? ,Do you use the following types of voluntary insurance: life insurance and accident?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
99,rj170.2,,Вы пользуетесь следующими видами добровольного страхования: страхование квартиры; дома? ,Do you use the following types of voluntary insurance: apartment; at home?,Нет | НЕ ОТНОСИТСЯ | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
100,rj170.31,,Вы пользуетесь следующими видами добровольного страхования: страхование дачи? ,Do you use the following types of voluntary insurance: garden?,Нет | НЕ ОТНОСИТСЯ | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
101,rj170.32,,Вы пользуетесь следующими видами добровольного страхования: страхование автомобиля - помимо обязательного страхования автогражданской ответственности? ,Do you use the following types of voluntary insurance: car insurance - in addition to the compulsory third party liability insurance?,Нет | НЕ ОТНОСИТСЯ | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
102,rj170.4,,Вы пользуетесь следующими видами добровольного страхования: страхование сельхозимущества; скота? ,Do you use the following types of voluntary insurance: selhozimuschestva; cattle?,НЕ ОТНОСИТСЯ | Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
103,rj18.2,,В течение последних 12 месяцев Вам уменьшали зарплату или сокращали часы работы не по Вашему желанию? ,In the last 12 months you have reduced wages or reduced work hours not according to your wishes?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,8986,12767
104,rj184,,У Вас лично есть мобильный сотовый телефон? ,Do you personally have a mobile cell phone?,Да | Нет | ПОЛЬЗУЮТСЯ НЕСКОЛЬКО ЧЛЕНОВ СЕМЬИ | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,19731,2022
105,rj187,,У Вас есть карточка пенсионного страхования; т.е. страховое пенсионное свидетельство? ,Do you have a pension insurance card; ie pension insurance certificate?,Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,15666,6087
106,rj188,,Вы проходили срочную службу в армии? ,You were serving in the army?,Да | Нет | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,7164,14589
107,rj189a,,С какого года Вы проходили срочную службу в армии? ,Since what year you were serving in the army?,    1980 |     1988 |     1975 |     1976 |     1984 |     1981,4279,17474
108,rj189b,,По какой год Вы проходили срочную службу в армии? ,By what year you were serving in the army?,    1982 |     1978 |     1990 |     1986 |     1976 |     1977,4279,17474
