varcode,russian,english
rj4.1,"В какой отрасли Вы работаете на этой работе? *В 2013 и 2012 годах помимо закрепленных в анкете вариантов ответов 1-18; были закодированы ответы ""Другое"" кодами 20-29. Кодификатор единый для этих годов опроса.  Ранее в 2004-2011 годах закрепленные коды 1-18 дополнялись объединенным кодом 99999996 ""ДРУГОЕ"" (без подробной кодировки). ","In what industry you work in this job? * In 2013 and 2012, in addition to fixed in the questionnaire answers are 1-18; Answers were coded ""Other"" codes 20-29. Codifier same for these years of the survey. Earlier in the years 2004-2011 embodied codes 1-18 supplemented combined code 99999996 ""Other"" (without detailed coding)."
rj5a,С какого года Вы работаете на этом предприятии; на этой работе? Если Вы увольнялись и снова возвращались на это же предприятие; на эту работу; назовите дату последнего возвращения (ГОД) ,When did you work for this company; in this job? If you leave and come back again to the same company; for this work; name the date of the last return (year)
rj5b,С какого месяца Вы работаете на этом предприятии; на этой работе? Если Вы увольнялись и снова возвращались на это же предприятие; на эту работу; назовите дату последнего возвращения (МЕСЯЦ) ,From what month do you work at the enterprise; in this job? If you leave and come back again to the same company; for this work; name the date of the last return (months)
rj5.2,"Как Вы нашли эту Вашу основную работу? * В 2013 году добавлен новый код 14 ""Другое""; который поясняется в  последующей текстовой переменной  rj5.2s ","How did you find this your main job? * In 2013, added new code 14 ""Other""; which is explained in the subsequent text variable rj5.2s"
rj5.2s,ДРУГОЕ к rj5.2 - Как Вы нашли эту Вашу основную работу? ,To each rj5.2 - How did you find this your main job?
rj6,У Вас есть подчиненные на этой работе? ,Do you have a slave in this job?
rj6.0,Сколько у Вас подчиненных? Пожалуйста; посчитайте всех Ваших подчиненных; а не только тех; кто находится в Вашем непосредственном подчинении ,How you subordinates? Please; count all your subordinates; not just those; who is your direct submission
rj6.1a,Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (ЧАСОВ) *В 2013 году; так же как и в 2012 году; введен новый код; не указанный в анкете: 99999996 'НЕНОРМИРОВАННЫЙ РАБОЧИЙ ДЕНЬ'. Он фиксирует ситуацию; когда респондент не может ответить на вопрос о длительности  своего обычного рабочего дня именно по этой причине; что и зафиксировано интервьюером на полях анкеты ,What is the average continuing your normal working day on the job: hours and minutes? (Hours) * In 2013; as well as in 2012; Enter the new code; not specified in the questionnaire: 99999996 'long working hours'. He captures the situation; when the respondent can not answer the question about the duration of their normal working hours for this reason; as recorded by the interviewer in the fields of profiles
rj6.1b,Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (МИНУТ) ,What is the average continuing your normal working day on the job: hours and minutes? (MIN)
rj6.2,Сколько часов в среднем продолжается Ваша обычная рабочая неделя? ,How many hours on average lasts your usual working week?
rj7,Вы работали по основному месту работы в течение последних 30 дней? ,You worked on the main job in the last 30 days?
rj7.1,Сколько всего рабочих дней было у Вас за последние 30 дней? ,How many days did you have in the last 30 days?
rj8,Сколько часов Вы фактически отработали по основному месту работы в течение последних 30 дней? ,How many hours you actually worked on the main job in the last 30 days?
rj8.1,Скажите; пожалуйста; Вы работали по основной работе дома в течение последних 30 дней? ,tell me; please; You worked on the main job at home in the last 30 days?
rj8.2,Сколько часов Вы фактически занимались этой работой дома в течение последних 30 дней? ,How many hours did you actually doing this work at home in the last 30 days?
rj8.3,Скажите; пожалуйста; Вы учитывали эти часы; когда называли общую продолжительность рабочего времени за последние 30 дней? ,tell me; please; You take into account those hours; called when the total duration of working time in the last 30 days?
rj9,По основному месту работы в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли? ,The main job in the last 30 days you have received any money as salary; Prize; subsidies; benefits; income; profits?
rj10,Сколько денег в течение последних 30 дней Вы получили по основному месту работы после вычета налогов и отчислений? Если все или часть денег Вы получили в иностранной валюте; переведите все в рубли и назовите общую сумму ,How much money in the last 30 days you will get the main job after taxes and deductions? If all or part of the money you received in foreign currency; turn all into rubles and name totaling
rj10.1,Как Вы думаете; какой процент этих денег был проведен официально; то есть с них были уплачены налоги? ,"What do you think; what percentage of the money was held officially; that is, they had paid taxes?"
rj10.2,Если Вы получали премию по основному месту работы в течение последних 30 дней; то сколько рублей Вы получили? ,If you have received the award in the main job in the last 30 days; how many rubles you get?
rj11,На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная ,In this job you work in the enterprise; in the organization? We mean any organization; which employs more than one person; regardless; it private or public
rj11.1,Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту? ,"You feature on this work officially; that is, the workbook; employment agreement; contract?"
rj11.2,Почему Вы не оформлены на этой работе официально? ,Why do not you feature on this work officially?
rj13,Сколько человек работает на Вашем предприятии? Если не знаете точно; скажите примерно ,How many people work at your company? If you do not know exactly; tell about
rj13.2,За последние 12 месяцев какова была Ваша среднемесячная зарплата на этом предприятии после вычета налогов - независимо от того; платят Вам ее вовремя или нет? ,"Over the past 12 months, what was your average monthly salary at the plant after taxes - no matter; You pay it on time or not?"
rj14,В настоящее время Ваше предприятие осталось должно Вам какие-то деньги; которые по разным причинам не выплатило вовремя? ,"Currently, your company owes you some money; who for various reasons are not paid on time?"
rj15,Сколько всего денег Вам не доплатили? ,How much money you do not pay extra?
rj16,За сколько месяцев предприятие не доплатило Вам эти деньги? ,"For many months, the company does not pay you the money?"
rj18.2,В течение последних 12 месяцев Вам уменьшали зарплату или сокращали часы работы не по Вашему желанию? ,In the last 12 months you have reduced wages or reduced work hours not according to your wishes?
rj19,В течение последних 12 месяцев Вас отправляла администрация в вынужденный неоплачиваемый отпуск? ,In the last 12 months you sent the administration a forced unpaid leave?
rj21a,В течение последних 12 месяцев Вы были в оплачиваемом отпуске? ,"During the past 12 months, have you been in paid vacation?"
rj21b,Сколько всего календарных дней продолжался или продолжается этот отпуск? ,How many days continued or resumed this holiday?
rj21.3,Является ли производство; на котором Вы работаете; вредным или опасным; т.е. дающим Вам право на досрочное назначение трудовой пенсии; на дополнительные выплаты или льготы? ,Is production; where you work; harmful or dangerous; ie giving you the right to early appointment of labor pension; additional payments or benefits?
rj23,Является государство владельцем или совладельцем Вашего предприятия; организации? ,The State is the owner or co-owner of your company; organization?
rj24,Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица? ,Is the owner or co-owners of your company; organization of foreign companies or foreign individuals?
rj25,Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы? ,"Is the owner or co-owners of your company; organization of any Russian private person; collective enterprises, or Russian private firms?"
rj26,А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете? ,Do you personally own or co-owner of the company; where do you work?
rj29,Как Вы считаете; на этой работе Вы занимаетесь предпринимательской деятельностью? ,What do you think; this work you engage in entrepreneurial activity?
rj308,Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на основной работе; было создано: ,Please; tell; company or organization; you work in the main job; was created
rj309,Форма собственности предприятия или организации; в которой Вы работаете на основной работе; с тех пор менялась или не менялась? ,Ownership of the enterprise or organization; you work in the main job; since the change or not to change?
rj29.c1,В какой степени Вы доверяете руководству Вашего предприятия; организации? ,To what extent do you trust the leadership of your company; organization?
rj29.c2,В какой степени Вы доверяете людям; с которыми Вы вместе работаете; Вашим коллегам? ,To what extent do you trust the people; with whom you work together; Your colleagues?
rj22,Представьте себе не очень приятную картину: предприятие; где Вы работаете; по каким-то причинам закроется; и все работники будут уволены. Насколько Вы уверены в том; что сможете найти работу не хуже той; на которой работаете сейчас? ,"Imagine not very pleasant picture: the enterprise; where you work; for whatever reasons, will close; and all employees will be laid off. How confident are you that; that will be able to find a job is not worse than that; on which work now?"
rj29.0,На этой работе Вы занимаетесь...? ,In this job you do ...?
rj31,Насколько Вас беспокоит то; что Вы можете потерять работу? ,As far as you are concerned; you could lose your job?
rj29.1,Вы сменили место работы или профессию по сравнению с ноябрем 2012 года; или все осталось по-прежнему? ,You changed jobs or profession compared to November 2012; or all remained the same?
rj29.1s,ДРУГОЕ к вопросу rj29.1 - Вы сменили место работы или профессию по сравнению с ноябрем 2012 года; или все осталось по-прежнему? ,To each question rj29.1 - you changed jobs or profession compared to November 2012; or all remained the same?
rj29.2.1,После ноября 2012 года Вы продвинулись по службе; получили более высокую должность? ,After November 2012 you moved to the service; received a higher position?
rj29.2.2,После ноября 2012 года Вы перешли работать в другое структурное подразделение - отдел; цех? ,After November 2012 you went to work in other business units - Department; Shop?
rj29.2.3,После ноября 2012 года Вы перешли на более низкую должность? ,After November 2012 you moved to a lower position?
rj32,У Вас есть еще какая-нибудь работа? ,Do you still have any work?
rj32.1,Возможно; у Вас есть еще работа по совместительству; временная работа по срочному контракту; трудовому соглашению; договору подряда; гранту; или индивидуальная работа по лицензии или без нее? ,possible; You still have a job-sharing; temporary employment for a fixed term; employment agreement; Contract; grant; or self-employed person under license or without her?
rj33code,Код профессии по ISCO88 дополнительной работы ,Code profession ISCO88 additional work
rj35.1,В какой отрасли Вы работаете на этой работе? ,In what industry you work in this job?
rj36.1a,Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (ЧАСОВ) ,The average number of hours and minutes continues your typical day in this job? (Hours)
rj36.1b,Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (МИНУТ) ,The average number of hours and minutes continues your typical day in this job? (MIN)
rj36.2,А сколько часов в среднем продолжается Ваша обычная рабочая неделя? ,How many hours on average lasts your usual working week?
rj37,Вы работали на этой работе в течение последних 30 дней? ,You've worked at this job in the last 30 days?
rj38,Сколько часов Вы фактически отработали на этой работе в течение последних 30 дней? ,How many hours you actually worked at this job in the last 30 days?
rj39,На той работе; о которой мы сейчас говорим; в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли? ,On the work; about which we are talking; in the last 30 days you get some amount of money as salary; Prize; subsidies; benefits; income; profits?
rj40,Сколько денег в течение последних 30 дней Вы получили на этой работе после вычета налогов? Если все или часть денег Вы получили не в рублях; а в иностранной валюте; переведите  все в рубли и назовите общую сумму ,How much money in the last 30 days you got this job after taxes? If all or part of the money you received is not in rubles; and in foreign currency; turn all into rubles and name totaling
rj41,На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная ,In this job you work in the enterprise; in the organization? We mean any organization; which employs more than one person; regardless; it private or public
rj41.1,Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту? ,"You feature on this work officially; that is, the workbook; employment agreement; contract?"
rj41.2,Почему Вы не оформлены на этой работе официально? ,Why do not you feature on this work officially?
rj313,Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на этой работе; было создано: ,Please; tell; company or organization; you work at this job; was created
rj314,Форма собственности предприятия или организации; в которой Вы работаете на этой работе; с тех пор менялась или не менялась? ,Ownership of the enterprise or organization; you work at this job; since the change or not to change?
rj43,Сколько человек работает на этом Вашем предприятии? Если не знаете точно; скажите примерно ,How many people work on this your business? If you do not know exactly; tell about
rj49,Является государство владельцем или совладельцем Вашего предприятия; организации? ,The State is the owner or co-owner of your company; organization?
rj50,Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица? ,Is the owner or co-owners of your company; organization of foreign companies or foreign individuals?
rj51,Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы? ,"Is the owner or co-owners of your company; organization of any Russian private person; collective enterprises, or Russian private firms?"
rj52,А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете? ,Do you personally own or co-owner of the company; where do you work?
rj56,В течение последних 30 дней Вы занимались (еще) какой-нибудь работой; за которую Вам заплатили или должны заплатить? ,Over the past 30 days did you do (yet) any work; for which you have paid or have to pay?
rj56.11c,Код профессии по ISCO88 первого случайного заработка ,Code of the profession for the first random ISCO88 earnings
rj56.12c,Код профессии по ISCO88 второго случайного заработка ,Code profession ISCO88 second random earnings
rj56.13c,Код профессии по ISCO88 третьего случайного заработка ,Code profession ISCO88 third odd jobs
rj57,Сколько всего денег в течение последних 30 дней Вам заплатили за всю эту работу? Если оплата производилась в неденежной форме; оцените; сколько это; примерно; будет в рублях? ,How much money in the last 30 days you paid for all this work? If payment is made in kind; vote; how much it; about; will be in rubles?
rj58,Для Вас это был случайный заработок или Вы часто занимаетесь такой работой и регулярно получаете за это деньги? ,"For you, this was a random earnings or you often do this kind of work and regularly get money for it?"
rj59,Сколько часов за последние 30 дней Вы занимались всей этой работой? ,How many hours in the last 30 days did you do all this work?
rj59.1,Скажите; эта работа была оформлена официально; например; по договору или контракту; лицензии? ,tell me; This work has been issued officially; for example; under the agreement or contract; Licenses?
rj60,Сколько всего денег в течение последних 30 дней Вы лично получили; считая все: зарплату; пенсии; премии; прибыли; пособия; материальную помощь; случайные заработки и другие денежные поступления ,How much money in the last 30 days you personally received; Considering all: salary; pensions; Prize; profits; benefits; financial assistance; odd jobs and other cash receipts
rj60.4a1,В течение последних 12 месяцев Вы работали на дополнительной работе? ,During the past 12 months have you worked for the extra work?
rj60.4a2,В течение последних 12 месяцев Вы выращивали что-то на своем участке на продажу или на обмен? ,"During the past 12 months, have you grown something on the site for sale or exchange?"
rj60.4a3,В течение последних 12 месяцев Вы разводили скот; птицу; рыб; другую живность на продажу? ,"During the past 12 months, have you raised cattle; poultry; fish; other animals for sale?"
rj604a10,В течение последних 12 месяцев Вы охотились или собирали грибы; ягоды; травы и т.п. на продажу? ,"During the past 12 months, have you hunted or gathered mushrooms; berries; grass etc. for sale?"
rj60.4a7,В течение последних 12 месяцев Вы сдавали внаем квартиру; комнату; дачу; гараж; автомобиль? ,"During the past 12 months, have you rented an apartment; room; cottage; garage; a car?"
rj60.4a8,В течение последних 12 месяцев Вы клали деньги в банк под проценты; давали деньги взаймы под проценты? ,"During the past 12 months, have you put money in the bank at interest; to lend money at interest?"
rj60.4a9,В течение последних 12 месяцев Вы оказывали услуги за плату; например; подвозили кого-то на машине; ремонтировали бытовую технику; автомобили; нанимались делать ремонт в квартире и т.п.? ,"In the last 12 months you have been providing services for a fee; for example; someone a ride on the machine; repairing appliances; automobiles; hired to make repairs in the apartment, and the like?"
rj60.5a,Как изменилось материальное положение Вашей семьи за последние 12 месяцев? ,How has your financial position in the last 12 months?
rj61,Как Вы думаете; через 12 месяцев Вы и Ваша семья будете жить лучше или хуже; чем сегодня? ,"What do you think; after 12 months, you and your family will live better or worse; than it is today?"
rj62,Представьте себе лестницу из 9 ступеней; где на нижней; первой ступени; стоят нищие; а на высшей; девятой  - богатые. На какой из девяти ступеней находитесь сегодня Вы лично? ,Imagine a staircase of 9 steps; wherein on the bottom; the first stage; are poor; and at the top; ninth - the rich. Which of the nine steps are you personally today?
rj63,Представьте себе лестницу; из 9 ступеней; где на нижней ступени стоят совсем бесправные; а на высшей - те; у кого большая власть. На какой из девяти ступеней находитесь сегодня Вы лично? ,Imagine a ladder; of 9 degrees; where on the lower level are quite powerless; and at the top - those; Who has more power. Which of the nine steps are you personally today?
rj64,Еще одна лестница из 9 ступеней; где на нижней ступени находятся люди; которых совсем не уважают; а на высшей - те; кого очень уважают. На какой из девяти ступеней находитесь сегодня Вы лично? ,Another staircase of 9 steps; where on the lower level are the people; which is not respected; and at the top - those; who are highly respected. Which of the nine steps are you personally today?
rj65,Насколько Вы удовлетворены своей жизнью в целом в настоящее время? ,Are you satisfied with your life as a whole nowadays?
rj66,Насколько Вас беспокоит то; что Вы не сможете обеспечивать себя самым необходимым в ближайшие 12 месяцев? ,As far as you are concerned; that you will not be able to provide for themselves the necessities in the next 12 months?
rj66.1,Насколько Вы удовлетворены своим материальным положением в настоящее время? ,Are you satisfied with their financial situation at the moment?
rj69.9c,В каком году Вы родились? ,In what year were you born?
rj70.1,Сколько классов школы Вы закончили? * В 2013 году блок вопросов об образовании респондента (j70.1-j72) задавался только новым респондентам; а также мужчинам; которые ранее участвовали в опросе и родились в 1954 году и позже; и женщинам; которые  ранее участвовали в опросе и родились в 1959 году или позже. Остальным респондентам данные об их образовании были восстановлены из последней волны; в которой данный человек отвечал на вопросы этого блока.  В 2012 году этот блок вопросов задавали всем респондентам; которые ни разу не участвовали в данном опросе; либо с тех пор; как он участвовал в данном исследовании; в его образовании что-нибудь изменилось (по мнению респондента); остальные данные восстанавливались. ,"How many years of schooling you have completed? * In 2013, a block of questions on education respondent (j70.1-j72) asked only new respondents; as well as men; who had previously participated in the survey were born in 1954 and later; and women; who had previously participated in the survey were born in 1959 or later. The remaining respondents about their education data were restored from the last wave; in which the person is answering questions of this block. In 2012, this set of questions asked to all respondents; who have never participated in this survey; or since; as he participated in this study; in its formation has anything changed (according to respondents); rest of the data is restored."
rj70,У Вас есть аттестат о полном среднем образовании; то есть об окончании 10 - 12 классов? ,"Do you have a certificate of secondary education; that is, the end of the 10 - 12 classes?"
rj70.2,"Вы сейчас учитесь в общеобразовательной школе; общеобразовательном колледже; лицее; экстернате? *В 2013 году вопрос задается респондентам; которые родились в 1988 году или позже. В 2013 году он задавался тем; кто родился в 1994 году или позже. *В 2013 году сделано пояснение для интервьюеров; что здесь идет речь об обычной общеобразовательной школе; либо о тех общеобразовательных школах; которые получили название ""колледж"" или ""лицей"" из-за углубленного изучения некоторых предметов. ","You are studying at a secondary school; general education college; lyceum; external studies? * In 2013, the question is asked of the respondents; who were born in 1988 or later. In 2013, he asked the; who were born in 1994 or later. * In 2013, an explanation is made for interviewers; that there is a question of ordinary schools; or those of secondary schools; which became known as ""college"" or ""high school"" because of the in-depth study of some subjects."
rk3.1,В каком классе Вы учитесь? ,What grade do you study?
rk3.2,Вы учитесь в...? ,You learn to ...?
rj317,Вы закончили учиться в школе в том же населенном пункте; где живете сейчас? ,You have completed at school in the same locality; where do you live now?
rj318,В каком населенном пункте Вы закончили учиться в школе? ,In a village you have completed in school?
rj319,Какую школу Вы окончили или в какой школе Вы учились последней? ,What school you graduated from or what school you last attended?
rj319s,ДРУГОЕ к rj319 - Какую школу окончили или в какой школе учились последней ,To each rj319 - What school or graduated in a school attended last
rj71,Вы учились или учитесь где-нибудь; кроме школы? ,You have studied or studying anywhere; besides school?
