"","nro","varcode","wave","russian","english"
"80",42,"rb1.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"81",189,"rb13.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"82",191,"rb13.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"83",192,"rb132.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"84",193,"rb13.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"85",194,"rb13.4","h22","Какого пола этот человек?","What sex is this person?"
"86",195,"rb13.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"87",196,"rb13.9.1","h22","Кем 13-ый член семьи приходится 1-му члену семьи?","Who the 13th member of the family has to 1st family member?"
"88",205,"rb139.10","h22","Кем 13-ый член семьи приходится 10-му члену семьи?","Who the 13th member of the family has to the 10th member of the family?"
"89",206,"rb139.11","h22","Кем 13-ый член семьи приходится 11-му члену семьи?","Who the 13th member of the family has to the 11th member of the family?"
"90",207,"rb139.12","h22","Кем 13-ый член семьи приходится 12-му члену семьи?","Who the 13th member of the family has to the 12th member of the family?"
"91",197,"rb13.9.2","h22","Кем 13-ый член семьи приходится 2-му члену семьи?","Who the 13th member of the family has to 2nd family member?"
"92",198,"rb13.9.3","h22","Кем 13-ый член семьи приходится 3-му члену семьи?","Who the 13th member of the family has to 3rd family member?"
"93",199,"rb13.9.4","h22","Кем 13-ый член семьи приходится 4-му члену семьи?","Who the 13th member of the family has to the 4th member of the family?"
"94",200,"rb13.9.5","h22","Кем 13-ый член семьи приходится 5-му члену семьи?","Who the 13th member of the family has to the 5th member of the family?"
"95",201,"rb13.9.6","h22","Кем 13-ый член семьи приходится 6-му члену семьи?","Who the 13th member of the family has to the 6th member of the family?"
"96",202,"rb13.9.7","h22","Кем 13-ый член семьи приходится 7-му члену семьи?","Who the 13th member of the family has to the 7th member of the family?"
"97",203,"rb13.9.8","h22","Кем 13-ый член семьи приходится 8-му члену семьи?","Who the 13th member of the family has to the 8th member of the family?"
"98",204,"rb13.9.9","h22","Кем 13-ый член семьи приходится 9-му члену семьи?","Who the 13th member of the family has to 9th family member?"
"99",43,"rb1.4","h22","Какого пола этот человек?","What sex is this person?"
"100",208,"rb14.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"101",210,"rb14.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"102",211,"rb142.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"103",212,"rb14.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"104",213,"rb14.4","h22","Какого пола этот человек?","What sex is this person?"
"105",214,"rb14.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"106",215,"rb14.9.1","h22","Кем 14-ый член семьи приходится 1-му члену семьи?","Who the 14th member of the family has to 1st family member?"
"107",224,"rb149.10","h22","Кем 14-ый член семьи приходится 10-му члену семьи?","Who the 14th member of the family has to the 10th member of the family?"
"108",225,"rb149.11","h22","Кем 14-ый член семьи приходится 11-му члену семьи?","Who the 14th member of the family has to the 11th member of the family?"
"109",226,"rb149.12","h22","Кем 14-ый член семьи приходится 12-му члену семьи?","Who the 14th member of the family has to the 12th member of the family?"
"110",227,"rb149.13","h22","Кем 14-ый член семьи приходится 13-му члену семьи?","Who the 14th member of the family has to the 13th member of the family?"
"111",216,"rb14.9.2","h22","Кем 14-ый член семьи приходится 2-му члену семьи?","Who the 14th member of the family has to 2nd family member?"
"112",217,"rb14.9.3","h22","Кем 14-ый член семьи приходится 3-му члену семьи?","Who the 14th member of the family has to 3rd family member?"
"113",218,"rb14.9.4","h22","Кем 14-ый член семьи приходится 4-му члену семьи?","Who the 14th member of the family has to the 4th member of the family?"
"114",219,"rb14.9.5","h22","Кем 14-ый член семьи приходится 5-му члену семьи?","Who the 14th member of the family has to the 5th member of the family?"
"115",220,"rb14.9.6","h22","Кем 14-ый член семьи приходится 6-му члену семьи?","Who the 14th member of the family has to the 6th member of the family?"
"116",221,"rb14.9.7","h22","Кем 14-ый член семьи приходится 7-му члену семьи?","Who the 14th member of the family has to the 7th member of the family?"
"117",222,"rb14.9.8","h22","Кем 14-ый член семьи приходится 8-му члену семьи?","Who the 14th member of the family has to the 8th member of the family?"
"118",223,"rb14.9.9","h22","Кем 14-ый член семьи приходится 9-му члену семьи?","Who the 14th member of the family has to 9th family member?"
"119",44,"rb1.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"120",228,"rb15.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"121",230,"rb15.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"122",231,"rb152.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"123",232,"rb15.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"124",233,"rb15.4","h22","Какого пола этот человек?","What sex is this person?"
"125",234,"rb15.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"126",235,"rb15.9.1","h22","Кем 15-ый член семьи приходится 1-му члену семьи?","Who the 15th member of the family has to 1st family member?"
"127",244,"rb159.10","h22","Кем 15-ый член семьи приходится 10-му члену семьи?","Who the 15th member of the family has to the 10th member of the family?"
"128",245,"rb159.11","h22","Кем 15-ый член семьи приходится 11-му члену семьи?","Who the 15th member of the family has to the 11th member of the family?"
"129",246,"rb159.12","h22","Кем 15-ый член семьи приходится 12-му члену семьи?","Who the 15th member of the family has to the 12th member of the family?"
"130",247,"rb159.13","h22","Кем 15-ый член семьи приходится 13-му члену семьи?","Who the 15th member of the family has to the 13th member of the family?"
"131",248,"rb159.14","h22","Кем 15-ый член семьи приходится 14-му члену семьи?","Who the 15th member of the family has to the 14th member of the family?"
"132",236,"rb15.9.2","h22","Кем 15-ый член семьи приходится 2-му члену семьи?","Who the 15th member of the family has to 2nd family member?"
"133",237,"rb15.9.3","h22","Кем 15-ый член семьи приходится 3-му члену семьи?","Who the 15th member of the family has to 3rd family member?"
"134",238,"rb15.9.4","h22","Кем 15-ый член семьи приходится 4-му члену семьи?","Who the 15th member of the family has to the 4th member of the family?"
"135",239,"rb15.9.5","h22","Кем 15-ый член семьи приходится 5-му члену семьи?","Who the 15th member of the family has to the 5th member of the family?"
"136",240,"rb15.9.6","h22","Кем 15-ый член семьи приходится 6-му члену семьи?","Who the 15th member of the family has to the 6th member of the family?"
"137",241,"rb15.9.7","h22","Кем 15-ый член семьи приходится 7-му члену семьи?","Who the 15th member of the family has to the 7th member of the family?"
"138",242,"rb15.9.8","h22","Кем 15-ый член семьи приходится 8-му члену семьи?","Who the 15th member of the family has to the 8th member of the family?"
"139",243,"rb15.9.9","h22","Кем 15-ый член семьи приходится 9-му члену семьи?","Who the 15th member of the family has to 9th family member?"
"140",249,"rb16.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"141",251,"rb16.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"142",252,"rb162.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"143",253,"rb16.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"144",254,"rb16.4","h22","Какого пола этот человек?","What sex is this person?"
"145",255,"rb16.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"146",256,"rb16.9.1","h22","Кем 16-ый член семьи приходится 1-му члену семьи?","Who the 16th member of the family has to 1st family member?"
"147",265,"rb169.10","h22","Кем 16-ый член семьи приходится 10-му члену семьи?","Who the 16th member of the family has to the 10th member of the family?"
"148",266,"rb169.11","h22","Кем 16-ый член семьи приходится 11-му члену семьи?","Who the 16th member of the family has to the 11th member of the family?"
"149",267,"rb169.12","h22","Кем 16-ый член семьи приходится 12-му члену семьи?","Who the 16th member of the family has to the 12th member of the family?"
"150",268,"rb169.13","h22","Кем 16-ый член семьи приходится 13-му члену семьи?","Who the 16th member of the family has to the 13th member of the family?"
"151",269,"rb169.14","h22","Кем 16-ый член семьи приходится 14-му члену семьи?","Who the 16th member of the family has to the 14th member of the family?"
"152",270,"rb169.15","h22","Кем 16-ый член семьи приходится 15-му члену семьи?","Who the 16th member of the family has to the 15th member of the family?"
"153",257,"rb16.9.2","h22","Кем 16-ый член семьи приходится 2-му члену семьи?","Who the 16th member of the family has to 2nd family member?"
"154",258,"rb16.9.3","h22","Кем 16-ый член семьи приходится 3-му члену семьи?","Who the 16th member of the family has to 3rd family member?"
"155",259,"rb16.9.4","h22","Кем 16-ый член семьи приходится 4-му члену семьи?","Who the 16th member of the family has to the 4th member of the family?"
"156",260,"rb16.9.5","h22","Кем 16-ый член семьи приходится 5-му члену семьи?","Who the 16th member of the family has to 5th family member?"
"157",261,"rb16.9.6","h22","Кем 16-ый член семьи приходится 6-му члену семьи?","Who the 16th member of the family has to the 6th member of the family?"
"158",262,"rb16.9.7","h22","Кем 16-ый член семьи приходится 7-му члену семьи?","Who the 16th member of the family has to the 7th member of the family?"
"159",263,"rb16.9.8","h22","Кем 16-ый член семьи приходится 8-му члену семьи?","Who the 16th member of the family has to the 8th member of the family?"
"160",264,"rb16.9.9","h22","Кем 16-ый член семьи приходится 9-му члену семьи?","Who the 16th member of the family has to 9th family member?"
"161",271,"rb17.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"162",273,"rb17.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"163",274,"rb172.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"164",275,"rb17.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"165",276,"rb17.4","h22","Какого пола этот человек?","What sex is this person?"
"166",277,"rb17.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"167",278,"rb17.9.1","h22","Кем 17-ый член семьи приходится 1-му члену семьи?","Who the 17th member of the family has to 1st family member?"
"168",287,"rb17.910","h22","Кем 17-ый член семьи приходится 10-му члену семьи?","Who the 17th member of the family has to the 10th member of the family?"
"169",288,"rb17.911","h22","Кем 17-ый член семьи приходится 11-му члену семьи?","Who the 17th member of the family has to the 11th member of the family?"
"170",289,"rb17.912","h22","Кем 17-ый член семьи приходится 12-му члену семьи?","Who the 17th member of the family has to the 12th member of the family?"
"171",290,"rb17.913","h22","Кем 17-ый член семьи приходится 13-му члену семьи?","Who the 17th member of the family has to the 13th member of the family?"
"172",291,"rb17.914","h22","Кем 17-ый член семьи приходится 14-му члену семьи?","Who the 17th member of the family has to the 14th member of the family?"
"173",292,"rb17.915","h22","Кем 17-ый член семьи приходится 15-му члену семьи?","Who the 17th member of the family has to the 15th member of the family?"
"174",293,"rb17.916","h22","Кем 17-ый член семьи приходится 16-му члену семьи?","Who the 17th member of the family has to the 16th member of the family?"
"175",279,"rb17.9.2","h22","Кем 17-ый член семьи приходится 2-му члену семьи?","Who the 17th member of the family has to 2nd family member?"
"176",280,"rb17.9.3","h22","Кем 17-ый член семьи приходится 3-му члену семьи?","Who the 17th member of the family has to 3rd family member?"
"177",281,"rb17.9.4","h22","Кем 17-ый член семьи приходится 4-му члену семьи?","Who the 17th member of the family has to the 4th member of the family?"
"178",282,"rb17.9.5","h22","Кем 17-ый член семьи приходится 5-му члену семьи?","Who the 17th member of the family has to 5th family member?"
"179",283,"rb17.9.6","h22","Кем 17-ый член семьи приходится 6-му члену семьи?","Who the 17th member of the family has to the 6th member of the family?"
"180",284,"rb17.9.7","h22","Кем 17-ый член семьи приходится 7-му члену семьи?","Who the 17th member of the family has to the 7th member of the family?"
"181",285,"rb17.9.8","h22","Кем 17-ый член семьи приходится 8-му члену семьи?","Who the 17th member of the family has to the 8th member of the family?"
"182",286,"rb17.9.9","h22","Кем 17-ый член семьи приходится 9-му члену семьи?","Who the 17th member of the family has to 9th family member?"
"183",294,"rb18.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"184",296,"rb18.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"185",297,"rb182.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"186",298,"rb18.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"187",299,"rb18.4","h22","Какого пола этот человек?","What sex is this person?"
"188",300,"rb18.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"189",301,"rb18.9.1","h22","Кем 18-ый член семьи приходится 1-му члену семьи?","Who the 18th member of the family has to 1st family member?"
"190",310,"rb18.910","h22","Кем 18-ый член семьи приходится 10-му члену семьи?","Who the 18th member of the family has to the 10th member of the family?"
"191",311,"rb18.911","h22","Кем 18-ый член семьи приходится 11-му члену семьи?","Who the 18th member of the family has to the 11th member of the family?"
"192",312,"rb18.912","h22","Кем 18-ый член семьи приходится 12-му члену семьи?","Who the 18th member of the family has to the 12th member of the family?"
"193",313,"rb18.913","h22","Кем 18-ый член семьи приходится 13-му члену семьи?","Who the 18th member of the family has to the 13th member of the family?"
"194",314,"rb18.914","h22","Кем 18-ый член семьи приходится 14-му члену семьи?","Who the 18th member of the family has to the 14th member of the family?"
"195",315,"rb18.915","h22","Кем 18-ый член семьи приходится 15-му члену семьи?","Who the 18th member of the family has to the 15th member of the family?"
"196",316,"rb18.916","h22","Кем 18-ый член семьи приходится 16-му члену семьи?","Who the 18th member of the family has to the 16th member of the family?"
"197",317,"rb18.917","h22","Кем 18-ый член семьи приходится 17-му члену семьи?","Who the 18th member of the family has to the 17th member of the family?"
"198",302,"rb18.9.2","h22","Кем 18-ый член семьи приходится 2-му члену семьи?","Who the 18th member of the family has to 2nd family member?"
"199",303,"rb18.9.3","h22","Кем 18-ый член семьи приходится 3-му члену семьи?","Who the 18th member of the family has to 3rd family member?"
"200",304,"rb18.9.4","h22","Кем 18-ый член семьи приходится 4-му члену семьи?","Who the 18th member of the family has to the 4th member of the family?"
"201",305,"rb18.9.5","h22","Кем 18-ый член семьи приходится 5-му члену семьи?","Who the 18th member of the family has to 5th family member?"
"202",306,"rb18.9.6","h22","Кем 18-ый член семьи приходится 6-му члену семьи?","Who the 18th member of the family has to the 6th member of the family?"
"203",307,"rb18.9.7","h22","Кем 18-ый член семьи приходится 7-му члену семьи?","Who the 18th member of the family has to the 7th member of the family?"
"204",308,"rb18.9.8","h22","Кем 18-ый член семьи приходится 8-му члену семьи?","Who the 18th member of the family has to the 8th member of the family?"
"205",309,"rb18.9.9","h22","Кем 18-ый член семьи приходится 9-му члену семьи?","Who the 18th member of the family has to 9th family member?"
"206",318,"rb19.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"207",320,"rb19.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"208",321,"rb192.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"209",322,"rb19.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"210",323,"rb19.4","h22","Какого пола этот человек?","What sex is this person?"
"211",324,"rb19.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"212",325,"rb19.9.1","h22","Кем 19-ый член семьи приходится 1-му члену семьи?","Who the 19th member of the family has to 1st family member?"
"213",334,"rb19.910","h22","Кем 19-ый член семьи приходится 10-му члену семьи?","Who the 19th member of the family has to the 10th member of the family?"
"214",335,"rb19.911","h22","Кем 19-ый член семьи приходится 11-му члену семьи?","Who the 19th member of the family has to the 11th member of the family?"
"215",336,"rb19.912","h22","Кем 19-ый член семьи приходится 12-му члену семьи?","Who the 19th member of the family has to the 12th member of the family?"
"216",337,"rb19.913","h22","Кем 19-ый член семьи приходится 13-му члену семьи?","Who the 19th member of the family has to the 13th member of the family?"
"217",338,"rb19.914","h22","Кем 19-ый член семьи приходится 14-му члену семьи?","Who the 19th member of the family has to the 14th member of the family?"
"218",339,"rb19.915","h22","Кем 19-ый член семьи приходится 15-му члену семьи?","Who the 19th member of the family has to the 15th member of the family?"
"219",340,"rb19.916","h22","Кем 19-ый член семьи приходится 16-му члену семьи?","Who the 19th member of the family has to the 16th member of the family?"
"220",341,"rb19.917","h22","Кем 19-ый член семьи приходится 17-му члену семьи?","Who the 19th member of the family has to the 17th member of the family?"
"221",342,"rb19.918","h22","Кем 19-ый член семьи приходится 18-му члену семьи?","Who the 19th member of the family has to the 18th member of the family?"
"222",326,"rb19.9.2","h22","Кем 19-ый член семьи приходится 2-му члену семьи?","Who the 19th member of the family has to 2nd family member?"
"223",327,"rb19.9.3","h22","Кем 19-ый член семьи приходится 3-му члену семьи?","Who the 19th member of the family has to 3rd family member?"
"224",328,"rb19.9.4","h22","Кем 19-ый член семьи приходится 4-му члену семьи?","Who the 19th member of the family has to the 4th member of the family?"
"225",329,"rb19.9.5","h22","Кем 19-ый член семьи приходится 5-му члену семьи?","Who the 19th member of the family has to 5th family member?"
