"","varcode","nro","wave","russian","english"
"50","q_marst",50,"i21","СЕМЕЙНОЕ ПОЛОЖЕНИЕ - 21 ВОЛНА","MARITAL STATUS - 21 WAVE"
"51","q_occup",51,"i21","ПРОФЕССИОНАЛЬНАЯ ГРУППА - 21 ВОЛНА","Professional groups - 21 WAVE"
"52","q_educ",52,"i21","ОБРАЗОВАНИЕ (ПОДРОБНО): старше 14 лет","EDUCATION (details): over 14 years"
"53","q_diplom",53,"i21","ЗАКОНЧЕННОЕ ОБРАЗОВАНИЕ (ГРУППА)","Completed education (GROUP)"
"54","y_birth",54,"i21","ГОД РОЖДЕНИЯ - НАИБОЛЕЕ ВЕРОЯТНЫЙ ПО ДАННЫМ ВОЛН 5-21","Year of birth - most likely ACCORDING TO WAVE 5-21"
"55","q_i_year",55,"i21","Год сбора данных по миграции","Vintage data migration"
"56","qh3a",56,"i21","НОМЕР СЕМЬИ","FAMILY ROOM"
"57","qh4",57,"i21","Номер члена семьи","Number of family members"
"58","qh4.1",58,"i21","Респондент ранее участвовал(а) в исследовании?","Respondent has previously taken part (a) in the study?"
"59","qh5",59,"i21","Пол респондента","Sex of the respondent"
"60","qh6",60,"i21","Год рождения респондента 21 ВОЛНА (=qj69.9c)","Year of birth of respondent 21 WAVE (= qj69.9c)"
"61","qh7.1",61,"i21","Дата проведения интервью: число","Date of interview: the number of"
"62","qh7.2",62,"i21","Дата проведения интервью: месяц","Date of interview: Month"
"63","qh8a",63,"i21","Интервью продолжалось: часов и минут (часов)","Interview continued: hours and minutes (hours)"
"64","qh8b",64,"i21","Интервью продолжалось: часов и минут (минут)","Interview continued: hours and minutes (minutes)"
"65","qi1",65,"i21","Вы родились в другом населенном пункте или в том; где живете сейчас?","You were born in another location or in; where do you live now?"
"66","qi2",66,"i21","В какой республике бывшего СССР Вы родились?","In some former Soviet republics were you born?"
"67","qi3",67,"i21","Вы родились в городе; поселке городского типа или в селе; деревне; кишлаке; ауле?","You were born in the city; a small town or village; village; village; aul?"
"68","qi3.1",68,"i21","Вы жили в другом населенном пункте - не в том; где Вы родились; более чем 6 месяцев подряд после того; как Вам исполнилось 14 лет; включая учебу; службу в армии и прочее?","You have lived in another village - not that; where you were born; more than 6 consecutive months thereafter; as you are at least 14 years of age; including studies; served in the army and so on?"
"69","qi4",69,"i21","Кем Вы себя считаете по национальности?","Who do you think you are by nationality?"
"70","qi7",70,"i21","С какого года Вы живете в данном населенном пункте?","Since when do you live in this village?"
"71","qi8",71,"i21","С какого года Вы постоянно живете в Российской Федерации?","When did you always live in the Russian Federation?"
"72","qj1",72,"i21","Ваше основное занятие в настоящее время?","Your main occupation now?"
"73","qj1.1.1",73,"i21","Насколько Вы удовлетворены или не удовлетворены Вашей работой в целом?","Are you satisfied or dissatisfied with your work in general?"
"74","qj1.1.2",74,"i21","Насколько Вы удовлетворены или не удовлетворены условиями Вашего труда?","Are you satisfied or not satisfied with the terms of your work?"
"75","qj1.1.3",75,"i21","Насколько Вы удовлетворены или не удовлетворены оплатой Вашего труда?","Are you satisfied or dissatisfied with the payment of your work?"
"76","qj1.1.4",76,"i21","Насколько Вы удовлетворены или не удовлетворены возможностями для Вашего профессионального роста?","Are you satisfied or dissatisfied with opportunities for your professional growth?"
"77","qj2code",77,"i21","Код профессии по ISCO88 основной работы","Code profession ISCO88 basic work"
"78","qj4.1",78,"i21","В какой отрасли Вы работаете на этой работе?","In what industry you work in this job?"
"79","qj5a",79,"i21","С какого года Вы работаете на этом предприятии? Если Вы увольнялись и снова возвращались на то же предприятие; назовите дату последнего возвращения (ГОД)","When did you work for this company? If you leave and come back again to the same company; name the date of the last return (year)"
"80","qj5b",80,"i21","С какого месяца Вы работаете на этом предприятии? Если Вы увольнялись и снова возвращались на то же предприятие; назовите дату последнего возвращения (МЕСЯЦ)","From what month you work at this business? If you leave and come back again to the same company; name the date of the last return (months)"
"81","qj5.2",81,"i21","Как Вы нашли эту Вашу основную работу?","How did you find this your main job?"
"82","qj6",82,"i21","У Вас есть подчиненные на этой работе?","Do you have a slave in this job?"
"83","qj6.0",83,"i21","Сколько у Вас подчиненных? Пожалуйста; посчитайте всех Ваших подчиненных; а не только тех; кто находится в Вашем непосредственном подчинении","How you subordinates? Please; count all your subordinates; not just those; who is your direct submission"
"84","qj6.1a",84,"i21","Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (ЧАСОВ)","What is the average continuing your normal working day on the job: hours and minutes? (Hours)"
"85","qj6.1b",85,"i21","Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (МИНУТ)","What is the average continuing your normal working day on the job: hours and minutes? (MIN)"
"86","qj6.2",86,"i21","Сколько часов в среднем продолжается Ваша обычная рабочая неделя?","How many hours on average lasts your usual working week?"
"87","qj7",87,"i21","Вы работали по основному месту работы в течение последних 30 дней?","You worked on the main job in the last 30 days?"
"88","qj7.1",88,"i21","Сколько всего рабочих дней было у Вас за последние 30 дней?","How many days did you have in the last 30 days?"
"89","qj8",89,"i21","Сколько часов Вы фактически отработали по основному месту работы в течение последних 30 дней?","How many hours you actually worked on the main job in the last 30 days?"
"90","qj8.1",90,"i21","Скажите; пожалуйста; Вы работали по основной работе дома в течение последних 30 дней?","tell me; please; You worked on the main job at home in the last 30 days?"
"91","qj8.2",91,"i21","Сколько часов Вы фактически занимались этой работой дома в течение последних 30 дней?","How many hours did you actually doing this work at home in the last 30 days?"
"92","qj8.3",92,"i21","Скажите; пожалуйста; Вы учитывали эти часы; когда называли общую продолжительность рабочего времени за последние 30 дней?","tell me; please; You take into account those hours; called when the total duration of working time in the last 30 days?"
"93","qj9",93,"i21","По основному месту работы в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли?","The main job in the last 30 days you have received any money as salary; Prize; subsidies; benefits; income; profits?"
"94","qj10",94,"i21","Сколько денег в течение последних 30 дней Вы получили по основному месту работы после вычета налогов и отчислений? Если все или часть денег Вы получили в иностранной валюте; переведите все в рубли и назовите общую сумму","How much money in the last 30 days you will get the main job after taxes and deductions? If all or part of the money you received in foreign currency; turn all into rubles and name totaling"
"95","qj10.1",95,"i21","Как Вы думаете; какой процент этих денег был проведен официально; то есть с них были уплачены налоги?","What do you think; what percentage of the money was held officially; that is, they had paid taxes?"
"96","qj10.2",96,"i21","Если Вы получали премию по основному месту работы в течение последних 30 дней; то сколько рублей Вы получили?","If you have received the award in the main job in the last 30 days; how many rubles you get?"
"97","qj11",97,"i21","На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная","In this job you work in the enterprise; in the organization? We mean any organization; which employs more than one person; regardless; it private or public"
"98","qj11.1",98,"i21","Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту?","You feature on this work officially; that is, the workbook; employment agreement; contract?"
"99","qj11.2",99,"i21","Почему Вы не оформлены на этой работе официально?","Why do not you feature on this work officially?"
"100","qj13",100,"i21","Сколько человек работает на Вашем предприятии? Если не знаете точно; скажите примерно","How many people work at your company? If you do not know exactly; tell me about"
"101","qj13.2",101,"i21","За последние 12 месяцев какова была Ваша среднемесячная зарплата на этом предприятии после вычета налогов - независимо от того; платят Вам ее вовремя или нет?","Over the past 12 months, what was your average monthly salary at the plant after taxes - no matter; You pay it on time or not?"
"102","qj14",102,"i21","В настоящее время Ваше предприятие осталось должно Вам какие-то деньги; которые по разным причинам не выплатило вовремя?","Currently, your company owes you some money; who for various reasons are not paid on time?"
"103","qj15",103,"i21","Сколько всего денег Вам не доплатили?","How much money you do not pay extra?"
"104","qj16",104,"i21","За сколько месяцев предприятие не доплатило Вам эти деньги?","For many months, the company does not pay you the money?"
"105","qj18.2",105,"i21","В течение последних 12 месяцев Вам уменьшали зарплату или сокращали часы работы не по Вашему желанию?","In the last 12 months you have reduced wages or reduced work hours not according to your wishes?"
"106","qj19",106,"i21","В течение последних 12 месяцев Вас отправляла администрация в вынужденный неоплачиваемый отпуск?","In the last 12 months you sent the administration a forced unpaid leave?"
"107","qj21a",107,"i21","В течение последних 12 месяцев Вы были в оплачиваемом отпуске?","During the past 12 months, have you been in paid vacation?"
"108","qj21b",108,"i21","Сколько всего календарных дней продолжался или продолжается этот отпуск?","How many days continued or resumed this holiday?"
"109","qj21.3",109,"i21","Является ли производство; на котором Вы работаете; вредным или опасным; т.е. дающим Вам право на досрочное назначение трудовой пенсии; на дополнительные выплаты или льготы?","Is production; where you work; harmful or dangerous; ie giving you the right to early appointment of labor pension; additional payments or benefits?"
"110","qj23",110,"i21","Является государство владельцем или совладельцем Вашего предприятия; организации?","The State is the owner or co-owner of your company; the organization?"
"111","qj24",111,"i21","Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица?","Is the owner or co-owners of your company; organization of foreign companies or foreign individuals?"
"112","qj25",112,"i21","Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы?","Is the owner or co-owners of your company; organization of any Russian private person; collective enterprises, or Russian private firms?"
"113","qj26",113,"i21","А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете?","Do you personally own or co-owner of the company; where do you work?"
"114","qj29",114,"i21","Как Вы считаете; на этой работе Вы занимаетесь предпринимательской деятельностью?","What do you think; this work you engage in entrepreneurial activity?"
"115","qj308",115,"i21","Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на основной работе; было создано:","Please; tell; company or organization; you work in the main job; was created"
"116","qj309",116,"i21","Форма собственности предприятия или организации; в которой Вы работаете на основной работе; с тех пор:","Ownership of the enterprise or organization; you work in the main job; since then:"
"117","qj29.c1",117,"i21","В какой степени Вы доверяете руководству Вашего предприятия; организации?","To what extent do you trust the leadership of your company; the organization?"
"118","qj29.c2",118,"i21","В какой степени Вы доверяете людям; с которыми Вы вместе работаете; Вашим коллегам?","To what extent do you trust the people; with whom you work together; Your colleagues?"
"119","qj22",119,"i21","Представьте себе не очень приятную картину: предприятие; где Вы работаете; по каким-то причинам закроется; и все работники уволены. Насколько Вы уверены в том; что сможете найти работу не хуже той; на которой работаете сейчас?","Imagine not very pleasant picture: the enterprise; where you work; for whatever reasons, will close; and all employees laid off. How confident are you that; that will be able to find a job is not worse than that; on which work now?"
"120","qj29.0",120,"i21","На этой работе Вы занимаетесь...?","In this job you do ...?"
"121","qj31",121,"i21","Насколько Вас беспокоит то; что Вы можете потерять работу?","As far as you are concerned; you could lose your job?"
"122","qj29.1",122,"i21","Вы сменили место работы или профессию по сравнению с ноябрем 2011 года; или все осталось по-прежнему?","You changed jobs or profession compared to November 2011; or all remained the same?"
"123","qj29.1s",123,"i21","ДРУГОЕ к вопросу j29.1","To each question j29.1"
"124","qj29.2.1",124,"i21","После ноября 2011 года Вы продвинулись по службе; получили более высокую должность?","Since November 2011 you moved to the service; received a higher position?"
"125","qj29.2.2",125,"i21","После ноября 2011 года Вы перешли работать в другое структурное подразделение - отдел; цех и т.п.?","Since November 2011 you went to work in other business units - Department; shop, etc.?"
"126","qj29.2.3",126,"i21","После ноября 2011 года Вы перешли на более низкую должность?","Since November 2011 you moved to a lower position?"
"127","qj32",127,"i21","У Вас есть еще какая-нибудь работа?","Do you still have any work?"
"128","qj32.1",128,"i21","Возможно; у Вас есть еще работа по совместительству; временная работа по контракту; соглашению; договору подряда; гранту; или индивидуальная работа по лицензии или без нее?","possible; You still have a job-sharing; temporary work under the contract; agreement; Contract; grant; or self-employed person under license or without her?"
"129","qj33code",129,"i21","Код профессии по ISCO88 дополнительной работы","Code profession ISCO88 additional work"
"130","qj35.1",130,"i21","В какой отрасли Вы работаете на этой работе?","In what industry you work in this job?"
"131","qj36.1a",131,"i21","Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (ЧАСОВ)","The average number of hours and minutes continues your typical day in this job? (Hours)"
"132","qj36.1b",132,"i21","Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (МИНУТ)","The average number of hours and minutes continues your typical day in this job? (MIN)"
"133","qj36.2",133,"i21","А сколько часов в среднем продолжается Ваша обычная рабочая неделя?","How many hours on average lasts your usual working week?"
"134","qj37",134,"i21","Вы работали на этой работе в течение последних 30 дней?","You've worked at this job in the last 30 days?"
"135","qj38",135,"i21","Сколько часов Вы фактически отработали на этой работе в течение последних 30 дней?","How many hours you actually worked at this job in the last 30 days?"
"136","qj39",136,"i21","На той работе; о которой мы сейчас говорим; в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли?","On the work; about which we are talking; in the last 30 days you get some amount of money as salary; Prize; subsidies; benefits; income; profits?"
"137","qj40",137,"i21","Сколько денег в течение последних 30 дней Вы получили на этой работе после вычета налогов? Если все или часть денег Вы получили не в рублях; а в иностранной валюте; переведите  все в рубли и назовите общую сумму","How much money in the last 30 days you got this job after taxes? If all or part of the money you received is not in rubles; and in foreign currency; turn all into rubles and name totaling"
"138","qj41",138,"i21","На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная","In this job you work in the enterprise; in the organization? We mean any organization; which employs more than one person; regardless; it private or public"
"139","qj41.1",139,"i21","Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту?","You feature on this work officially; that is, the workbook; employment agreement; contract?"
"140","qj41.2",140,"i21","Почему Вы не оформлены на этой работе официально?","Why do not you feature on this work officially?"
"141","qj313",141,"i21","Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на этой работе; было создано:","Please; tell; company or organization; you work at this job; was created"
"142","qj314",142,"i21","Форма собственности предприятия или организации; в которой Вы работаете на этой работе; с тех пор:","Ownership of the enterprise or organization; you work at this job; since then:"
"143","qj43",143,"i21","Сколько человек работает на этом предприятии? Если не знаете точно; скажите примерно","How many people work at the plant? If you do not know exactly; tell me about"
"144","qj49",144,"i21","Является государство владельцем или совладельцем Вашего предприятия; организации?","The State is the owner or co-owner of your company; the organization?"
"145","qj50",145,"i21","Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица?","Is the owner or co-owners of your company; organization of foreign companies or foreign individuals?"
"146","qj51",146,"i21","Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы?","Is the owner or co-owners of your company; organization of any Russian private person; collective enterprises, or Russian private firms?"
"147","qj52",147,"i21","А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете?","Do you personally own or co-owner of the company; where do you work?"
"148","qj56",148,"i21","В течение последних 30 дней Вы занимались (еще) какой-нибудь работой; за которую Вам заплатили или должны заплатить?","Over the past 30 days did you do (yet) any work; for which you have paid or have to pay?"
"149","qj56.11c",149,"i21","Код профессии по ISCO88 первого случайного заработка","Code of the profession for the first random ISCO88 earnings"
"150","qj56.12c",150,"i21","Код профессии по ISCO88 второго случайного заработка","Code profession ISCO88 second random earnings"
"151","qj56.13c",151,"i21","Код профессии по ISCO88 третьего случайного заработка","Code profession ISCO88 third odd jobs"
"152","qj57",152,"i21","Сколько всего денег в течение последних 30 дней Вам заплатили за всю эту работу? Если оплата производилась в неденежной форме; оцените; сколько это; примерно; будет в рублях?","How much money in the last 30 days you paid for all this work? If payment is made in kind; vote; how much it; about; will be in rubles?"
"153","qj58",153,"i21","Для Вас это был случайный заработок или Вы часто занимаетесь такой работой и регулярно получаете за это деньги?","For you, this was a random earnings or you often do this kind of work and regularly get money for it?"
"154","qj59",154,"i21","Сколько часов за последние 30 дней Вы занимались всей этой работой?","How many hours in the last 30 days did you do all this work?"
"155","qj59.1",155,"i21","Скажите; эта работа была оформлена официально; например; по договору или контракту; лицензии?","tell me; This work has been issued officially; for example; under the agreement or contract; Licenses?"
"156","qj60",156,"i21","Сколько всего денег в течение последних 30 дней Вы лично получили; считая все: зарплату; пенсии; премии; прибыли; пособия; материальную помощь; случайные заработки и другие денежные поступления","How much money in the last 30 days you personally received; Considering all: salary; pensions; Prize; profits; benefits; financial assistance; odd jobs and other cash receipts"
"157","qj60.4a1",157,"i21","В течение последних 12 месяцев Вы работали на дополнительной работе?","During the past 12 months have you worked for the extra work?"
"158","qj60.4a2",158,"i21","В течение последних 12 месяцев Вы выращивали что-то на своем участке на продажу или на обмен?","During the past 12 months, have you grown something on the site for sale or exchange?"
"159","qj60.4a3",159,"i21","В течение последних 12 месяцев Вы разводили скот; птицу; рыб; другую живность на продажу?","During the past 12 months, have you raised cattle; poultry; fish; other animals for sale?"
"160","qj60.4a7",160,"i21","В течение последних 12 месяцев Вы сдавали внаем квартиру; комнату; дачу; гараж; автомобиль?","During the past 12 months, have you rented an apartment; room; cottage; garage; a car?"
"161","qj60.4a8",161,"i21","В течение последних 12 месяцев Вы клали деньги в банк под проценты; давали деньги в займы под проценты?","During the past 12 months, have you put money in the bank at interest; given money in loans at interest?"
"162","qj60.4a9",162,"i21","В течение последних 12 месяцев Вы оказывали услуги за плату; например; подвозили кого-то на машине; ремонтировали бытовую технику; автомобили; нанимались делать ремонт в квартире и т.п.?","In the last 12 months you have been providing services for a fee; for example; someone a ride on the machine; repairing appliances; automobiles; hired to make repairs in the apartment, and the like?"
"163","qj60.5a",163,"i21","Как изменилось материальное положение Вашей семьи за последние 12 месяцев?","How has your financial position in the last 12 months?"
"164","qj61",164,"i21","Как Вы думаете; через 12 месяцев Вы и Ваша семья будете жить лучше или хуже; чем сегодня?","What do you think; after 12 months, you and your family will live better or worse; than it is today?"
"165","qj62",165,"i21","Представьте себе лестницу из 9 ступеней; где на нижней; первой ступени; стоят нищие; а на высшей; девятой  - богатые. На какой из девяти ступеней находитесь сегодня Вы лично?","Imagine a staircase of 9 steps; wherein on the bottom; the first stage; are poor; and at the top; ninth - the rich. Which of the nine steps are you personally today?"
"166","qj63",166,"i21","Представьте себе лестницу; из 9 ступеней; где на нижней ступени стоят совсем бесправные; а на высшей - те; у кого большая власть. На каой из девяти ступеней находитесь сегодня Вы лично?","Imagine a ladder; of 9 degrees; where on the lower level are quite powerless; and at the top - those; Who has more power. On kaoy of nine steps are you personally today?"
"167","qj64",167,"i21","Еще одна лестница из 9 ступеней; где на нижней ступени находятся люди; которых совсем не уважают; а на высшей - те; кого очень уважают. На какой из девяти ступеней находитесь сегодня Вы лично?","Another staircase of 9 steps; where on the lower level are the people; which is not respected; and at the top - those; who are highly respected. Which of the nine steps are you personally today?"
"168","qj65",168,"i21","Насколько Вы удовлетворены своей жизнью в целом в настоящее время?","Are you satisfied with your life as a whole nowadays?"
"169","qj66",169,"i21","Насколько Вас беспокоит то; что Вы не сможете обеспечивать себя самым необходимым в ближайшие 12 месяцев?","As far as you are concerned; that you will not be able to provide for themselves the necessities in the next 12 months?"
"170","qj66.1",170,"i21","Насколько Вы удовлетворены своим материальным положением в настоящее время?","Are you satisfied with their financial situation at the moment?"
"171","qj70.1",171,"i21","Сколько классов школы Вы закончили?","How many years of schooling you have completed?"
"172","qj70",172,"i21","У Вас есть аттестат о полном среднем образовании; то есть об окончании 10 - 12 классов?","Do you have a certificate of secondary education; that is, the end of the 10 - 12 classes?"
"173","qj70.2",173,"i21","Вы сейчас учитесь в общеобразовательной школе; общеобразовательном колледже; лицее?","You are studying at a secondary school; general education college; Lyceum?"
"174","qk3.1",174,"i21","В каком классе Вы учитесь?","What grade do you study?"
"175","qk3.2",175,"i21","Вы учитесь в...?","You learn to ...?"
"176","qj317",176,"i21","Вы закончили учиться в школе в том же населенном пункте; где живете сейчас?","You have completed at school in the same locality; where do you live now?"
"177","qj318",177,"i21","В каком населенном пункте Вы закончили учиться в школе?","In a village you have completed in school?"
"178","qj319",178,"i21","Какую школу Вы окончили или в какой школе Вы учились последней?","What school you graduated from or what school you last attended?"
"179","qj71",179,"i21","Вы учились или учитесь где-нибудь; кроме школы?","You have studied or studying anywhere; besides school?"
"180","qj72.1a",180,"i21","Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (первые)","You have studied or studying in professional courses; for example; Courses tractor; drivers; typists; Accountants? (first)"
