"nro","varcode","russian"
19,"jid_i","НОМЕР ИНДИВИДА В 14-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
20,"jid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА"
21,"iid_i","НОМЕР ИНДИВИДА В 13-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
22,"iid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА"
23,"hid_i","НОМЕР ИНДИВИДА В 12-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
24,"hid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА"
25,"gid_i","НОМЕР ИНДИВИДА В 11-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
26,"gid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА"
27,"fid_i","НОМЕР ИНДИВИДА В 10-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
28,"fid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА"
29,"eid_i","НОМЕР ИНДИВИДА В 9-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
30,"eid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА"
31,"did_i","НОМЕР ИНДИВИДА В 8-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
32,"did_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА"
33,"cid_i","НОМЕР ИНДИВИДА В 7-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
34,"cid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА"
35,"bid_i","НОМЕР ИНДИВИДА В 6-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
36,"bid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА"
37,"aid_i","НОМЕР ИНДИВИДА В 5-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ"
38,"aid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА"
39,"r_origsm","АДРЕС РЕПРЕЗЕНТАТИВНОЙ ВЫБОРКИ? – в 22-й волне"
40,"r_inwgt","Постстратификационный вес для данного индивида"
41,"region","Регион"
42,"psu","Номер региона (первичная единица отбора)"
43,"site","НОМЕР НАСЕЛЕННОГО ПУНКТА"
44,"status","ТИП НАСЕЛЕННОГО ПУНКТА"
45,"popul","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ"
46,"r_adult","Есть взрослый вопросник 22 волны?"
47,"r_child","Есть детский вопросник 22 волны?"
48,"r_marst","СЕМЕЙНОЕ ПОЛОЖЕНИЕ - 22 ВОЛНА"
49,"r_occup","ПРОФЕССИОНАЛЬНАЯ ГРУППА - 22 ВОЛНА"
50,"r_int_y","Год опроса"
51,"r_born_m","Месяц рождения ребенка"
52,"r_educ","ОБРАЗОВАНИЕ (ПОДРОБНО): старше 14 лет"
53,"r_diplom","ЗАКОНЧЕННОЕ ОБРАЗОВАНИЕ (ГРУППА)"
54,"rh3a","НОМЕР СЕМЬИ"
55,"rh4","Номер члена семьи"
56,"rh4.1","Респондент ранее участвовал(а) в исследовании?"
57,"rh5","Пол респондента"
58,"rh6","Год рождения респондента 22 ВОЛНА (=rj69.9c)"
59,"rh7.1","Дата проведения интервью: число"
60,"rh7.2","Дата проведения интервью: месяц"
61,"rh8a","Интервью продолжалось: часов и минут (часов)"
62,"rh8b","Интервью продолжалось: часов и минут (минут)"
63,"ri1","Вы родились в другом населенном пункте или в том; где живете сейчас?"
64,"ri3","Вы родились в городе; поселке городского типа или в селе; деревне; кишлаке; ауле? * В 2013 году добавлено пояснение для интервьюера о том; что статус поселения отмечается такой; каким он был на момент рождения респондента."
65,"ri3.1","Вы жили в другом населенном пункте - не в том; где Вы родились; более чем 6 месяцев подряд после того; как Вам исполнилось 14 лет; включая учебу; службу в армии и прочее?"
66,"ri4","Кем Вы себя считаете по национальности?"
67,"ri7","С какого года Вы живете в данном населенном пункте?"
68,"ri8","С какого года Вы постоянно живете в Российской Федерации?"
69,"rj1","Ваше основное занятие в настоящее время?"
70,"rj1.1.1","Насколько Вы удовлетворены или не удовлетворены Вашей работой в целом?"
71,"rj1.1.2","Насколько Вы удовлетворены или не удовлетворены условиями Вашего труда?"
72,"rj1.1.3","Насколько Вы удовлетворены или не удовлетворены оплатой Вашего труда?"
73,"rj1.1.4","Насколько Вы удовлетворены или не удовлетворены возможностями для Вашего профессионального роста?"
74,"rj2code","Код профессии по ISCO88 основной работы"
75,"rj2cod08","Код профессии по ISCO2008 основной работы * Кодировка открытых вопросов основной работы по новой версии международного классификатора"
76,"rj4.1","В какой отрасли Вы работаете на этой работе? *В 2013 и 2012 годах помимо закрепленных в анкете вариантов ответов 1-18; были закодированы ответы Другое кодами 20-29. Кодификатор единый для этих годов опроса.  Ранее в 2004-2011 годах закрепленные коды 1-18 дополнялись объединенным кодом 99999996 ДРУГОЕ (без подробной кодировки)."
77,"rj5a","С какого года Вы работаете на этом предприятии; на этой работе? Если Вы увольнялись и снова возвращались на это же предприятие; на эту работу; назовите дату последнего возвращения (ГОД)"
78,"rj5b","С какого месяца Вы работаете на этом предприятии; на этой работе? Если Вы увольнялись и снова возвращались на это же предприятие; на эту работу; назовите дату последнего возвращения (МЕСЯЦ)"
79,"rj5.2","Как Вы нашли эту Вашу основную работу? * В 2013 году добавлен новый код 14 Другое; который поясняется в  последующей текстовой переменной  rj5.2s"
80,"rj5.2s","ДРУГОЕ к rj5.2 - Как Вы нашли эту Вашу основную работу?"
81,"rj6","У Вас есть подчиненные на этой работе?"
82,"rj6.0","Сколько у Вас подчиненных? Пожалуйста; посчитайте всех Ваших подчиненных; а не только тех; кто находится в Вашем непосредственном подчинении"
83,"rj6.1a","Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (ЧАСОВ) *В 2013 году; так же как и в 2012 году; введен новый код; не указанный в анкете: 99999996 'НЕНОРМИРОВАННЫЙ РАБОЧИЙ ДЕНЬ'. Он фиксирует ситуацию; когда респондент не может ответить на вопрос о длительности  своего обычного рабочего дня именно по этой причине; что и зафиксировано интервьюером на полях анкеты"
84,"rj6.1b","Сколько в среднем продолжается Ваш обычный рабочий день на этой работе: часов и минут? (МИНУТ)"
85,"rj6.2","Сколько часов в среднем продолжается Ваша обычная рабочая неделя?"
86,"rj7","Вы работали по основному месту работы в течение последних 30 дней?"
87,"rj7.1","Сколько всего рабочих дней было у Вас за последние 30 дней?"
88,"rj8","Сколько часов Вы фактически отработали по основному месту работы в течение последних 30 дней?"
89,"rj8.1","Скажите; пожалуйста; Вы работали по основной работе дома в течение последних 30 дней?"
90,"rj8.2","Сколько часов Вы фактически занимались этой работой дома в течение последних 30 дней?"
91,"rj8.3","Скажите; пожалуйста; Вы учитывали эти часы; когда называли общую продолжительность рабочего времени за последние 30 дней?"
92,"rj9","По основному месту работы в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли?"
93,"rj10","Сколько денег в течение последних 30 дней Вы получили по основному месту работы после вычета налогов и отчислений? Если все или часть денег Вы получили в иностранной валюте; переведите все в рубли и назовите общую сумму"
94,"rj10.1","Как Вы думаете; какой процент этих денег был проведен официально; то есть с них были уплачены налоги?"
95,"rj10.2","Если Вы получали премию по основному месту работы в течение последних 30 дней; то сколько рублей Вы получили?"
96,"rj11","На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная"
97,"rj11.1","Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту?"
98,"rj11.2","Почему Вы не оформлены на этой работе официально?"
99,"rj13","Сколько человек работает на Вашем предприятии? Если не знаете точно; скажите примерно"
100,"rj13.2","За последние 12 месяцев какова была Ваша среднемесячная зарплата на этом предприятии после вычета налогов - независимо от того; платят Вам ее вовремя или нет?"
101,"rj14","В настоящее время Ваше предприятие осталось должно Вам какие-то деньги; которые по разным причинам не выплатило вовремя?"
102,"rj15","Сколько всего денег Вам не доплатили?"
103,"rj16","За сколько месяцев предприятие не доплатило Вам эти деньги?"
104,"rj18.2","В течение последних 12 месяцев Вам уменьшали зарплату или сокращали часы работы не по Вашему желанию?"
105,"rj19","В течение последних 12 месяцев Вас отправляла администрация в вынужденный неоплачиваемый отпуск?"
106,"rj21a","В течение последних 12 месяцев Вы были в оплачиваемом отпуске?"
107,"rj21b","Сколько всего календарных дней продолжался или продолжается этот отпуск?"
108,"rj21.3","Является ли производство; на котором Вы работаете; вредным или опасным; т.е. дающим Вам право на досрочное назначение трудовой пенсии; на дополнительные выплаты или льготы?"
109,"rj23","Является государство владельцем или совладельцем Вашего предприятия; организации?"
110,"rj24","Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица?"
111,"rj25","Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы?"
112,"rj26","А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете?"
113,"rj29","Как Вы считаете; на этой работе Вы занимаетесь предпринимательской деятельностью?"
114,"rj308","Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на основной работе; было создано:"
115,"rj309","Форма собственности предприятия или организации; в которой Вы работаете на основной работе; с тех пор менялась или не менялась?"
116,"rj29.c1","В какой степени Вы доверяете руководству Вашего предприятия; организации?"
117,"rj29.c2","В какой степени Вы доверяете людям; с которыми Вы вместе работаете; Вашим коллегам?"
118,"rj22","Представьте себе не очень приятную картину: предприятие; где Вы работаете; по каким-то причинам закроется; и все работники будут уволены. Насколько Вы уверены в том; что сможете найти работу не хуже той; на которой работаете сейчас?"
119,"rj29.0","На этой работе Вы занимаетесь...?"
120,"rj31","Насколько Вас беспокоит то; что Вы можете потерять работу?"
121,"rj29.1","Вы сменили место работы или профессию по сравнению с ноябрем 2012 года; или все осталось по-прежнему?"
122,"rj29.1s","ДРУГОЕ к вопросу rj29.1 - Вы сменили место работы или профессию по сравнению с ноябрем 2012 года; или все осталось по-прежнему?"
123,"rj29.2.1","После ноября 2012 года Вы продвинулись по службе; получили более высокую должность?"
124,"rj29.2.2","После ноября 2012 года Вы перешли работать в другое структурное подразделение - отдел; цех?"
125,"rj29.2.3","После ноября 2012 года Вы перешли на более низкую должность?"
126,"rj32","У Вас есть еще какая-нибудь работа?"
127,"rj32.1","Возможно; у Вас есть еще работа по совместительству; временная работа по срочному контракту; трудовому соглашению; договору подряда; гранту; или индивидуальная работа по лицензии или без нее?"
128,"rj33code","Код профессии по ISCO88 дополнительной работы"
129,"rj35.1","В какой отрасли Вы работаете на этой работе?"
130,"rj36.1a","Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (ЧАСОВ)"
131,"rj36.1b","Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (МИНУТ)"
132,"rj36.2","А сколько часов в среднем продолжается Ваша обычная рабочая неделя?"
133,"rj37","Вы работали на этой работе в течение последних 30 дней?"
134,"rj38","Сколько часов Вы фактически отработали на этой работе в течение последних 30 дней?"
135,"rj39","На той работе; о которой мы сейчас говорим; в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли?"
136,"rj40","Сколько денег в течение последних 30 дней Вы получили на этой работе после вычета налогов? Если все или часть денег Вы получили не в рублях; а в иностранной валюте; переведите  все в рубли и назовите общую сумму"
137,"rj41","На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная"
138,"rj41.1","Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту?"
139,"rj41.2","Почему Вы не оформлены на этой работе официально?"
140,"rj313","Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на этой работе; было создано:"
141,"rj314","Форма собственности предприятия или организации; в которой Вы работаете на этой работе; с тех пор менялась или не менялась?"
142,"rj43","Сколько человек работает на этом Вашем предприятии? Если не знаете точно; скажите примерно"
143,"rj49","Является государство владельцем или совладельцем Вашего предприятия; организации?"
144,"rj50","Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица?"
145,"rj51","Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы?"
146,"rj52","А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете?"
147,"rj56","В течение последних 30 дней Вы занимались (еще) какой-нибудь работой; за которую Вам заплатили или должны заплатить?"
148,"rj56.11c","Код профессии по ISCO88 первого случайного заработка"
149,"rj56.12c","Код профессии по ISCO88 второго случайного заработка"
150,"rj56.13c","Код профессии по ISCO88 третьего случайного заработка"
151,"rj57","Сколько всего денег в течение последних 30 дней Вам заплатили за всю эту работу? Если оплата производилась в неденежной форме; оцените; сколько это; примерно; будет в рублях?"
152,"rj58","Для Вас это был случайный заработок или Вы часто занимаетесь такой работой и регулярно получаете за это деньги?"
153,"rj59","Сколько часов за последние 30 дней Вы занимались всей этой работой?"
154,"rj59.1","Скажите; эта работа была оформлена официально; например; по договору или контракту; лицензии?"
155,"rj60","Сколько всего денег в течение последних 30 дней Вы лично получили; считая все: зарплату; пенсии; премии; прибыли; пособия; материальную помощь; случайные заработки и другие денежные поступления"
156,"rj60.4a1","В течение последних 12 месяцев Вы работали на дополнительной работе?"
157,"rj60.4a2","В течение последних 12 месяцев Вы выращивали что-то на своем участке на продажу или на обмен?"
158,"rj60.4a3","В течение последних 12 месяцев Вы разводили скот; птицу; рыб; другую живность на продажу?"
159,"rj604a10","В течение последних 12 месяцев Вы охотились или собирали грибы; ягоды; травы и т.п. на продажу?"
160,"rj60.4a7","В течение последних 12 месяцев Вы сдавали внаем квартиру; комнату; дачу; гараж; автомобиль?"
161,"rj60.4a8","В течение последних 12 месяцев Вы клали деньги в банк под проценты; давали деньги взаймы под проценты?"
162,"rj60.4a9","В течение последних 12 месяцев Вы оказывали услуги за плату; например; подвозили кого-то на машине; ремонтировали бытовую технику; автомобили; нанимались делать ремонт в квартире и т.п.?"
163,"rj60.5a","Как изменилось материальное положение Вашей семьи за последние 12 месяцев?"
164,"rj61","Как Вы думаете; через 12 месяцев Вы и Ваша семья будете жить лучше или хуже; чем сегодня?"
165,"rj62","Представьте себе лестницу из 9 ступеней; где на нижней; первой ступени; стоят нищие; а на высшей; девятой  - богатые. На какой из девяти ступеней находитесь сегодня Вы лично?"
166,"rj63","Представьте себе лестницу; из 9 ступеней; где на нижней ступени стоят совсем бесправные; а на высшей - те; у кого большая власть. На какой из девяти ступеней находитесь сегодня Вы лично?"
167,"rj64","Еще одна лестница из 9 ступеней; где на нижней ступени находятся люди; которых совсем не уважают; а на высшей - те; кого очень уважают. На какой из девяти ступеней находитесь сегодня Вы лично?"
168,"rj65","Насколько Вы удовлетворены своей жизнью в целом в настоящее время?"
169,"rj66","Насколько Вас беспокоит то; что Вы не сможете обеспечивать себя самым необходимым в ближайшие 12 месяцев?"
170,"rj66.1","Насколько Вы удовлетворены своим материальным положением в настоящее время?"
171,"rj69.9c","В каком году Вы родились?"
172,"rj70.1","Сколько классов школы Вы закончили? * В 2013 году блок вопросов об образовании респондента (j70.1-j72) задавался только новым респондентам; а также мужчинам; которые ранее участвовали в опросе и родились в 1954 году и позже; и женщинам; которые  ранее участвовали в опросе и родились в 1959 году или позже. Остальным респондентам данные об их образовании были восстановлены из последней волны; в которой данный человек отвечал на вопросы этого блока.  В 2012 году этот блок вопросов задавали всем респондентам; которые ни разу не участвовали в данном опросе; либо с тех пор; как он участвовал в данном исследовании; в его образовании что-нибудь изменилось (по мнению респондента); остальные данные восстанавливались."
173,"rj70","У Вас есть аттестат о полном среднем образовании; то есть об окончании 10 - 12 классов?"
174,"rj70.2","Вы сейчас учитесь в общеобразовательной школе; общеобразовательном колледже; лицее; экстернате? *В 2013 году вопрос задается респондентам; которые родились в 1988 году или позже. В 2013 году он задавался тем; кто родился в 1994 году или позже. *В 2013 году сделано пояснение для интервьюеров; что здесь идет речь об обычной общеобразовательной школе; либо о тех общеобразовательных школах; которые получили название колледж или лицей из-за углубленного изучения некоторых предметов."
175,"rk3.1","В каком классе Вы учитесь?"
176,"rk3.2","Вы учитесь в...?"
177,"rj317","Вы закончили учиться в школе в том же населенном пункте; где живете сейчас?"
178,"rj318","В каком населенном пункте Вы закончили учиться в школе?"
179,"rj319","Какую школу Вы окончили или в какой школе Вы учились последней?"
180,"rj319s","ДРУГОЕ к rj319 - Какую школу окончили или в какой школе учились последней"
181,"rj71","Вы учились или учитесь где-нибудь; кроме школы?"
182,"rj72.1a","Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (первые)"
183,"rj72.1b","Сколько лет Вы проучились на профессиональных курсах? (первые)"
184,"rj721dac","Код профессии по ISCO88 первой специальности профессиональных курсов"
185,"rj72.1c","Получили ли диплом на профессиональных курсах? (первые)"
186,"rj72.1e","В каком году окончили/ушли с профессиональных курсов? (первые)"
187,"rj72.1a2","Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (вторые)"
188,"rj72.1b2","Сколько лет Вы проучились на профессиональных курсах? (вторые)"
189,"rj721dbc","Код профессии по ISCO88 второй специальности профессиональных курсов"
190,"rj72.1c2","Получили ли диплом на профессиональных курсах? (вторые)"
191,"rj72.1e2","В каком году окончили/ушли с профессиональных курсов? (вторые)"
192,"rj72.1a3","Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (третьи)"
193,"rj72.1b3","Сколько лет Вы проучились на профессиональных курсах? (третьи)"
194,"rj721dcc","Код профессии по ISCO88 третьей специальности профессиональных курсов"
195,"rj72.1c3","Получили ли диплом на профессиональных курсах? (третьи)"
196,"rj72.1e3","В каком году окончили/ушли с профессиональных курсов? (третьи)"
197,"rj72.1a4","Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (четвертые)"
198,"rj72.1b4","Сколько лет Вы проучились на профессиональных курсах? (четвертые)"
199,"rj721ddc","Код профессии по ISCO88 четвертой специальности профессиональных курсов"
200,"rj72.1c4","Получили ли диплом на профессиональных курсах? (четвертые)"
201,"rj72.1e4","В каком году окончили/ушли с профессиональных курсов? (четвертые)"
202,"rj72.1a5","Вы учились или учитесь на профессиональных курсах; например; курсы трактористов; шоферов; машинисток; бухгалтеров? (пятые)"
203,"rj72.1b5","Сколько лет Вы проучились на профессиональных курсах? (пятые)"
204,"rj721dec","Код профессии по ISCO88 пятой специальности профессиональных курсов"
205,"rj72.1c5","Получили ли диплом на профессиональных курсах? (пятые)"
206,"rj72.1e5","В каком году окончили/ушли с профессиональных курсов? (пятые)"
207,"rj72.2a","Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования? (первое)"
208,"rj72.2b","Сколько лет Вы проучились в ПТУ; ФЗУ; ФЗО без среднего образования? (первое)"
209,"rj722dac","Код профессии по ISCO88 первой специальности ПТУ без среднего образования"
210,"rj72.2c","Получили ли диплом в ПТУ; ФЗУ; ФЗО без среднего образования? (первое)"
211,"rj72.2e","В каком году окончили/ушли из ПТУ; ФЗУ; ФЗО без среднего образования? (первое)"
212,"rj72.2h","Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования очно? (первое)"
213,"rj72.2i","Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первое)"
214,"rj72.2a2","Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования? (второе)"
215,"rj72.2b2","Сколько лет Вы проучились в ПТУ; ФЗУ; ФЗО без среднего образования? (второе)"
216,"rj722dbc","Код профессии по ISCO88 второй специальности ПТУ без среднего образования"
217,"rj72.2c2","Получили ли диплом в ПТУ; ФЗУ; ФЗО без среднего образования? (второе)"
218,"rj72.2e2","В каком году окончили/ушли из ПТУ; ФЗУ; ФЗО без среднего образования? (второе)"
219,"rj72.2h2","Вы учились или учитесь в ПТУ; ФЗУ; ФЗО без среднего образования очно? (второе)"
220,"rj72.2i2","Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второе)"
221,"rj72.3a","Вы учились или учитесь в ПТУ со средним образованием; техническом училище? (первое)"
222,"rj72.3b","Сколько лет Вы проучились в ПТУ со средним образованием; техническом училище? (первое)"
223,"rj723dac","Код профессии по ISCO88 первой специальности ПТУ со средним образованием"
224,"rj72.3c","Получили ли диплом в ПТУ со средним образованием; техническом училище? (первое)"
225,"rj72.3e","В каком году окончили/ушли из ПТУ со средним образованием; технического училища? (первое)"
226,"rj72.3h","Вы учились или учитесь в ПТУ со средним образованием; техническом училище очно? (первое)"
227,"rj72.3i","Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первое)"
228,"rj72.3a2","Вы учились или учитесь в ПТУ со средним образованием; техническом училище? (второе)"
229,"rj72.3b2","Сколько лет Вы проучились в ПТУ со средним образованием; техническом училище? (второе)"
230,"rj723dbc","Код профессии по ISCO88 второй специальности ПТУ со средним образованием"
231,"rj72.3c2","Получили ли диплом в ПТУ со средним образованием; техническом училище? (второе)"
232,"rj72.3e2","В каком году окончили/ушли из ПТУ со средним образованием; технического училища? (второе)"
233,"rj72.3h2","Вы учились или учитесь в ПТУ со средним образованием; техническом училище очно? (второе)"
234,"rj72.3i2","Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второе)"
235,"rj72.4a","Вы учились или учитесь в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (первый)"
236,"rj72.4b","Сколько лет Вы проучились в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (первый)"
237,"rj724dac","Код профессии по ISCO88 первой специальности техникума; училища"
238,"rj72.4c","Получили ли диплом в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (первый)"
239,"rj72.4e","В каком году окончили/ушли из техникума; медицинского; музыкального; педагогического; художественного училища? (первый)"
240,"rj72.4h","Вы учились или учитесь в техникуме; училище очно? (первый)?"
241,"rj72.4i","Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первый)"
242,"rj72.4a2","Вы учились или учитесь в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (второй)"
243,"rj72.4b2","Сколько лет Вы проучились в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (второй)"
244,"rj724dbc","Код профессии по ISCO88 второй специальности техникума; училища"
245,"rj72.4c2","Получили ли диплом в техникуме; медицинском; музыкальном; педагогическом; художественном училище? (второй)"
246,"rj72.4e2","В каком году окончили/ушли из техникума; медицинского; музыкального; педагогического; художественного училища? (второй)"
247,"rj72.4h2","Вы учились или учитесь в техникуме; училище очно? (второй)"
248,"rj72.4i2","Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второй)"
249,"rj72.5a","Вы учились или учитесь в институте; университете; академии; включая магистратуру? (первый)"
250,"rj72.5b","Сколько лет Вы проучились в институте; университете; академии? (первый)"
251,"rj725dac","Код профессии по ISCO88 первой специальности института; университета; академии; включая магистратуру"
252,"rj72.5c","Получили ли диплом в институте; университете; академии; включая магистратуру? (первый)"
253,"rj72.5e","В каком году окончили/ушли из института; университета; академии; включая магистратуру? (первый)"
254,"rj72.5h","Вы учились или учитесь в институте; университете; академии; включая магистратуру; очно? (первый)"
255,"rj72.5i","Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (первый)"
256,"rj72.5a2","Вы учились или учитесь в институте; университете; академии; включая магистратуру? (второй)"
257,"rj72.5b2","Сколько лет Вы проучились в институте; университете; академии; включая магистратуру? (второй)"
258,"rj725dbc","Код профессии по ISCO88 второй специальности института; университета; академии; включая магистратуру"
259,"rj72.5c2","Получили ли диплом в институте; университете; академии; включая магистратуру? (второй)"
260,"rj72.5e2","В каком году окончили/ушли из института; университета; академии; включая магистратуру? (второй)"
261,"rj72.5h2","Вы учились или учитесь в институте; университете; академии; включая магистратуру; очно? (второй)"
262,"rj72.5i2","Вы учились или учитесь в том же населенном пункте; где проживали до начала обучения? (второй)"
263,"rj72.51","Во время обучения в ВУЗе Вы (работали / работаете)?"
264,"rj72.6a","Вы учились или учитесь в аспирантуре; ординатуре? (первая)"
265,"rj72.6b","Сколько лет Вы проучились в аспирантуре; ординатуре? (первая)"
266,"rj726dac","Код профессии по ISCO88 первой специальности аспирантуры; ординатуры"
267,"rj72.6c","Получили ли диплом аспирантуре; ординатуре? (первая)"
268,"rj72.6e","В каком году окончили/ушли из аспирантуры; ординатуры? (первая)"
269,"rj72.6h","Вы учились или учитесь в аспирантуре; ординатуре очно? (первая)"
270,"rj72.6i","Вы учитесь в том же населенном пункте; где проживали до начала обучения? (первая)"
271,"rj72.6a2","Вы учились или учитесь в аспирантуре; ординатуре? (вторая)"
272,"rj72.6b2","Сколько лет Вы проучились в аспирантуре; ординатуре? (вторая)"
273,"rj726dbc","Код профессии по ISCO88 второй специальности аспирантуры"
274,"rj72.6c2","Получили ли диплом аспирантуре; ординатуре? (вторая)"
275,"rj72.6e2","В каком году окончили/ушли из аспирантуры; ординатуры? (вторая)"
276,"rj72.6h2","Вы учились или учитесь в аспирантуре; ординатуре очно? (вторая)"
