"","varcode","nro","wave","russian","english"
"43","qb1.4",43,"h21","Какого пола этот человек?","What sex is this person?"
"44","qb1.5",44,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"45","qb2.1",45,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"46","qidind2",46,"h21","индивидуальный номер 2-го члена","individual number of the 2nd member"
"47","qb2.2.1",47,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"48","qb2.2.23",48,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"49","qb2.3",49,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"50","qb2.4",50,"h21","Какого пола этот человек?","What sex is this person?"
"51","qb2.5",51,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"52","qb2.9.1",52,"h21","Кем 2-ой член семьи приходится 1-му члену семьи?","Whom the second member of the family has to 1st family member?"
"53","qb3.1",53,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"54","qidind3",54,"h21","индивидуальный номер 3-го члена","individual number of the 3rd member"
"55","qb3.2.1",55,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"56","qb3.2.23",56,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"57","qb3.3",57,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"58","qb3.4",58,"h21","Какого пола этот человек?","What sex is this person?"
"59","qb3.5",59,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"60","qb3.9.1",60,"h21","Кем 3-ий член семьи приходится 1-му члену семьи?","Who the third member of the family has to 1st family member?"
"61","qb3.9.2",61,"h21","Кем 3-ий член семьи приходится 2-му члену семьи?","Who the third member of the family has to 2nd family member?"
"62","qb4.1",62,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"63","qidind4",63,"h21","индивидуальный номер 4-го члена","individual number of the 4th member"
"64","qb4.2.1",64,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"65","qb4.2.23",65,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"66","qb4.3",66,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"67","qb4.4",67,"h21","Какого пола этот человек?","What sex is this person?"
"68","qb4.5",68,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"69","qb4.9.1",69,"h21","Кем 4-ый член семьи приходится 1-му члену семьи?","Who the fourth member of the family has to 1st family member?"
"70","qb4.9.2",70,"h21","Кем 4-ый член семьи приходится 2-му члену семьи?","Who the fourth member of the family has to 2nd family member?"
"71","qb4.9.3",71,"h21","Кем 4-ый член семьи приходится 3-му члену семьи?","Who the fourth member of the family has to 3rd family member?"
"72","qb5.1",72,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"73","qidind5",73,"h21","индивидуальный номер 5-го члена","individual number of the 5th member"
"74","qb5.2.1",74,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"75","qb5.2.23",75,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"76","qb5.3",76,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"77","qb5.4",77,"h21","Какого пола этот человек?","What sex is this person?"
"78","qb5.5",78,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"79","qb5.9.1",79,"h21","Кем 5-ый член семьи приходится 1-му члену семьи?","Who fifth member of the family has to 1st family member?"
"80","qb5.9.2",80,"h21","Кем 5-ый член семьи приходится 2-му члену семьи?","Who fifth member of the family has to 2nd family member?"
"81","qb5.9.3",81,"h21","Кем 5-ый член семьи приходится 3-му члену семьи?","Who fifth member of the family has to 3rd family member?"
"82","qb5.9.4",82,"h21","Кем 5-ый член семьи приходится 4-му члену семьи?","Who fifth family member has the 4th member of the family?"
"83","qb6.1",83,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"84","qidind6",84,"h21","индивидуальный номер 6-го члена","individual number of the 6th member"
"85","qb6.2.1",85,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"86","qb6.2.23",86,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"87","qb6.3",87,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"88","qb6.4",88,"h21","Какого пола этот человек?","What sex is this person?"
"89","qb6.5",89,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"90","qb6.9.1",90,"h21","Кем 6-ой член семьи приходится 1-му члену семьи?","Who second member of the family has to 1st family member?"
"91","qb6.9.2",91,"h21","Кем 6-ой член семьи приходится 2-му члену семьи?","Who second member of the family has to 2nd family member?"
"92","qb6.9.3",92,"h21","Кем 6-ой член семьи приходится 3-му члену семьи?","Who second member of the family has to 3rd family member?"
"93","qb6.9.4",93,"h21","Кем 6-ой член семьи приходится 4-му члену семьи?","Who second family member has the 4th member of the family?"
"94","qb6.9.5",94,"h21","Кем 6-ой член семьи приходится 5-му члену семьи?","Who second family member has the 5th member of the family?"
"95","qb7.1",95,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"96","qidind7",96,"h21","индивидуальный номер 7-го члена","individual number of the 7th member"
"97","qb7.2.1",97,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"98","qb7.2.23",98,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"99","qb7.3",99,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"100","qb7.4",100,"h21","Какого пола этот человек?","What sex is this person?"
"101","qb7.5",101,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"102","qb7.9.1",102,"h21","Кем 7-ой член семьи приходится 1-му члену семьи?","Who seventh member of the family has to 1st family member?"
"103","qb7.9.2",103,"h21","Кем 7-ой член семьи приходится 2-му члену семьи?","Who seventh member of the family has to 2nd family member?"
"104","qb7.9.3",104,"h21","Кем 7-ой член семьи приходится 3-му члену семьи?","Who seventh member of the family has to 3rd family member?"
"105","qb7.9.4",105,"h21","Кем 7-ой член семьи приходится 4-му члену семьи?","Who seventh family member has the 4th member of the family?"
"106","qb7.9.5",106,"h21","Кем 7-ой член семьи приходится 5-му члену семьи?","Who seventh family member has the 5th member of the family?"
"107","qb7.9.6",107,"h21","Кем 7-ой член семьи приходится 6-му члену семьи?","Who seventh family member has the 6th member of the family?"
"108","qb8.1",108,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"109","qidind8",109,"h21","индивидуальный номер 8-го члена","individual number of the 8th member"
"110","qb8.2.1",110,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"111","qb8.2.23",111,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"112","qb8.3",112,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"113","qb8.4",113,"h21","Какого пола этот человек?","What sex is this person?"
"114","qb8.5",114,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"115","qb8.9.1",115,"h21","Кем 8-ой член семьи приходится 1-му члену семьи?","Who eighth member of the family has to 1st family member?"
"116","qb8.9.2",116,"h21","Кем 8-ой член семьи приходится 2-му члену семьи?","Who eighth member of the family has to 2nd family member?"
"117","qb8.9.3",117,"h21","Кем 8-ой член семьи приходится 3-му члену семьи?","Who eighth member of the family has to 3rd family member?"
"118","qb8.9.4",118,"h21","Кем 8-ой член семьи приходится 4-му члену семьи?","Who eighth family member has the 4th member of the family?"
"119","qb8.9.5",119,"h21","Кем 8-ой член семьи приходится 5-му члену семьи?","Who eighth family member has the 5th member of the family?"
"120","qb8.9.6",120,"h21","Кем 8-ой член семьи приходится 6-му члену семьи?","Who eighth family member has the 6th member of the family?"
"121","qb8.9.7",121,"h21","Кем 8-ой член семьи приходится 7-му члену семьи?","Who eighth family member has the 7th member of the family?"
"122","qb9.1",122,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"123","qidind9",123,"h21","индивидуальный номер 9-го члена","individual number of the 9th member"
"124","qb9.2.1",124,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"125","qb9.2.23",125,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"126","qb9.3",126,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"127","qb9.4",127,"h21","Какого пола этот человек?","What sex is this person?"
"128","qb9.5",128,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"129","qb9.9.1",129,"h21","Кем 9-ый член семьи приходится 1-му члену семьи?","Who ninth member of the family has to 1st family member?"
"130","qb9.9.2",130,"h21","Кем 9-ый член семьи приходится 2-му члену семьи?","Who ninth member of the family has to 2nd family member?"
"131","qb9.9.3",131,"h21","Кем 9-ый член семьи приходится 3-му члену семьи?","Who ninth member of the family has to 3rd family member?"
"132","qb9.9.4",132,"h21","Кем 9-ый член семьи приходится 4-му члену семьи?","Who ninth member of the family has to 4th member of the family?"
"133","qb9.9.5",133,"h21","Кем 9-ый член семьи приходится 5-му члену семьи?","Who ninth member of the family has to 5th member of the family?"
"134","qb9.9.6",134,"h21","Кем 9-ый член семьи приходится 6-му члену семьи?","Who ninth member of the family has to the 6th member of the family?"
"135","qb9.9.7",135,"h21","Кем 9-ый член семьи приходится 7-му члену семьи?","Who ninth member of the family has to 7th member of the family?"
"136","qb9.9.8",136,"h21","Кем 9-ый член семьи приходится 8-му члену семьи?","Who ninth member of the family has to 8th member of the family?"
"137","qb10.1",137,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"138","qidind10",138,"h21","индивидуальный номер 10-го члена","individual number 10th member"
"139","qb10.2.1",139,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"140","qb102.23",140,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"141","qb10.3",141,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"142","qb10.4",142,"h21","Какого пола этот человек?","What sex is this person?"
"143","qb10.5",143,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"144","qb10.9.1",144,"h21","Кем 10-ый член семьи приходится 1-му члену семьи?","Who the 10th member of the family has to 1st family member?"
"145","qb10.9.2",145,"h21","Кем 10-ый член семьи приходится 2-му члену семьи?","Who the 10th member of the family has to 2nd family member?"
"146","qb10.9.3",146,"h21","Кем 10-ый член семьи приходится 3-му члену семьи?","Who the 10th member of the family has to 3rd family member?"
"147","qb10.9.4",147,"h21","Кем 10-ый член семьи приходится 4-му члену семьи?","Who the 10th member of the family has to 4th member of the family?"
"148","qb10.9.5",148,"h21","Кем 10-ый член семьи приходится 5-му члену семьи?","Who the 10th member of the family has to 5th member of the family?"
"149","qb10.9.6",149,"h21","Кем 10-ый член семьи приходится 6-му члену семьи?","Who the 10th member of the family has to 6th family member?"
"150","qb10.9.7",150,"h21","Кем 10-ый член семьи приходится 7-му члену семьи?","Who the 10th member of the family has to 7th member of the family?"
"151","qb10.9.8",151,"h21","Кем 10-ый член семьи приходится 8-му члену семьи?","Who the 10th member of the family has to 8th member of the family?"
"152","qb10.9.9",152,"h21","Кем 10-ый член семьи приходится 9-му члену семьи?","Who the 10th member of the family has to the 9th member of the family?"
"153","qb11.1",153,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"154","qidind11",154,"h21","индивидуальный номер 11-го члена","individual number 11th member"
"155","qb11.2.1",155,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"156","qb112.23",156,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"157","qb11.3",157,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"158","qb11.4",158,"h21","Какого пола этот человек?","What sex is this person?"
"159","qb11.5",159,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"160","qb11.9.1",160,"h21","Кем 11-ый член семьи приходится 1-му члену семьи?","Who the 11th member of the family has to 1st family member?"
"161","qb11.9.2",161,"h21","Кем 11-ый член семьи приходится 2-му члену семьи?","Who the 11th member of the family has to 2nd family member?"
"162","qb11.9.3",162,"h21","Кем 11-ый член семьи приходится 3-му члену семьи?","Who the 11th member of the family has to 3rd family member?"
"163","qb11.9.4",163,"h21","Кем 11-ый член семьи приходится 4-му члену семьи?","Who the 11th member of the family has to 4th member of the family?"
"164","qb11.9.5",164,"h21","Кем 11-ый член семьи приходится 5-му члену семьи?","Who the 11th member of the family has to 5th member of the family?"
"165","qb11.9.6",165,"h21","Кем 11-ый член семьи приходится 6-му члену семьи?","Who the 11th member of the family has to 6th family member?"
"166","qb11.9.7",166,"h21","Кем 11-ый член семьи приходится 7-му члену семьи?","Who the 11th member of the family has to 7th member of the family?"
"167","qb11.9.8",167,"h21","Кем 11-ый член семьи приходится 8-му члену семьи?","Who the 11th member of the family has to 8th member of the family?"
"168","qb11.9.9",168,"h21","Кем 11-ый член семьи приходится 9-му члену семьи?","Who the 11th member of the family has to the 9th member of the family?"
"169","qb119.10",169,"h21","Кем 11-ый член семьи приходится 10-му члену семьи?","Who the 11th member of the family has to 10th member of the family?"
"170","qb12.1",170,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"171","qidind12",171,"h21","индивидуальный номер 12-го члена","individual number 12th member"
"172","qb12.2.1",172,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"173","qb122.23",173,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"174","qb12.3",174,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"175","qb12.4",175,"h21","Какого пола этот человек?","What sex is this person?"
"176","qb12.5",176,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"177","qb12.9.1",177,"h21","Кем 12-ый член семьи приходится 1-му члену семьи?","Who twelfth member of the family has to 1st family member?"
"178","qb12.9.2",178,"h21","Кем 12-ый член семьи приходится 2-му члену семьи?","Who twelfth member of the family has to 2nd family member?"
"179","qb12.9.3",179,"h21","Кем 12-ый член семьи приходится 3-му члену семьи?","Who twelfth member of the family has to 3rd family member?"
"180","qb12.9.4",180,"h21","Кем 12-ый член семьи приходится 4-му члену семьи?","Who twelfth member of the family has to 4th member of the family?"
"181","qb12.9.5",181,"h21","Кем 12-ый член семьи приходится 5-му члену семьи?","Who twelfth member of the family has to 5th member of the family?"
"182","qb12.9.6",182,"h21","Кем 12-ый член семьи приходится 6-му члену семьи?","Who twelfth member of the family has to 6th family member?"
"183","qb12.9.7",183,"h21","Кем 12-ый член семьи приходится 7-му члену семьи?","Who twelfth member of the family has to 7th member of the family?"
"184","qb12.9.8",184,"h21","Кем 12-ый член семьи приходится 8-му члену семьи?","Who twelfth member of the family has to 8th member of the family?"
"185","qb12.9.9",185,"h21","Кем 12-ый член семьи приходится 9-му члену семьи?","Who twelfth member of the family has to the 9th member of the family?"
"186","qb129.10",186,"h21","Кем 12-ый член семьи приходится 10-му члену семьи?","Who twelfth member of the family has to 10th member of the family?"
"187","qb129.11",187,"h21","Кем 12-ый член семьи приходится 11-му члену семьи?","Who twelfth member of the family for 11 th member of the family?"
"188","qb13.1",188,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"189","qidind13",189,"h21","индивидуальный номер 13-го члена","individual number 13th member"
"190","qb13.2.1",190,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"191","qb132.23",191,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"192","qb13.3",192,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"193","qb13.4",193,"h21","Какого пола этот человек?","What sex is this person?"
"194","qb13.5",194,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"195","qb13.9.1",195,"h21","Кем 13-ый член семьи приходится 1-му члену семьи?","Who the 13th member of the family has to 1st family member?"
"196","qb13.9.2",196,"h21","Кем 13-ый член семьи приходится 2-му члену семьи?","Who the 13th member of the family has to 2nd family member?"
"197","qb13.9.3",197,"h21","Кем 13-ый член семьи приходится 3-му члену семьи?","Who the 13th member of the family has to 3rd family member?"
"198","qb13.9.4",198,"h21","Кем 13-ый член семьи приходится 4-му члену семьи?","Who the 13th member of the family has to 4th member of the family?"
"199","qb13.9.5",199,"h21","Кем 13-ый член семьи приходится 5-му члену семьи?","Who the 13th member of the family has to 5th member of the family?"
"200","qb13.9.6",200,"h21","Кем 13-ый член семьи приходится 6-му члену семьи?","Who the 13th member of the family has to 6th family member?"
"201","qb13.9.7",201,"h21","Кем 13-ый член семьи приходится 7-му члену семьи?","Who the 13th member of the family has to 7th member of the family?"
"202","qb13.9.8",202,"h21","Кем 13-ый член семьи приходится 8-му члену семьи?","Who the 13th member of the family has to 8th member of the family?"
"203","qb13.9.9",203,"h21","Кем 13-ый член семьи приходится 9-му члену семьи?","Who the 13th member of the family has to the 9th member of the family?"
"204","qb139.10",204,"h21","Кем 13-ый член семьи приходится 10-му члену семьи?","Who the 13th member of the family has to 10th member of the family?"
"205","qb139.11",205,"h21","Кем 13-ый член семьи приходится 11-му члену семьи?","Who the 13th member of the family for 11 th member of the family?"
"206","qb139.12",206,"h21","Кем 13-ый член семьи приходится 12-му члену семьи?","Who the 13th member of the family has to 12th member of the family?"
"207","qb14.1",207,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"208","qidind14",208,"h21","индивидуальный номер 14-го члена","individual number 14th member"
"209","qb14.2.1",209,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"210","qb142.23",210,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"211","qb14.3",211,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"212","qb14.4",212,"h21","Какого пола этот человек?","What sex is this person?"
"213","qb14.5",213,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"214","qb14.9.1",214,"h21","Кем 14-ый член семьи приходится 1-му члену семьи?","Who the 14th member of the family has to 1st family member?"
"215","qb14.9.2",215,"h21","Кем 14-ый член семьи приходится 2-му члену семьи?","Who the 14th member of the family has to 2nd family member?"
"216","qb14.9.3",216,"h21","Кем 14-ый член семьи приходится 3-му члену семьи?","Who the 14th member of the family has to 3rd family member?"
"217","qb14.9.4",217,"h21","Кем 14-ый член семьи приходится 4-му члену семьи?","Who the 14th member of the family has to 4th member of the family?"
"218","qb14.9.5",218,"h21","Кем 14-ый член семьи приходится 5-му члену семьи?","Who the 14th member of the family has to 5th member of the family?"
"219","qb14.9.6",219,"h21","Кем 14-ый член семьи приходится 6-му члену семьи?","Who the 14th member of the family has to 6th family member?"
"220","qb14.9.7",220,"h21","Кем 14-ый член семьи приходится 7-му члену семьи?","Who the 14th member of the family has to 7th member of the family?"
"221","qb14.9.8",221,"h21","Кем 14-ый член семьи приходится 8-му члену семьи?","Who the 14th member of the family has to 8th member of the family?"
"222","qb14.9.9",222,"h21","Кем 14-ый член семьи приходится 9-му члену семьи?","Who the 14th member of the family has to the 9th member of the family?"
"223","qb149.10",223,"h21","Кем 14-ый член семьи приходится 10-му члену семьи?","Who the 14th member of the family has to 10th member of the family?"
"224","qb149.11",224,"h21","Кем 14-ый член семьи приходится 11-му члену семьи?","Who the 14th member of the family for 11 th member of the family?"
"225","qb149.12",225,"h21","Кем 14-ый член семьи приходится 12-му члену семьи?","Who the 14th member of the family has to 12th member of the family?"
"226","qb149.13",226,"h21","Кем 14-ый член семьи приходится 13-му члену семьи?","Who the 14th member of the family for 13 th member of the family?"
"227","qb15.1",227,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"228","qidind15",228,"h21","индивидуальный номер 15-го члена","individual number 15th member"
"229","qb15.2.1",229,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"230","qb152.23",230,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"231","qb15.3",231,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"232","qb15.4",232,"h21","Какого пола этот человек?","What sex is this person?"
"233","qb15.5",233,"h21","В каком году (он/она) родились?","In what year did (he / she) is born?"
"234","qb15.9.1",234,"h21","Кем 15-ый член семьи приходится 1-му члену семьи?","Who the 15th member of the family has to 1st family member?"
"235","qb15.9.2",235,"h21","Кем 15-ый член семьи приходится 2-му члену семьи?","Who the 15th member of the family has to 2nd family member?"
"236","qb15.9.3",236,"h21","Кем 15-ый член семьи приходится 3-му члену семьи?","Who the 15th member of the family has to 3rd family member?"
