"","varcode","nro","russian","english"
"16","hid_i",23,"НОМЕР ИНДИВИДА В 12-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 12-th wave - IDENTIFICATION"
"17","idind",1,"ЕДИНЫЙ ИДЕНТИФИКАЦИОННЫЙ НОМЕР ИНДИВИДА ДЛЯ ВОЛН 5 И ПОСЛЕДУЮЩИХ","Unique identification number for a wave 5 INDIVIDUAL AND FOLLOW"
"18","iid_h",22,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА","Identification variables 13th ROUND"
"19","iid_i",21,"НОМЕР ИНДИВИДА В 13-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 13-th wave - IDENTIFICATION"
"20","jid_h",20,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА","Identification variable 14 Round"
"21","jid_i",19,"НОМЕР ИНДИВИДА В 14-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 14-th wave - IDENTIFICATION"
"22","kid_h",18,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА","Identification variable 15 Round"
"23","kid_i",17,"НОМЕР ИНДИВИДА В 15-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 15-th wave - IDENTIFICATION"
"24","lid_h",16,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-го РАУНДА","Identification variable 16 Round"
"25","lid_i",15,"НОМЕР ИНДИВИДА В 16-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 16-th wave - IDENTIFICATION"
"26","mid_h",14,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-го РАУНДА","Identification variable 17 Round"
"27","mid_i",13,"НОМЕР ИНДИВИДА В 17-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 17-second wave - IDENTIFICATION"
"28","nid_h",12,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-го РАУНДА","Identification variables 18th-round"
"29","nid_i",11,"НОМЕР ИНДИВИДА В 18-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 18-second wave - IDENTIFICATION"
"30","oid_h",10,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА","Identification variable 19 Round"
"31","oid_i",9,"НОМЕР ИНДИВИДА В 19-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 19-second wave - IDENTIFICATION"
"32","pid_h",8,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА","Identification variable 20 Round"
"33","pid_i",7,"НОМЕР ИНДИВИДА В 20-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 20-th wave - IDENTIFICATION"
"34","popul",45,"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ","POPULATION"
"35","psu",42,"Номер региона (первичная единица отбора)","Region number (primary sampling units)"
"36","qid_h",6,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА","Identification variable 21 Round"
"37","QID_I",5,"НОМЕР ИНДИВИДА В 21-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 21-th wave - IDENTIFICATION"
"38","r_adult",46,"Есть взрослый вопросник 22 волны?","There are 22 waves adult questionnaire?"
"39","r_born_m",51,"Месяц рождения ребенка","Month of birth of the child"
"40","r_child",47,"Есть детский вопросник 22 волны?","There is a children's questionnaire 22 waves?"
"41","r_diplom",53,"ЗАКОНЧЕННОЕ ОБРАЗОВАНИЕ (ГРУППА)","Completed education (GROUP)"
"42","r_educ",52,"ОБРАЗОВАНИЕ (ПОДРОБНО): старше 14 лет","EDUCATION (details): over 14 years"
"43","region",41,"Регион","region"
"44","rh11",657,"Номер взрослого члена семьи; отвечавшего на вопросы детского вопросника","Number of the adult household member; answers the question of children's questionnaire"
"45","rh3a",54,"НОМЕР СЕМЬИ","FAMILY ROOM"
"46","rh4",55,"Номер члена семьи","Number of family members"
"47","rh4.1",56,"Респондент ранее участвовал(а) в исследовании?","Respondent has previously taken part (a) in the study?"
"48","rh5",57,"Пол респондента","Sex of the respondent"
"49","rh6",58,"Год рождения респондента 22 ВОЛНА (=rj69.9c)","Year of birth of respondent 22 WAVE (= rj69.9c)"
"50","rh7.1",59,"Дата проведения интервью: число","Date of interview: the number of"
"51","rh7.2",60,"Дата проведения интервью: месяц","Date of interview: Month"
"52","rh8a",61,"Интервью продолжалось: часов и минут (часов)","Interview continued: hours and minutes (hours)"
"53","rh8b",62,"Интервью продолжалось: часов и минут (минут)","Interview continued: hours and minutes (minutes)"
"54","ri1",63,"Вы родились в другом населенном пункте или в том; где живете сейчас?","You were born in another location or in; where do you live now?"
"55","ri3",64,"Вы родились в городе; поселке городского типа или в селе; деревне; кишлаке; ауле? * В 2013 году добавлено пояснение для интервьюера о том; что статус поселения отмечается такой; каким он был на момент рождения респондента.","You were born in the city; a small town or village; village; village; aul? * In 2013, the added explanation for the interviewer about; that the status of the settlement of such notes; as it was at the time of birth of the respondent."
"56","ri3.1",65,"Вы жили в другом населенном пункте - не в том; где Вы родились; более чем 6 месяцев подряд после того; как Вам исполнилось 14 лет; включая учебу; службу в армии и прочее?","You have lived in another village - not that; where you were born; more than 6 consecutive months thereafter; as you are at least 14 years of age; including studies; served in the army and so on?"
"57","ri4",66,"Кем Вы себя считаете по национальности?","Who do you think you are by nationality?"
"58","ri7",67,"С какого года Вы живете в данном населенном пункте?","Since when do you live in this village?"
"59","ri8",68,"С какого года Вы постоянно живете в Российской Федерации?","When did you always live in the Russian Federation?"
"60","rid_h",4,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 22-го РАУНДА","Identification variable 22 Round"
"61","RID_I",3,"НОМЕР ИНДИВИДА В 22-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 22-th wave - IDENTIFICATION"
"62","r_int_y",50,"Год опроса","year of survey"
"63","r_inwgt",40,"Постстратификационный вес для данного индивида","Poststratifikatsionny weight for a given individual"
"64","rj1",69,"Ваше основное занятие в настоящее время?","Your main occupation now?"
"65","rj10",93,"Сколько денег в течение последних 30 дней Вы получили по основному месту работы после вычета налогов и отчислений? Если все или часть денег Вы получили в иностранной валюте; переведите все в рубли и назовите общую сумму","How much money in the last 30 days you will get the main job after taxes and deductions? If all or part of the money you received in foreign currency; turn all into rubles and name totaling"
"66","rj10.1",94,"Как Вы думаете; какой процент этих денег был проведен официально; то есть с них были уплачены налоги?","What do you think; what percentage of the money was held officially; that is, they had paid taxes?"
"67","rj10.2",95,"Если Вы получали премию по основному месту работы в течение последних 30 дней; то сколько рублей Вы получили?","If you have received the award in the main job in the last 30 days; how many rubles you get?"
"68","rj11",96,"На этой работе Вы работаете на предприятии; в организации? Мы имеем в виду любую организацию; в которой работает более одного человека; независимо от того; частная она или государственная","In this job you work in the enterprise; in the organization? We mean any organization; which employs more than one person; regardless; it private or public"
"69","rj1.1.1",70,"Насколько Вы удовлетворены или не удовлетворены Вашей работой в целом?","Are you satisfied or dissatisfied with your work in general?"
"70","rj11.1",97,"Вы оформлены на этой работе официально; то есть по трудовой книжке; трудовому соглашению; контракту?","You feature on this work officially; that is, the workbook; employment agreement; contract?"
"71","rj1.1.2",71,"Насколько Вы удовлетворены или не удовлетворены условиями Вашего труда?","Are you satisfied or not satisfied with the terms of your work?"
"72","rj11.2",98,"Почему Вы не оформлены на этой работе официально?","Why do not you feature on this work officially?"
"73","rj1.1.3",72,"Насколько Вы удовлетворены или не удовлетворены оплатой Вашего труда?","Are you satisfied or dissatisfied with the payment of your work?"
"74","rj1.1.4",73,"Насколько Вы удовлетворены или не удовлетворены возможностями для Вашего профессионального роста?","Are you satisfied or dissatisfied with opportunities for your professional growth?"
"75","rj123",298,"Приходилось ли Вам в течение последних 12 месяцев пользоваться Интернетом?","Have you in the past 12 months to use the Internet?"
"76","rj124.1",299,"В течение последних 12 месяцев Вы пользовались Интернетом у себя дома?","During the past 12 months, have you used the Internet at home?"
"77","rj124.2",300,"В течение последних 12 месяцев Вы пользовались Интернетом по месту работы; учебы?","During the past 12 months, have you used the Internet in the workplace; studies?"
"78","rj124.3",301,"В течение последних 12 месяцев Вы пользовались Интернетом в Интернет-кафе?","During the past 12 months, have you used the Internet at Internet cafes?"
"79","rj124.4",302,"В течение последних 12 месяцев Вы пользовались Интернетом в других местах?","During the past 12 months, have you used the Internet in other places?"
"80","rj125.1",308,"Вы пользовались Интернетом в течение последних 12 месяцев для учебы?","You used the Internet in the last 12 months to study?"
"81","rj125.10",316,"Вы пользовались Интернетом в течение последних 12 месяцев для посещения сайтов социальных сетей?","You used the Internet in the last 12 months to visit social networking sites?"
"82","rj125.2",309,"Вы пользовались Интернетом в течение последних 12 месяцев для работы?","You used the Internet in the last 12 months to work?"
"83","rj125.3",310,"Вы пользовались Интернетом в течение последних 12 месяцев для развлечений?","You used the Internet in the last 12 months for entertainment?"
"84","rj125.4",311,"Вы пользовались Интернетом в течение последних 12 месяцев для общения с другими людьми?","You used the Internet in the last 12 months to communicate with other people?"
"85","rj125.5",312,"Вы пользовались Интернетом в течение последних 12 месяцев для получения информации о новостях?","You used the Internet in the last 12 months to get information about news?"
"86","rj125.6",313,"Вы пользовались Интернетом в течение последних 12 месяцев для расширения кругозора; повышения своего культурного уровня?","You used the Internet in the last 12 months to expand the horizons; improve their cultural level?"
"87","rj125.7",314,"Вы пользовались Интернетом в течение последних 12 месяцев для получения справочных материалов?","You used the Internet in the last 12 months for reference materials?"
"88","rj125.8",315,"Вы пользовались Интернетом в течение последних 12 месяцев для покупок; получения товаров и услуг?","You used the Internet in the last 12 months for purchases; receipt of goods and services?"
"89","rj125.9",317,"Вы пользовались Интернетом в течение последних 12 месяцев для чего-то еще?","You used the Internet in the last 12 months for something else?"
"90","rj13",99,"Сколько человек работает на Вашем предприятии? Если не знаете точно; скажите примерно","How many people work at your company? If you do not know exactly; tell about"
"91","rj13.2",100,"За последние 12 месяцев какова была Ваша среднемесячная зарплата на этом предприятии после вычета налогов - независимо от того; платят Вам ее вовремя или нет?","Over the past 12 months, what was your average monthly salary at the plant after taxes - no matter; You pay it on time or not?"
"92","rj136",391,"Вы обращались куда-нибудь или к кому-нибудь в поисках работы в течение последних 7 дней?","You accessed anywhere or to anyone in search of work in the last 7 days?"
"93","rj14",101,"В настоящее время Ваше предприятие осталось должно Вам какие-то деньги; которые по разным причинам не выплатило вовремя?","Currently, your company owes you some money; who for various reasons are not paid on time?"
"94","rj15",102,"Сколько всего денег Вам не доплатили?","How much money you do not pay extra?"
"95","rj16",103,"За сколько месяцев предприятие не доплатило Вам эти деньги?","For many months, the company does not pay you the money?"
"96","rj161.3m",369,"Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовой стаж; не считая времени учебы на дневном отделении ВУЗа или техникума? МЕСЯЦЕВ *В 2013 году этот вопрос про стаж задается всем респондентам – работающим и не работающим; не зависимо от ответа на вопрос rj77","How many full years and months of your formalized general seniority; not counting the time studying full time at university or college? Month * In 2013, the question about the experience given to all respondents - working and not working; regardless of the answer to the question rj77"
"97","rj161.3y",368,"Сколько полных лет и месяцев составляет Ваш официально оформленный общий трудовой стаж; не считая времени учебы на дневном отделении ВУЗа или техникума? ЛЕТ *В 2013 году этот вопрос про стаж задается всем респондентам – работающим и не работающим; не зависимо от ответа на вопрос rj77","How many full years and months of your formalized general seniority; not counting the time studying full time at university or college? YEARS * In 2013, the question about the experience given to all respondents - working and not working; regardless of the answer to the question rj77"
"98","rj170.1",398,"Вы пользуетесь следующими видами добровольного страхования: страхование жизни и от несчастного случая?","Do you use the following types of voluntary insurance: life insurance and accident?"
"99","rj170.2",399,"Вы пользуетесь следующими видами добровольного страхования: страхование квартиры; дома?","Do you use the following types of voluntary insurance: apartment; at home?"
"100","rj170.31",400,"Вы пользуетесь следующими видами добровольного страхования: страхование дачи?","Do you use the following types of voluntary insurance: garden?"
"101","rj170.32",401,"Вы пользуетесь следующими видами добровольного страхования: страхование автомобиля - помимо обязательного страхования автогражданской ответственности?","Do you use the following types of voluntary insurance: car insurance - in addition to the compulsory third party liability insurance?"
"102","rj170.4",402,"Вы пользуетесь следующими видами добровольного страхования: страхование сельхозимущества; скота?","Do you use the following types of voluntary insurance: selhozimuschestva; cattle?"
"103","rj18.2",104,"В течение последних 12 месяцев Вам уменьшали зарплату или сокращали часы работы не по Вашему желанию?","In the last 12 months you have reduced wages or reduced work hours not according to your wishes?"
"104","rj184",331,"У Вас лично есть мобильный сотовый телефон?","Do you personally have a mobile cell phone?"
"105","rj187",365,"У Вас есть карточка пенсионного страхования; т.е. страховое пенсионное свидетельство?","Do you have a pension insurance card; ie pension insurance certificate?"
"106","rj188",395,"Вы проходили срочную службу в армии?","You were serving in the army?"
"107","rj189a",396,"С какого года Вы проходили срочную службу в армии?","Since what year you were serving in the army?"
"108","rj189b",397,"По какой год Вы проходили срочную службу в армии?","By what year you were serving in the army?"
"109","rj19",105,"В течение последних 12 месяцев Вас отправляла администрация в вынужденный неоплачиваемый отпуск?","In the last 12 months you sent the administration a forced unpaid leave?"
"110","rj197",403,"У Вас есть банковская пластиковая карта?","Do you have a Credit card?"
"111","rj198.1",404,"Вы получили пластиковые карты для перечисления на нее заработной платы; пенсии; стипендии; субсидии; пособия *В 2013 году в формулировку вопроса добавлены слова субсидии; пособия","You got the cards to transfer her salary; pensions; scholarships; subsidies; benefits * In 2013, in the wording of the question, the words ""subsidies, benefits"""
"112","rj198.2",405,"Вы получили пластиковые карты для того; чтобы пользоваться деньгами с вкладов в банках","You got the cards in order; to use the money from deposits in banks"
"113","rj198.3",406,"Вы получили пластиковые карты для того; чтобы получить кредит в банке","You got the cards in order; to get a bank loan"
"114","rj199",407,"Как Вы пользуетесь своими  банковскими пластиковыми картами? * В 2013 году введен новый вариант ответа 99999996 НЕ ПОЛЬЗУЕТСЯ В НАСТОЯЩЕЕ ВРЕМЯ. В 2012 ГОДУ этим кодом были закодированы ответы ДРУГОЕ; которые по смыслу практически полностью совпадали с вариантом НЕ ПОЛЬЗУЕТСЯ СВОИМИ БАНКОВСКИМИ КАРТАМИ","How do you use your bank cards? * In 2013, introduced a new variant of the answer 99999996 ""Do not use now"". In 2012, this code has been coded answers ""other""; in the sense that almost completely coincided with the option ""do not use their bank cards"""
"115","rj200",408,"Вы собираетесь взять кредит в ближайшие 12 месяцев?","You're going to take out a loan in the next 12 months?"
"116","rj201.01",409,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ ЖИЛЬЯ (КВАРТИРЫ; ДОМА)","For what purpose you are going to take out a loan in the next 12 months? The purchase of housing (apartment, home)"
"117","rj201.02",410,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ ДРУГОЙ НЕДВИЖИМОСТИ - ЗЕМЛИ; ДАЧИ; ГАРАЖА","For what purpose you are going to take out a loan in the next 12 months? BUY ANOTHER Real Estate - Land; COTTAGE; GARAGE"
"118","rj201.03",411,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ АВТОМОБИЛЯ","For what purpose you are going to take out a loan in the next 12 months? To buy a car"
"119","rj201.04",412,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ БЫТОВОЙ ТЕХНИКИ; МЕБЕЛИ И Т.Д.","For what purpose you are going to take out a loan in the next 12 months? To purchase household appliances; Furniture, etc."
"120","rj201.05",413,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ОПЛАТУ ОБРАЗОВАНИЯ (ВАШЕГО ИЛИ ДЕТЕЙ)","For what purpose you are going to take out a loan in the next 12 months? To pay for education (YOUR CHILDREN OR)"
"121","rj201.06",414,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ЛЕЧЕНИЕ","For what purpose you are going to take out a loan in the next 12 months? FOR TREATMENT"
"122","rj201.07",415,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ОТДЫХ","For what purpose you are going to take out a loan in the next 12 months? to rest"
"123","rj201.08",416,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ТЕКУЩИЕ РАСХОДЫ","For what purpose you are going to take out a loan in the next 12 months? For current expenses"
"124","rj201.09",417,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ВОЗВРАТ ДОЛГОВ","For what purpose you are going to take out a loan in the next 12 months? RETURN DEBT"
"125","rj201.10",418,"На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ЧТО-ТО ДРУГОЕ","For what purpose you are going to take out a loan in the next 12 months? FOR SOMETHING ELSE"
"126","rj21.3",108,"Является ли производство; на котором Вы работаете; вредным или опасным; т.е. дающим Вам право на досрочное назначение трудовой пенсии; на дополнительные выплаты или льготы?","Is production; where you work; harmful or dangerous; ie giving you the right to early appointment of labor pension; additional payments or benefits?"
"127","rj21a",106,"В течение последних 12 месяцев Вы были в оплачиваемом отпуске?","During the past 12 months, have you been in paid vacation?"
"128","rj21b",107,"Сколько всего календарных дней продолжался или продолжается этот отпуск?","How many days continued or resumed this holiday?"
"129","rj22",118,"Представьте себе не очень приятную картину: предприятие; где Вы работаете; по каким-то причинам закроется; и все работники будут уволены. Насколько Вы уверены в том; что сможете найти работу не хуже той; на которой работаете сейчас?","Imagine not very pleasant picture: the enterprise; where you work; for whatever reasons, will close; and all employees will be laid off. How confident are you that; that will be able to find a job is not worse than that; on which work now?"
"130","rj23",109,"Является государство владельцем или совладельцем Вашего предприятия; организации?","The State is the owner or co-owner of your company; organization?"
"131","rj24",110,"Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица?","Is the owner or co-owners of your company; organization of foreign companies or foreign individuals?"
"132","rj25",111,"Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы?","Is the owner or co-owners of your company; organization of any Russian private person; collective enterprises, or Russian private firms?"
"133","rj259",352,"Если на момент оформления пенсии у Вас был стаж; который давал право на досрочное оформление пенсии; то сколько полных лет он составлял?","If at the time of registration of the pension you had experience; which gave the right to early retirement clearance; how many full years he was?"
"134","rj26",112,"А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете?","Do you personally own or co-owner of the company; where do you work?"
"135","rj260",291,"Скажите; пожалуйста; Вы владеете каким-либо иностранным языком; помимо языков бывших республик СССР?","tell me; please; You own some foreign language; than the languages of the former Soviet republics?"
"136","rj262",292,"В какой степени Вы владеете иностранным языком?","To what extent do you speak a foreign language?"
"137","rj29",113,"Как Вы считаете; на этой работе Вы занимаетесь предпринимательской деятельностью?","What do you think; this work you engage in entrepreneurial activity?"
"138","rj29.0",119,"На этой работе Вы занимаетесь...?","In this job you do ...?"
"139","rj29.1",121,"Вы сменили место работы или профессию по сравнению с ноябрем 2012 года; или все осталось по-прежнему?","You changed jobs or profession compared to November 2012; or all remained the same?"
"140","rj29.1s",122,"ДРУГОЕ к вопросу rj29.1 - Вы сменили место работы или профессию по сравнению с ноябрем 2012 года; или все осталось по-прежнему?","To each question rj29.1 - you changed jobs or profession compared to November 2012; or all remained the same?"
"141","rj29.2.1",123,"После ноября 2012 года Вы продвинулись по службе; получили более высокую должность?","After November 2012 you moved to the service; received a higher position?"
"142","rj29.2.2",124,"После ноября 2012 года Вы перешли работать в другое структурное подразделение - отдел; цех?","After November 2012 you went to work in other business units - Department; Shop?"
"143","rj29.2.3",125,"После ноября 2012 года Вы перешли на более низкую должность?","After November 2012 you moved to a lower position?"
"144","rj29.c1",116,"В какой степени Вы доверяете руководству Вашего предприятия; организации?","To what extent do you trust the leadership of your company; organization?"
"145","rj29.c2",117,"В какой степени Вы доверяете людям; с которыми Вы вместе работаете; Вашим коллегам?","To what extent do you trust the people; with whom you work together; Your colleagues?"
"146","rj2cod08",75,"Код профессии по ISCO2008 основной работы * Кодировка открытых вопросов основной работы по новой версии международного классификатора","Code profession ISCO2008 main job * Coding of open questions the basic work on the new version of the International Classification"
"147","rj2code",74,"Код профессии по ISCO88 основной работы","Code profession ISCO88 basic work"
"148","rj308",114,"Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на основной работе; было создано:","Please; tell; company or organization; you work in the main job; was created"
"149","rj309",115,"Форма собственности предприятия или организации; в которой Вы работаете на основной работе; с тех пор менялась или не менялась?","Ownership of the enterprise or organization; you work in the main job; since the change or not to change?"
"150","rj31",120,"Насколько Вас беспокоит то; что Вы можете потерять работу?","As far as you are concerned; you could lose your job?"
"151","rj313",140,"Пожалуйста; скажите; предприятие или организация; в которой Вы работаете на этой работе; было создано:","Please; tell; company or organization; you work at this job; was created"
"152","rj314",141,"Форма собственности предприятия или организации; в которой Вы работаете на этой работе; с тех пор менялась или не менялась?","Ownership of the enterprise or organization; you work at this job; since the change or not to change?"
"153","rj317",177,"Вы закончили учиться в школе в том же населенном пункте; где живете сейчас?","You have completed at school in the same locality; where do you live now?"
"154","rj318",178,"В каком населенном пункте Вы закончили учиться в школе?","In a village you have completed in school?"
"155","rj319",179,"Какую школу Вы окончили или в какой школе Вы учились последней?","What school you graduated from or what school you last attended?"
"156","rj319s",180,"ДРУГОЕ к rj319 - Какую школу окончили или в какой школе учились последней","To each rj319 - What school or graduated in a school attended last"
"157","rj32",126,"У Вас есть еще какая-нибудь работа?","Do you still have any work?"
"158","rj32.1",127,"Возможно; у Вас есть еще работа по совместительству; временная работа по срочному контракту; трудовому соглашению; договору подряда; гранту; или индивидуальная работа по лицензии или без нее?","possible; You still have a job-sharing; temporary employment for a fixed term; employment agreement; Contract; grant; or self-employed person under license or without her?"
"159","rj322",332,"Состоите ли Вы в зарегистрированном браке?","Are you a member registered marriage?"
"160","rj323m",333,"Когда Вы зарегистрировали этот брак? (МЕСЯЦ)","When you register the marriage? (Months)"
"161","rj323y",334,"Когда Вы зарегистрировали этот брак? (ГОД)","When you register the marriage? (Year)"
"162","rj324",335,"Возможно; Вы проживаете вместе с (партнером/партнершей); но не регистрируете свои отношения?","possible; Do you live with (partner / partner); but do not register their relationship?"
"163","rj324s",336,"ДРУГОЕ к вопросу rj324 - Возможно; Вы проживаете вместе с (партнером/партнершей); но не регистрируете свои отношения?","To each question rj324 - Possible; Do you live with (partner / partner); but do not register their relationship?"
"164","rj325m",337,"Когда Вы впервые начали жить вместе с Вашим нынешним (мужем/партнером)/Вашей нынешней (женой/партнершей)? (МЕСЯЦ)","When you first started to live together with your current (husband / partner) / your current (wife / partner)? (Months)"
"165","rj325y",338,"Когда Вы впервые начали жить вместе с Вашим нынешним (мужем/партнером)/Вашей нынешней (женой/партнершей)? (ГОД)","When you first started to live together with your current (husband / partner) / your current (wife / partner)? (Year)"
"166","rj33code",128,"Код профессии по ISCO88 дополнительной работы","Code profession ISCO88 additional work"
"167","rj35.1",129,"В какой отрасли Вы работаете на этой работе?","In what industry you work in this job?"
"168","rj359.1",303,"Вы пользуетесь для выхода в Интернет ноутбуком; лэптопом?","You use to access the Internet laptop; laptop?"
"169","rj359.3",306,"Вы пользуетесь для выхода в Интернет мобильным телефоном или смартфоном?","You use to access the Internet mobile phone or smartphone?"
"170","rj359.4",305,"Вы пользуетесь для выхода в Интернет планшетом?","You use to access the Internet Tablet?"
"171","rj359.5",304,"Вы пользуетесь для выхода в Интернет персональным компьютером?","You use to access the Internet PC?"
"172","rj359.6",307,"Вы пользуетесь для выхода в Интернет чем-то другим?","You use to access the Internet with something else?"
"173","rj360.2",330,"У Вас лично есть смартфон; коммуникатор; i-phone (ай-фон)?","Do you personally have a smartphone; communicator; i-phone (ai background)?"
"174","rj360.3",329,"У Вас лично есть компьютер переносной: ноутбук; лэптоп или нетбук?","Do you personally have a portable computer: laptop; laptop or netbook?"
"175","rj360.4",734,"У Вас лично есть портативная развлекательная система PSP (пи-эс-пи) или что-то подобное? *В 2013 году в формулировку вопроса добавлены слова или что-то подобное","Do you personally have a portable entertainment system PSP (pi-pi es) or something like that? * In 2013, in the wording of the question, the words ""or something like that"""
"176","rj360.5",328,"У Вас лично есть планшет?","Do you personally have a tablet?"
"177","rj36.1a",130,"Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (ЧАСОВ)","The average number of hours and minutes continues your typical day in this job? (Hours)"
"178","rj36.1b",131,"Сколько в среднем часов и минут продолжается Ваш обычный рабочий день на этой работе? (МИНУТ)","The average number of hours and minutes continues your typical day in this job? (MIN)"
"179","rj36.2",132,"А сколько часов в среднем продолжается Ваша обычная рабочая неделя?","How many hours on average lasts your usual working week?"
"180","rj363",364,"Сколько денег Вы получили в качестве пенсии в теч.посл.30 дней? Учитывайте и основную пенсию и доплаты к ней","How much money you received as a pension in tech.posl.30 days? Understand and basic pension and supplements thereto"
"181","rj37",133,"Вы работали на этой работе в течение последних 30 дней?","You've worked at this job in the last 30 days?"
"182","rj371",283,"Сколько часов в среднем продолжался Ваш обычный день обучения на этих курсах?","How many hours on average, continue your normal day of training in these courses?"
