"nro","varcode","russian"
31,"ra4.2","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; МЕСЯЦ"
32,"ra5.1","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; ЧАСОВ"
33,"ra5.2","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; МИНУТ"
34,"ra8","НОМЕР ЧЛЕНА СЕМЬИ; КОТОРЫЙ ОТВЕЧАЛ НА ВОПРОСЫ СЕМЕЙНОГО ВОПРОСНИКА"
35,"r1.o","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?"
36,"r1.n","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?"
37,"r_nfm","Количество членов семьи"
38,"rb1.1","Наличие индивидуального вопросника"
39,"ridind1","индивидуальный номер 1-го члена"
40,"rb1.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
41,"rb1.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
42,"rb1.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
43,"rb1.4","Какого пола этот человек?"
44,"rb1.5","В каком году (он/она) родились?"
45,"rb2.1","Наличие индивидуального вопросника"
46,"ridind2","индивидуальный номер 2-го члена"
47,"rb2.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
48,"rb2.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
49,"rb2.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
50,"rb2.4","Какого пола этот человек?"
51,"rb2.5","В каком году (он/она) родились?"
52,"rb2.9.1","Кем 2-ой член семьи приходится 1-му члену семьи?"
53,"rb3.1","Наличие индивидуального вопросника"
54,"ridind3","индивидуальный номер 3-го члена"
55,"rb3.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
56,"rb3.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
57,"rb3.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
58,"rb3.4","Какого пола этот человек?"
59,"rb3.5","В каком году (он/она) родились?"
60,"rb3.9.1","Кем 3-ий член семьи приходится 1-му члену семьи?"
61,"rb3.9.2","Кем 3-ий член семьи приходится 2-му члену семьи?"
62,"rb4.1","Наличие индивидуального вопросника"
63,"ridind4","индивидуальный номер 4-го члена"
64,"rb4.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
65,"rb4.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
66,"rb4.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
67,"rb4.4","Какого пола этот человек?"
68,"rb4.5","В каком году (он/она) родились?"
69,"rb4.9.1","Кем 4-ый член семьи приходится 1-му члену семьи?"
70,"rb4.9.2","Кем 4-ый член семьи приходится 2-му члену семьи?"
71,"rb4.9.3","Кем 4-ый член семьи приходится 3-му члену семьи?"
72,"rb5.1","Наличие индивидуального вопросника"
73,"ridind5","индивидуальный номер 5-го члена"
74,"rb5.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
75,"rb5.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
76,"99999997","ЗАТРУДНЯЮСЬ ОТВЕТИТЬ"
77,"rb5.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
78,"rb5.4","Какого пола этот человек?"
79,"rb5.5","В каком году (он/она) родились?"
80,"rb5.9.1","Кем 5-ый член семьи приходится 1-му члену семьи?"
81,"rb5.9.2","Кем 5-ый член семьи приходится 2-му члену семьи?"
82,"rb5.9.3","Кем 5-ый член семьи приходится 3-му члену семьи?"
83,"rb5.9.4","Кем 5-ый член семьи приходится 4-му члену семьи?"
84,"rb6.1","Наличие индивидуального вопросника"
85,"ridind6","индивидуальный номер 6-го члена"
86,"rb6.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
87,"rb6.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
88,"rb6.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
89,"rb6.4","Какого пола этот человек?"
90,"rb6.5","В каком году (он/она) родились?"
91,"rb6.9.1","Кем 6-ой член семьи приходится 1-му члену семьи?"
92,"rb6.9.2","Кем 6-ой член семьи приходится 2-му члену семьи?"
93,"rb6.9.3","Кем 6-ой член семьи приходится 3-му члену семьи?"
94,"rb6.9.4","Кем 6-ой член семьи приходится 4-му члену семьи?"
95,"rb6.9.5","Кем 6-ой член семьи приходится 5-му члену семьи?"
96,"rb7.1","Наличие индивидуального вопросника"
97,"ridind7","индивидуальный номер 7-го члена"
98,"rb7.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
99,"rb7.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
100,"rb7.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
101,"rb7.4","Какого пола этот человек?"
102,"rb7.5","В каком году (он/она) родились?"
103,"rb7.9.1","Кем 7-ой член семьи приходится 1-му члену семьи?"
104,"rb7.9.2","Кем 7-ой член семьи приходится 2-му члену семьи?"
105,"rb7.9.3","Кем 7-ой член семьи приходится 3-му члену семьи?"
106,"rb7.9.4","Кем 7-ой член семьи приходится 4-му члену семьи?"
107,"rb7.9.5","Кем 7-ой член семьи приходится 5-му члену семьи?"
108,"rb7.9.6","Кем 7-ой член семьи приходится 6-му члену семьи?"
109,"rb8.1","Наличие индивидуального вопросника"
110,"ridind8","индивидуальный номер 8-го члена"
111,"rb8.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
112,"rb8.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
113,"rb8.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
114,"rb8.4","Какого пола этот человек?"
115,"rb8.5","В каком году (он/она) родились?"
116,"rb8.9.1","Кем 8-ой член семьи приходится 1-му члену семьи?"
117,"rb8.9.2","Кем 8-ой член семьи приходится 2-му члену семьи?"
118,"rb8.9.3","Кем 8-ой член семьи приходится 3-му члену семьи?"
119,"rb8.9.4","Кем 8-ой член семьи приходится 4-му члену семьи?"
120,"rb8.9.5","Кем 8-ой член семьи приходится 5-му члену семьи?"
121,"rb8.9.6","Кем 8-ой член семьи приходится 6-му члену семьи?"
122,"rb8.9.7","Кем 8-ой член семьи приходится 7-му члену семьи?"
123,"rb9.1","Наличие индивидуального вопросника"
124,"ridind9","индивидуальный номер 9-го члена"
125,"rb9.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
126,"rb9.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
127,"rb9.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
128,"rb9.4","Какого пола этот человек?"
129,"rb9.5","В каком году (он/она) родились?"
130,"rb9.9.1","Кем 9-ый член семьи приходится 1-му члену семьи?"
131,"rb9.9.2","Кем 9-ый член семьи приходится 2-му члену семьи?"
132,"rb9.9.3","Кем 9-ый член семьи приходится 3-му члену семьи?"
133,"rb9.9.4","Кем 9-ый член семьи приходится 4-му члену семьи?"
134,"rb9.9.5","Кем 9-ый член семьи приходится 5-му члену семьи?"
135,"rb9.9.6","Кем 9-ый член семьи приходится 6-му члену семьи?"
136,"rb9.9.7","Кем 9-ый член семьи приходится 7-му члену семьи?"
137,"rb9.9.8","Кем 9-ый член семьи приходится 8-му члену семьи?"
138,"rb10.1","Наличие индивидуального вопросника"
139,"ridind10","индивидуальный номер 10-го члена"
140,"rb10.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
141,"rb102.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
142,"rb10.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
143,"rb10.4","Какого пола этот человек?"
144,"rb10.5","В каком году (он/она) родились?"
145,"rb10.9.1","Кем 10-ый член семьи приходится 1-му члену семьи?"
146,"rb10.9.2","Кем 10-ый член семьи приходится 2-му члену семьи?"
147,"rb10.9.3","Кем 10-ый член семьи приходится 3-му члену семьи?"
148,"rb10.9.4","Кем 10-ый член семьи приходится 4-му члену семьи?"
149,"rb10.9.5","Кем 10-ый член семьи приходится 5-му члену семьи?"
150,"rb10.9.6","Кем 10-ый член семьи приходится 6-му члену семьи?"
151,"rb10.9.7","Кем 10-ый член семьи приходится 7-му члену семьи?"
152,"rb10.9.8","Кем 10-ый член семьи приходится 8-му члену семьи?"
153,"rb10.9.9","Кем 10-ый член семьи приходится 9-му члену семьи?"
154,"rb11.1","Наличие индивидуального вопросника"
155,"ridind11","индивидуальный номер 11-го члена"
156,"rb11.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
157,"rb112.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
158,"rb11.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
159,"rb11.4","Какого пола этот человек?"
160,"rb11.5","В каком году (он/она) родились?"
161,"rb11.9.1","Кем 11-ый член семьи приходится 1-му члену семьи?"
162,"rb11.9.2","Кем 11-ый член семьи приходится 2-му члену семьи?"
163,"rb11.9.3","Кем 11-ый член семьи приходится 3-му члену семьи?"
164,"rb11.9.4","Кем 11-ый член семьи приходится 4-му члену семьи?"
165,"rb11.9.5","Кем 11-ый член семьи приходится 5-му члену семьи?"
166,"rb11.9.6","Кем 11-ый член семьи приходится 6-му члену семьи?"
167,"rb11.9.7","Кем 11-ый член семьи приходится 7-му члену семьи?"
168,"rb11.9.8","Кем 11-ый член семьи приходится 8-му члену семьи?"
169,"rb11.9.9","Кем 11-ый член семьи приходится 9-му члену семьи?"
170,"rb119.10","Кем 11-ый член семьи приходится 10-му члену семьи?"
171,"rb12.1","Наличие индивидуального вопросника"
172,"ridind12","индивидуальный номер 12-го члена"
173,"rb12.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
174,"rb122.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
175,"rb12.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
176,"rb12.4","Какого пола этот человек?"
177,"rb12.5","В каком году (он/она) родились?"
178,"rb12.9.1","Кем 12-ый член семьи приходится 1-му члену семьи?"
179,"rb12.9.2","Кем 12-ый член семьи приходится 2-му члену семьи?"
180,"rb12.9.3","Кем 12-ый член семьи приходится 3-му члену семьи?"
181,"rb12.9.4","Кем 12-ый член семьи приходится 4-му члену семьи?"
182,"rb12.9.5","Кем 12-ый член семьи приходится 5-му члену семьи?"
183,"rb12.9.6","Кем 12-ый член семьи приходится 6-му члену семьи?"
184,"rb12.9.7","Кем 12-ый член семьи приходится 7-му члену семьи?"
185,"rb12.9.8","Кем 12-ый член семьи приходится 8-му члену семьи?"
186,"rb12.9.9","Кем 12-ый член семьи приходится 9-му члену семьи?"
187,"rb129.10","Кем 12-ый член семьи приходится 10-му члену семьи?"
188,"rb129.11","Кем 12-ый член семьи приходится 11-му члену семьи?"
189,"rb13.1","Наличие индивидуального вопросника"
190,"ridind13","индивидуальный номер 13-го члена"
191,"rb13.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
192,"rb132.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
193,"rb13.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
194,"rb13.4","Какого пола этот человек?"
195,"rb13.5","В каком году (он/она) родились?"
196,"rb13.9.1","Кем 13-ый член семьи приходится 1-му члену семьи?"
197,"rb13.9.2","Кем 13-ый член семьи приходится 2-му члену семьи?"
198,"rb13.9.3","Кем 13-ый член семьи приходится 3-му члену семьи?"
199,"rb13.9.4","Кем 13-ый член семьи приходится 4-му члену семьи?"
200,"rb13.9.5","Кем 13-ый член семьи приходится 5-му члену семьи?"
201,"rb13.9.6","Кем 13-ый член семьи приходится 6-му члену семьи?"
202,"rb13.9.7","Кем 13-ый член семьи приходится 7-му члену семьи?"
203,"rb13.9.8","Кем 13-ый член семьи приходится 8-му члену семьи?"
204,"rb13.9.9","Кем 13-ый член семьи приходится 9-му члену семьи?"
205,"rb139.10","Кем 13-ый член семьи приходится 10-му члену семьи?"
206,"rb139.11","Кем 13-ый член семьи приходится 11-му члену семьи?"
207,"rb139.12","Кем 13-ый член семьи приходится 12-му члену семьи?"
208,"rb14.1","Наличие индивидуального вопросника"
209,"ridind14","индивидуальный номер 14-го члена"
210,"rb14.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
211,"rb142.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
212,"rb14.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
213,"rb14.4","Какого пола этот человек?"
214,"rb14.5","В каком году (он/она) родились?"
215,"rb14.9.1","Кем 14-ый член семьи приходится 1-му члену семьи?"
216,"rb14.9.2","Кем 14-ый член семьи приходится 2-му члену семьи?"
217,"rb14.9.3","Кем 14-ый член семьи приходится 3-му члену семьи?"
218,"rb14.9.4","Кем 14-ый член семьи приходится 4-му члену семьи?"
219,"rb14.9.5","Кем 14-ый член семьи приходится 5-му члену семьи?"
220,"rb14.9.6","Кем 14-ый член семьи приходится 6-му члену семьи?"
221,"rb14.9.7","Кем 14-ый член семьи приходится 7-му члену семьи?"
222,"rb14.9.8","Кем 14-ый член семьи приходится 8-му члену семьи?"
223,"rb14.9.9","Кем 14-ый член семьи приходится 9-му члену семьи?"
224,"rb149.10","Кем 14-ый член семьи приходится 10-му члену семьи?"
225,"rb149.11","Кем 14-ый член семьи приходится 11-му члену семьи?"
226,"rb149.12","Кем 14-ый член семьи приходится 12-му члену семьи?"
227,"rb149.13","Кем 14-ый член семьи приходится 13-му члену семьи?"
228,"rb15.1","Наличие индивидуального вопросника"
229,"ridind15","индивидуальный номер 15-го члена"
230,"rb15.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
231,"rb152.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
232,"rb15.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
233,"rb15.4","Какого пола этот человек?"
234,"rb15.5","В каком году (он/она) родились?"
235,"rb15.9.1","Кем 15-ый член семьи приходится 1-му члену семьи?"
236,"rb15.9.2","Кем 15-ый член семьи приходится 2-му члену семьи?"
237,"rb15.9.3","Кем 15-ый член семьи приходится 3-му члену семьи?"
238,"rb15.9.4","Кем 15-ый член семьи приходится 4-му члену семьи?"
239,"rb15.9.5","Кем 15-ый член семьи приходится 5-му члену семьи?"
240,"rb15.9.6","Кем 15-ый член семьи приходится 6-му члену семьи?"
241,"rb15.9.7","Кем 15-ый член семьи приходится 7-му члену семьи?"
242,"rb15.9.8","Кем 15-ый член семьи приходится 8-му члену семьи?"
243,"rb15.9.9","Кем 15-ый член семьи приходится 9-му члену семьи?"
244,"rb159.10","Кем 15-ый член семьи приходится 10-му члену семьи?"
245,"rb159.11","Кем 15-ый член семьи приходится 11-му члену семьи?"
246,"rb159.12","Кем 15-ый член семьи приходится 12-му члену семьи?"
247,"rb159.13","Кем 15-ый член семьи приходится 13-му члену семьи?"
248,"rb159.14","Кем 15-ый член семьи приходится 14-му члену семьи?"
249,"rb16.1","Наличие индивидуального вопросника"
250,"ridind16","индивидуальный номер 16-го члена"
251,"rb16.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
252,"rb162.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
253,"rb16.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
254,"rb16.4","Какого пола этот человек?"
255,"rb16.5","В каком году (он/она) родились?"
256,"rb16.9.1","Кем 16-ый член семьи приходится 1-му члену семьи?"
257,"rb16.9.2","Кем 16-ый член семьи приходится 2-му члену семьи?"
258,"rb16.9.3","Кем 16-ый член семьи приходится 3-му члену семьи?"
259,"rb16.9.4","Кем 16-ый член семьи приходится 4-му члену семьи?"
260,"rb16.9.5","Кем 16-ый член семьи приходится 5-му члену семьи?"
261,"rb16.9.6","Кем 16-ый член семьи приходится 6-му члену семьи?"
262,"rb16.9.7","Кем 16-ый член семьи приходится 7-му члену семьи?"
263,"rb16.9.8","Кем 16-ый член семьи приходится 8-му члену семьи?"
264,"rb16.9.9","Кем 16-ый член семьи приходится 9-му члену семьи?"
265,"rb169.10","Кем 16-ый член семьи приходится 10-му члену семьи?"
266,"rb169.11","Кем 16-ый член семьи приходится 11-му члену семьи?"
267,"rb169.12","Кем 16-ый член семьи приходится 12-му члену семьи?"
268,"rb169.13","Кем 16-ый член семьи приходится 13-му члену семьи?"
269,"rb169.14","Кем 16-ый член семьи приходится 14-му члену семьи?"
270,"rb169.15","Кем 16-ый член семьи приходится 15-му члену семьи?"
271,"rb17.1","Наличие индивидуального вопросника"
272,"ridind17","индивидуальный номер 17-го члена"
273,"rb17.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
274,"rb172.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
275,"rb17.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
276,"rb17.4","Какого пола этот человек?"
277,"rb17.5","В каком году (он/она) родились?"
278,"rb17.9.1","Кем 17-ый член семьи приходится 1-му члену семьи?"
279,"rb17.9.2","Кем 17-ый член семьи приходится 2-му члену семьи?"
280,"rb17.9.3","Кем 17-ый член семьи приходится 3-му члену семьи?"
281,"rb17.9.4","Кем 17-ый член семьи приходится 4-му члену семьи?"
282,"rb17.9.5","Кем 17-ый член семьи приходится 5-му члену семьи?"
283,"rb17.9.6","Кем 17-ый член семьи приходится 6-му члену семьи?"
284,"rb17.9.7","Кем 17-ый член семьи приходится 7-му члену семьи?"
285,"rb17.9.8","Кем 17-ый член семьи приходится 8-му члену семьи?"
286,"rb17.9.9","Кем 17-ый член семьи приходится 9-му члену семьи?"
287,"rb17.910","Кем 17-ый член семьи приходится 10-му члену семьи?"
288,"rb17.911","Кем 17-ый член семьи приходится 11-му члену семьи?"
289,"rb17.912","Кем 17-ый член семьи приходится 12-му члену семьи?"
290,"rb17.913","Кем 17-ый член семьи приходится 13-му члену семьи?"
291,"rb17.914","Кем 17-ый член семьи приходится 14-му члену семьи?"
292,"rb17.915","Кем 17-ый член семьи приходится 15-му члену семьи?"
293,"rb17.916","Кем 17-ый член семьи приходится 16-му члену семьи?"
294,"rb18.1","Наличие индивидуального вопросника"
295,"ridind18","индивидуальный номер 18-го члена"
296,"rb18.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
297,"rb182.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
298,"rb18.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
299,"rb18.4","Какого пола этот человек?"
300,"rb18.5","В каком году (он/она) родились?"
301,"rb18.9.1","Кем 18-ый член семьи приходится 1-му члену семьи?"
302,"rb18.9.2","Кем 18-ый член семьи приходится 2-му члену семьи?"
303,"rb18.9.3","Кем 18-ый член семьи приходится 3-му члену семьи?"
304,"rb18.9.4","Кем 18-ый член семьи приходится 4-му члену семьи?"
305,"rb18.9.5","Кем 18-ый член семьи приходится 5-му члену семьи?"
306,"rb18.9.6","Кем 18-ый член семьи приходится 6-му члену семьи?"
307,"rb18.9.7","Кем 18-ый член семьи приходится 7-му члену семьи?"
308,"rb18.9.8","Кем 18-ый член семьи приходится 8-му члену семьи?"
309,"rb18.9.9","Кем 18-ый член семьи приходится 9-му члену семьи?"
310,"rb18.910","Кем 18-ый член семьи приходится 10-му члену семьи?"
311,"rb18.911","Кем 18-ый член семьи приходится 11-му члену семьи?"
312,"rb18.912","Кем 18-ый член семьи приходится 12-му члену семьи?"
313,"rb18.913","Кем 18-ый член семьи приходится 13-му члену семьи?"
314,"rb18.914","Кем 18-ый член семьи приходится 14-му члену семьи?"
315,"rb18.915","Кем 18-ый член семьи приходится 15-му члену семьи?"
316,"rb18.916","Кем 18-ый член семьи приходится 16-му члену семьи?"
317,"rb18.917","Кем 18-ый член семьи приходится 17-му члену семьи?"
318,"rb19.1","Наличие индивидуального вопросника"
319,"ridind19","индивидуальный номер 19-го члена"
320,"rb19.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
321,"rb192.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
322,"rb19.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
323,"rb19.4","Какого пола этот человек?"
324,"rb19.5","В каком году (он/она) родились?"
325,"rb19.9.1","Кем 19-ый член семьи приходится 1-му члену семьи?"
326,"rb19.9.2","Кем 19-ый член семьи приходится 2-му члену семьи?"
327,"rb19.9.3","Кем 19-ый член семьи приходится 3-му члену семьи?"
328,"rb19.9.4","Кем 19-ый член семьи приходится 4-му члену семьи?"
329,"rb19.9.5","Кем 19-ый член семьи приходится 5-му члену семьи?"
330,"rb19.9.6","Кем 19-ый член семьи приходится 6-му члену семьи?"
331,"rb19.9.7","Кем 19-ый член семьи приходится 7-му члену семьи?"
332,"rb19.9.8","Кем 19-ый член семьи приходится 8-му члену семьи?"
333,"rb19.9.9","Кем 19-ый член семьи приходится 9-му члену семьи?"
334,"rb19.910","Кем 19-ый член семьи приходится 10-му члену семьи?"
335,"rb19.911","Кем 19-ый член семьи приходится 11-му члену семьи?"
336,"rb19.912","Кем 19-ый член семьи приходится 12-му члену семьи?"
337,"rb19.913","Кем 19-ый член семьи приходится 13-му члену семьи?"
338,"rb19.914","Кем 19-ый член семьи приходится 14-му члену семьи?"
339,"rb19.915","Кем 19-ый член семьи приходится 15-му члену семьи?"
340,"rb19.916","Кем 19-ый член семьи приходится 16-му члену семьи?"
341,"rb19.917","Кем 19-ый член семьи приходится 17-му члену семьи?"
342,"rb19.918","Кем 19-ый член семьи приходится 18-му члену семьи?"
343,"rb20.1","Наличие индивидуального вопросника"
344,"ridind20","индивидуальный номер 20-го члена"
345,"rb20.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
346,"rb202.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
347,"rb20.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
348,"rb20.4","Какого пола этот человек?"
349,"rb20.5","В каком году (он/она) родились?"
350,"rb20.9.1","Кем 20-ый член семьи приходится 1-му члену семьи?"
351,"rb20.9.2","Кем 20-ый член семьи приходится 2-му члену семьи?"
352,"rb20.9.3","Кем 20-ый член семьи приходится 3-му члену семьи?"
353,"rb20.9.4","Кем 20-ый член семьи приходится 4-му члену семьи?"
354,"rb20.9.5","Кем 20-ый член семьи приходится 5-му члену семьи?"
355,"rb20.9.6","Кем 20-ый член семьи приходится 6-му члену семьи?"
356,"rb20.9.7","Кем 20-ый член семьи приходится 7-му члену семьи?"
357,"rb20.9.8","Кем 20-ый член семьи приходится 8-му члену семьи?"
358,"rb20.9.9","Кем 20-ый член семьи приходится 9-му члену семьи?"
359,"rb20.910","Кем 20-ый член семьи приходится 10-му члену семьи?"
360,"rb20.911","Кем 20-ый член семьи приходится 11-му члену семьи?"
361,"rb20.912","Кем 20-ый член семьи приходится 12-му члену семьи?"
362,"rb20.913","Кем 20-ый член семьи приходится 13-му члену семьи?"
363,"rb20.914","Кем 20-ый член семьи приходится 14-му члену семьи?"
364,"rb20.915","Кем 20-ый член семьи приходится 15-му члену семьи?"
365,"rb20.916","Кем 20-ый член семьи приходится 16-му члену семьи?"
366,"rb20.917","Кем 20-ый член семьи приходится 17-му члену семьи?"
367,"rb20.918","Кем 20-ый член семьи приходится 18-му члену семьи?"
368,"rb20.919","Кем 20-ый член семьи приходится 19-му члену семьи?"
369,"rc1","Жилье; в котором Ваша семья живет в настоящее время; это общежитие; Вы его снимаете или это Ваше жилье?"
370,"rc1.1","Какова сегодня приблизительно рыночная цена такого жилья; как Ваше?"
371,"rc3","Ваша семья занимает отдельную квартиру; часть квартиры; отдельный дом; часть дома?"
372,"rc4.0","Кто в настоящее время является собственником Вашего жилья?"
373,"rc6","Какова общая полезная площадь жилья у Вашей семьи; то есть сумма площадей жилых комнат; кухни; ванной; туалета; прихожей; кладовых и тому подобного в квартире (доме)?"
374,"rc5","Какую жилую площадь занимает Ваша семья? Сколько квадратных метров составляет площадь только жилых комнат?"
375,"rc5.1","Сколько жилых комнат занимает Ваша семья?"
376,"rc7.1","У Вас в доме есть центральное отопление от ТЭЦ; котельной?"
377,"rc7.2","У Вас в доме есть централизованное водоснабжение?"
378,"rc7.3","У Вас в доме есть горячее водоснабжение?"
379,"rc7.7","У Вас в доме есть магистральный; не баллонный газ?"
380,"rc7.8","У Вас в доме есть напольная электроплита?"
381,"rc7.5","У Вас в доме есть централизованная канализация?"
