year,file,var,russian,english
2012,FG,DRVOD,Причины отказа от установки прибора учета: другое: воды,Reasons for non-installation of meters: Other: water
2012,FG,DRTEP,Причины отказа от установки прибора учета: другое: тепла,Reasons for non-installation of meters: Other: Heat
2012,FG,KOLAM,Количество осветительных ламп,Number of lamps
2012,FG,KOLAMN,Количество ламп накаливания,Number of bulbs
2012,FG,NZLAM,Причины отказа от использования энергосберегающих ламп: не знаю об их существовании ,The reasons for non-use of energy-saving lamps: I do not know about their existence
2012,FG,NPLAM,Причины отказа от использования энергосберегающих ламп: нет в продаже,The reasons for non-use of energy-saving lamps: Not available
2012,FG,DORLAM,Причины отказа от использования энергосберегающих ламп: дорого,The reasons for non-use of energy-saving lamps: expensive
2012,FG,NOLAM,Причины отказа от использования энергосберегающих ламп: не приспособлено осветительное оборудование,The reasons for non-use of energy-saving lamps not fitted lighting equipment
2012,FG,NSVLAM,Причины отказа от использования энергосберегающих ламп: плохое освещение ,The reasons for non-use of energy-saving lamps: poor lighting
2012,FG,ZRLAM,Причины отказа от использования энергосберегающих ламп: вредно для зрения,The reasons for non-use of energy-saving lamps: harmful to view
2012,FG,NETLAM,Причины отказа от использования энергосберегающих ламп: нет необходимости ,The reasons for non-use of energy-saving lamps: no need
2012,FG,DRLAM,Причины отказа от использования энергосберегающих ламп: другое,The reasons for non-use of energy-saving lamps: Other
2012,FG,PHOLVOD,Наличие перебоев с: холодной водой,The presence of disruptions: cold water
2012,FG,PGORVOD,Наличие перебоев с: горячей водой,The presence of disruptions: hot water
2012,FG,PELEKTR,Наличие перебоев с: электроэнергией,The presence of disruptions: electricity
2012,FG,PTEPL,Наличие перебоев с: теплом,The presence of disruptions: warm
2012,FG,PPROGR,Наличие перебоев с: приемом программ телевидения,The presence of disruptions: the reception of television programs
2012,FG,PLIFT,Наличие перебоев с: лифтовым обслуживанием,The presence of faults with: elevator service
2012,FG,RHOLVOD,Регулярность перебоев с: холодной водой,Regularity of interruptions: cold water
2012,FG,RGORVOD,Регулярность перебоев с: горячей водой,Regularity of interruptions: hot water
2012,FG,RELEKTR,Регулярность перебоев с: электроэнергией,Regularity of interruptions: electricity
2012,FG,RTEPL,Регулярность перебоев с: теплом,Regularity of interruptions: warm
2012,FG,RPROGR,Регулярность перебоев с: приемом программ телевидения,Regularity of disruptions: the reception of television programs
2012,FG,RLIFT,Регулярность перебоев с: лифтовым обслуживанием,Regularity of interruptions: elevator service
2012,FG,NTEKREM,Неудобства в проживании: необходимость текущего ремонта,"Inconvenience to stay, need for maintenance"
2012,FG,NKAPREM,Неудобства в проживании: необходимость капитального ремонта,"Inconvenience to stay, the need for major repairs"
2012,FG,XOLOD,Неудобства в проживании: недостаток тепла,"Inconvenience to stay, lack of heat"
2012,FG,VLAG,Неудобства в проживании: избыток влажности,"Inconvenience to stay, excess humidity"
2012,FG,TEMN,Неудобства в проживании: недостаток света,"Inconvenience to stay, the lack of light"
2012,FG,NSANTEH,Неудобства в проживании: неполадки с сантехническим оборудованием,"Inconvenience to stay, problems with sanitary equipment"
2012,FG,NELEKTR,Неудобства в проживании: неисправность электропроводки,Inconvenience to stay wiring
2012,FG,SHUMIZO,Неудобства в проживании: плохая шумоизоляция,Inconvenience to stay poor noise insulation
2012,FG,GRYZ,Неудобства в проживании: загрязнение воздуха,"Inconvenience to stay, air pollution"
2012,FG,PLVODA,Неудобства в проживании: плохое качество воды,Inconvenience to stay poor water quality
2012,FG,PLOBTR,Неудобства в проживании: плохая работа общественного транспорта,Inconvenience to stay poor performance of public transport
2012,FG,PLSVET,Неудобства в проживании: плохая освещенность улиц,"Inconvenience to stay, poorly lit streets"
2012,FG,SHUMS,Неудобства в проживании: беспокойные соседи,Inconvenience to stay restless neighbors
2012,FG,PLDR,Неудобства в проживании: другое,Inconvenience to stay another
2012,FG,OSNPY,Осуществление мероприятий по энергоэффективности: централизованное оснащение квартир приборами учета,Implementation of energy efficiency measures: centralized equipment of the apartment metering devices
2012,FG,YTEP,Осуществление мероприятий по энергоэффективности: утепление здания ,Implementation of energy efficiency measures: insulation of buildings
2012,FG,ZAMEL,Осуществление мероприятий по энергоэффективности: замена электрооборудования,Implementation of energy efficiency measures: replacement of electrical equipment
2012,FG,ZAMKOM,Осуществление мероприятий по энергоэффективности: замена инженерных коммуникаций и сооружений,Implementation of energy efficiency measures: replacement of utilities and facilities
2012,FG,DRMER,Осуществление мероприятий по энергоэффективности: другое,Implementation of energy efficiency measures: Other
2012,FG,OCENGIL,Оценка жилищных условий,Assessment of living conditions
2012,FG,ULUCHG,Намерение улучшить жилье,Intention to improve housing
2012,FG,UCHET,Способы улучшения жилищных условий: стояние на учете как нуждающиеся ,Ways to improve their housing conditions: state registered as needing
2012,FG,KUPGIL,Способы улучшения жилищных условий: покупка нового жилья,Ways to improve the living conditions: the purchase of new housing
2012,FG,KUPGILD,Способы улучшения жилищных условий: покупка дополнительного жилья,Ways to improve the living conditions: the purchase of additional housing
2012,FG,NASLED,Способы улучшения жилищных условий: получение наследства,Ways to improve their housing conditions: inheritance
2012,FG,STRGIL,Способы улучшения жилищных условий: строительство нового дома,Ways to improve the living conditions: the construction of a new home
2012,FG,DRPRICH,Способы улучшения жилищных условий: другой способ улучшения жилья,Ways to improve their housing conditions: another way to improve housing
2012,FG,NULUCHG,Причина отказа от улучшения жилищных условий,The reason for not improving living conditions
2012,FG,PRODMAG,Шаговая доступность объектов социальной инфраструктуры: продовольственный магазин,Stepping accessibility of social infrastructure: grocery store
2012,FG,PROMMAG,Шаговая доступность объектов социальной инфраструктуры: магазин непродовольственных товаров,Stepping accessibility of social infrastructure: store non-food items
2012,FG,POCHTA,Шаговая доступность объектов социальной инфраструктуры: почта,Stepping accessibility of social infrastructure: e-mail
2012,FG,SBERB,Шаговая доступность объектов социальной инфраструктуры: Сбербанк,Stepping accessibility of social infrastructure: Sberbank
2012,FG,APTEKA,Шаговая доступность объектов социальной инфраструктуры: аптека,Stepping accessibility of social infrastructure: pharmacy
2012,FG,POLIKV,Шаговая доступность объектов социальной инфраструктуры: поликлиника для взрослых,Stepping accessibility of social infrastructure: clinic for adults
2012,FG,POLIKD,Шаговая доступность объектов социальной инфраструктуры: детская поликлиника,Stepping accessibility of social infrastructure: Children's Clinic
2012,FG,SHKOLA,Шаговая доступность объектов социальной инфраструктуры: общеобразовательное учреждение,Stepping accessibility of social infrastructure: educational institution
2012,FG,DETSAD,Шаговая доступность объектов социальной инфраструктуры: детский сад,Stepping accessibility of social infrastructure: kindergarten
2012,FG,PENFOND,Шаговая доступность объектов социальной инфраструктуры: отделение Пенсионного фонда,Stepping accessibility of social infrastructure: the Pension Fund office
2012,FG,SOCZA,Шаговая доступность объектов социальной инфраструктуры: отдел социальной защиты,Stepping accessibility of social infrastructure: Department of Social Protection
2012,FG,NOTAR,Шаговая доступность объектов социальной инфраструктуры: нотариальная контора,Stepping accessibility of social infrastructure: Notary Office
2012,FG,URIST,Шаговая доступность объектов социальной инфраструктуры: юридическая консультация,Stepping accessibility of social infrastructure: legal advice
2012,FG,TPRODMAG,Затраты времени на транспорте до: продовольственный магазин,Time spent on transport to: grocery store
2012,FG,TPROMMAG,Затраты времени на транспорте до: магазин непродовольственных товаров,Time spent on transport to: store non-food items
2012,FG,TPOCHTA,Затраты времени на транспорте до: почта,Time spent on transport to: e-mail
2012,FG,TSBERB,Затраты времени на транспорте до: Сбербанк,Time spent on transport to Sberbank
2012,FG,TAPTEKA,Затраты времени на транспорте до: аптека,Time spent on transport to: pharmacy
2012,FG,TPOLIKV,Затраты времени на транспорте до: поликлиника для взрослых,Time spent on transport to: Clinic for Adults
2012,FG,TPOLIKD,Затраты времени на транспорте до: детская поликлиника,Time spent on transport to: Children's Clinic
2012,FG,TSHKOLA,Затраты времени на транспорте до: общеобразовательное учреждение,Time spent on transport to: educational institution
2012,FG,TDETSAD,Затраты времени на транспорте до: детский сад,The time required to transport to a kindergarten
2012,FG,TPENFOND,Затраты времени на транспорте до: отделение Пенсионного фонда,Time spent on transport to: Department of Pension Fund
2012,FG,TSOCZA,Затраты времени на транспорте до: отдел социальной защиты,Time spent on transport to: Department of Social Protection
2012,FG,TNOTAR,Затраты времени на транспорте до: нотариальная контора,Time spent on transport to: Notary Office
2012,FG,TURIST,Затраты времени на транспорте до: юридическая консультация,Time spent on transport to: legal advice
2012,FG,REGULTR,Регулярность работы общественного транспорта,The regularity of public transport
2012,FZ,PER,Период разработки,development period
2012,FZ,TER,Шифр территории,cipher territory
2012,FZ,MEST,Тип населенного пункта,Type of settlement
2012,FZ,BUD,Номер бюджета,number budget
2012,FZ,NALTELC,Количество цветных телевизоров,Number of color televisions
2012,FZ,NALTEL,- « - черно-белых телевизоров,"- ""- Black and white TVs"
2012,FZ,NALVID,- « - видеомагнитофонов,"- ""- VCR"
2012,FZ,NALDVD,- « - DVD-плеер,- «- DVD-player
2012,FZ,NALVIDCM,- « - видеокамер,"- ""- Camcorders"
2012,FZ,NALRADIO,- « - радиоприемников,"- ""- Radio"
2012,FZ,NALMUZC,- « - музыкальных центров,"- ""- Stereo"
2012,FZ,NALMAG,- « - магнитофонов,"- ""- Tape"
2012,FZ,NALHOL,- « - холодильников,"- ""- Refrigerators"
2012,FZ,NALMOR,- « - морозильников,"- ""- Freezers"
2012,FZ,NALSTIR,- « - стиральных машин,"- ""- Washing machines"
2012,FZ,NALMPH,- « - микроволновых печей,"- ""- Microwave ovens"
2012,FZ,NALPMM,- « - посудомоечных машин,"- ""- Dishwasher"
2012,FZ,NALPSOS,- « - электропылесосов,"- ""- Vacuum cleaners"
2012,FZ,NALSHVE,- « - швейных машин,"- ""- Sewing machines"
2012,FZ,NALVIAZ,- « - вязальных машин,"- ""- Knitting machines"
2012,FZ,NALCOND,- « - кондиционеров,"- ""- Conditioners"
2012,FZ,NALPC,- « - персональных компьютеров,"- ""- PC"
2012,FZ,NALKPC,- « - карманных компьютеров,"- ""- PDAs"
2012,FZ,NALMTEL,- « - мобильных телефонов,"- ""- Mobile phones"
2012,FZ,NALVEL,- « - велосипедов,"- ""- Bike"
2012,FZ,NALMOT,- « - мотоциклов,"- ""- Motorcycles"
2012,FZ,NALAVT,- « - легковых автомобилей,"- ""- Cars"
2012,FZ,NALGAVT,- « - грузовых автомобилей,"- ""- Trucks"
2012,FZ,NALLOD,- « - моторных лодок,"- ""- Motorboats"
2012,FZ,RTELC,Количество в рабочем состоянии цветных телевизоров,Number operable color televisions
2012,FZ,RTEL,- « - черно-белых телевизоров,"- ""- Black and white TVs"
2012,FZ,RVID,- « - видеомагнитофонов,"- ""- VCR"
2012,FZ,RDVD,- « - DVD-плеер,- «- DVD-player
2012,FZ,RVIDCM,- « - видеокамер,"- ""- Camcorders"
2012,FZ,RRADIO,- « - радиоприемников,"- ""- Radio"
2012,FZ,RMUZC,- « - музыкальных центров,"- ""- Stereo"
2012,FZ,RMAG,- « - магнитофонов,"- ""- Tape"
2012,FZ,RHOL,- « - холодильников,"- ""- Refrigerators"
2012,FZ,RMOR,- « - морозильников,"- ""- Freezers"
2012,FZ,RSTIR,- « - стиральных машин,"- ""- Washing machines"
2012,FZ,RMPH,- « - микроволновых печей,"- ""- Microwave ovens"
2012,FZ,RPMM,- « - посудомоечных машин,"- ""- Dishwasher"
2012,FZ,RPSOS,- « - электропылесосов,"- ""- Vacuum cleaners"
2012,FZ,RSHVE,- « - швейных машин,"- ""- Sewing machines"
2012,FZ,RVIAZ,- « - вязальных машин,"- ""- Knitting machines"
2012,FZ,RCOND,- « - кондиционеров,"- ""- Conditioners"
2012,FZ,RPC,- « - персональных компьютеров,"- ""- PC"
2012,FZ,RKPC,- « - карманных компьютеров,"- ""- PDAs"
2012,FZ,RMTEL,- « - мобильных телефонов,"- ""- Mobile phones"
2012,FZ,RVEL,- « - велосипедов,"- ""- Bike"
2012,FZ,RMOT,- « - мотоциклов,"- ""- Motorcycles"
2012,FZ,RAVT,- « - легковых автомобилей,"- ""- Cars"
2012,FZ,RGAVT,- « - грузовых автомобилей,"- ""- Trucks"
2012,FZ,RLOD,- « - моторных лодок,"- ""- Motorboats"
2012,FZ,GODTELC,Год приобретения цветного телевизора,The year of acquisition color TV
2012,FZ,GODTEL,- « - черно-белого телевизора,"- ""- Black-and-white television"
2012,FZ,GODVID,- « - видеомагнитофона,"- ""- VCR"
2012,FZ,GODDVD,- « - DVD-плеер,- «- DVD-player
2012,FZ,GODVIDCM,- « - видеокамеры,"- ""- Camcorder"
2012,FZ,GODRADIO,- « - радиоприемника,"- ""- Radio"
2012,FZ,GODMUZC,- « - музыкального центра,"- ""- The music center"
2012,FZ,GODMAG,- « - магнитофона,"- ""- Tape"
2012,FZ,GODHOL,- « - холодильника,"- ""- Refrigerator"
2012,FZ,GODMOR,- « - морозильника,"- ""- Freezer"
2012,FZ,GODSTIR,- « - стиральной машины,"- ""- Washing machine"
2012,FZ,GODMPH,- « - микроволновой печи,"- ""- Microwave"
2012,FZ,GODPMM,- « - посудомоечной машины,"- ""- Dishwasher"
2012,FZ,GODPSOS,- « - электропылесоса,"- ""- An electric vacuum"
2012,FZ,GODSHVE,- « - швейной машины,"- ""- Sewing machine"
2012,FZ,GODVIAZ,- « - вязальной машины,"- ""- Knitting machine"
2012,FZ,GODCOND,- « - кондиционера,"- ""- The air conditioner"
2012,FZ,GODPC,- « - персонального компьютера,"- ""- PC"
2012,FZ,GODKPC,- « - карманных компьютеров,"- ""- PDAs"
2012,FZ,GODMTEL,- « - мобильного телефона,"- ""- Mobile phone"
2012,FZ,GODVEL,- « - велосипеда,"- ""- Bicycle"
2012,FZ,GODMOT,- « - мотоцикла,"- ""- A motorcycle"
2012,FZ,GODAVT,- « - легкового автомобиля,"- ""- A car"
2012,FZ,GODGAVT,- « - грузовых автомобилей,"- ""- Trucks"
2012,FZ,GODLOD,- « - моторной лодки,"- ""- A motor boat"
2012,FZ,EFHOL,Класс энергоэффективности холодильника,Energy efficiency class refrigerator
2012,FZ,EFMOR,- « - морозильника,"- ""- Freezer"
2012,FZ,EFSTIR,- « - стиральной машины,"- ""- Washing machine"
2012,FZ,EFMPH,- « - микроволновой печи,"- ""- Microwave"
2012,FZ,EFPMM,- « - посудомоечной машины,"- ""- Dishwasher"
2012,FZ,EFPSOS,- « - электропылесоса,"- ""- An electric vacuum"
2012,FZ,EFSHVE,- « - швейной машины,"- ""- Sewing machine"
2012,FZ,EFVIAZ,- « - вязальной машины,"- ""- Knitting machine"
2012,FZ,EFCOND,- « - кондиционера,"- ""- The air conditioner"
2012,FZ,PC16,"Число членов домохозяйства, пользующихся компьютером в возрасте: до 16 лет",Number of household members who use a computer at Age: 16 years
2012,FZ,PC35,"Число членов домохозяйства, пользующихся компьютером в возрасте: 16 – 35 лет",Number of household members who use a computer at the age of 16 - 35 years
2012,FZ,PC55,"Число членов домохозяйства, пользующихся компьютером в возрасте: 36 - 55 лет",Number of household members who use a computer at the age of 36 - 55 years
2012,FZ,PC74,"Число членов домохозяйства, пользующихся компьютером в возрасте: 56 лет и старше",Number of household members who use a computer at the age of 56 years and older
2012,FZ,DOSINT,Наличие доступа в Интернет,Having access to the Internet
2012,FZ,PINT16,Число членов домохозяйства пользующихся Интернет постоянно: до 16 лет,Number of household members use the Internet constantly: Up to 16 years
2012,FZ,PINT35,Число членов домохозяйства пользующихся Интернет постоянно: 16 – 35 лет,Number of household members use the Internet constantly: 16 - 35 years
2012,FZ,PINT55,Число членов домохозяйства пользующихся Интернет постоянно: 36 - 55 лет,Number of household members use the Internet constantly: 36 - 55 years
2012,FZ,PINT74,Число членов домохозяйства пользующихся Интернет постоянно: 56 лет и старше,Number of household members use the Internet constantly: 56 years and older
2012,FZ,SINT16,Число членов домохозяйства пользующихся Интернет от случая к случаю: до 16 лет,Number of household members using the Internet from time to time: up to 16 years
2012,FZ,SINT35,Число членов домохозяйства пользующихся Интернет от случая к случаю: 16 – 35 лет,Number of household members using the Internet from time to time: 16 - 35 years
2012,FZ,SINT55,Число членов домохозяйства пользующихся Интернет от случая к случаю: 36 - 55 лет,Number of household members using the Internet from time to time: 36 - 55 years
2012,FZ,SINT74,Число членов домохозяйства пользующихся Интернет от случая к случаю: 56 лет и старше,Number of household members using the Internet from time to time: 56 years and older
2012,FZ,NINT16,Число членов домохозяйства пользующихся Интернет не пользуются: до 16 лет,Number of household members using the Internet do not use: up to 16 years
2012,FZ,NINT35,Число членов домохозяйства пользующихся Интернет не пользуются: 16 – 35 лет,Number of household members using the Internet is not used: 16 - 35 years
2012,FZ,NINT55,Число членов домохозяйства пользующихся Интернет не пользуются: 36 - 55 лет,Number of household members using the Internet is not used: 36 - 55 years
2012,FZ,NINT74,Число членов домохозяйства пользующихся Интернет не пользуются: 56 лет и старше,Number of household members using the Internet is not used: 56 years and older
2012,FZ,INT161,"Цели использования Интернет лицами до 16 лет: поиск или выполнения оплачиваемой работы, рассылка информации","Objectives of Internet use by persons under 16 years: search or perform paid work, delivery information"
2012,FZ,INT162,"Цели использования Интернет лицами до 16 лет: получение информации, оформление документов на сайтах органов государственной власти, госучреждений и ведомств","Objectives of Internet use by persons under 16 years: to obtain information, documents on the websites of public authorities, public institutions and agencies"
2012,FZ,INT163,"Цели использования Интернет лицами до 16 лет: поиск информации о товарах и услугах для повседневной жизни,  заказ товаров (бронирование мест), подача собственных объявлений о продаже личных вещей и имущества","Objectives of Internet use by persons under 16 years: search for information about goods and services for everyday life, ordering goods (seat reservation), supply their own ads personal belongings and property"
2012,FZ,INT164,"Цели использования Интернет лицами до 16 лет: осуществление финансовых операций (оплата услуг, перевод денег и др.)","Objectives of Internet use by persons under 16 years: financial transactions (payment services, money transfers, etc.)."
2012,FZ,INT165,Цели использования Интернет лицами до 16 лет: дистанционное обучение по обязательной или дополнительной программе,Objectives of Internet use by persons under 16 years: distance learning for mandatory or optional program
2012,FZ,INT166,"Цели использования Интернет лицами до 16 лет: прочтение новостной информации, статей, пользование электронными библиотеками, энциклопедиями и др.","Objectives of Internet use by persons under 16 years: reading news items, articles, use digital libraries, encyclopedias and others."
2012,FZ,INT167,"Цели использования Интернет лицами до 16 лет: общение в социальных сетях для поддержания личных контактов и обмена информацией, переписка с родными и близкими","Objectives of Internet use by persons under 16 years: social networking to maintain personal contacts and exchange of information, correspondence with family and friends"
2012,FZ,INT168,"Цели использования Интернет лицами до 16 лет: обсуждение социальных и политических вопросов, участие в Интернет-акциях, опросах общественного мнения и др.","Objectives of Internet use by persons under 16 years: a discussion of social and political issues, participate in online promotions, public opinion polls and others."
2012,FZ,INT169,"Цели использования Интернет лицами до 16 лет: провождение времени за скачиванием фильмов, музыки и игр, за игрой в сетевые игры и др.","Objectives of Internet use by persons under 16 years: Spending time for downloading movies, music and games, playing online games, and others."
2012,FZ,INT1610,Цели использования Интернет лицами до 16 лет: для других целей,Objectives of Internet use by persons under 16 years: for other purposes
2012,FZ,INT351,"Цели использования Интернет лицами от 16 до 35 лет: поиск или выполнения оплачиваемой работы, рассылка информации","Objectives of Internet use by persons 16 to 35 years: search or perform paid work, delivery information"
2012,FZ,INT352,"Цели использования Интернет лицами от 16 до 35 лет: получение информации, оформление документов на сайтах органов государственной власти, госучреждений и ведомств","Objectives of Internet use by persons 16 to 35 years: to obtain information, documents on the websites of public authorities, public institutions and agencies"
2012,FZ,INT353,"Цели использования Интернет лицами от 16 до 35 лет: поиск информации о товарах и услугах для повседневной жизни,  заказ товаров (бронирование мест), подача собственных объявлений о продаже личных вещей и имущества","Objectives of Internet use by persons 16 to 35 years: search for information about goods and services for everyday life, ordering goods (seat reservation), supply their own ads personal belongings and property"
2012,FZ,INT354,"Цели использования Интернет лицами от 16 до 35 лет: осуществление финансовых операций (оплата услуг, перевод денег и др.)","Objectives of Internet use by persons 16 to 35 years: financial transactions (payment services, money transfers, etc.)."
2012,FZ,INT355,Цели использования Интернет лицами от 16 до 35 лет: дистанционное обучение по обязательной или дополнительной программе,Objectives of Internet use by persons 16 to 35 years: distance learning for mandatory or optional program
2012,FZ,INT356,"Цели использования Интернет лицами от 16 до 35 лет: прочтение новостной информации, статей, пользование электронными библиотеками, энциклопедиями и др.","Objectives of Internet use by persons 16 to 35 years: reading news items, articles, use digital libraries, encyclopedias and others."
2012,FZ,INT357,"Цели использования Интернет лицами от 16 до 35 лет: общение в социальных сетях для поддержания личных контактов и обмена информацией, переписка с родными и близкими","Objectives of Internet use by persons 16 to 35 years: social networking to maintain personal contacts and exchange of information, correspondence with family and friends"
2012,FZ,INT358,"Цели использования Интернет лицами от 16 до 35 лет: обсуждение социальных и политических вопросов, участие в Интернет-акциях, опросах общественного мнения и др.","Objectives of Internet use by persons 16 to 35 years: a discussion of social and political issues, participate in online promotions, public opinion polls and others."
2012,FZ,INT359,"Цели использования Интернет лицами от 16 до 35 лет: провождение времени за скачиванием фильмов, музыки и игр, за игрой в сетевые игры и др.","Objectives of Internet use by persons 16 to 35 years: Spending time for downloading movies, music and games, playing online games, and others."
2012,FZ,INT3510,Цели использования Интернет лицами от 16 до 35 лет: для других целей,Objectives of Internet use by persons 16 to 35 years: for other purposes
2012,FZ,INT551,"Цели использования Интернет лицами от 36 до 55 лет: поиск или выполнения оплачиваемой работы, рассылка информации","Objectives of Internet use by persons from 36 to 55 years: search or perform paid work, delivery information"
2012,FZ,INT552,"Цели использования Интернет лицами от 36 до 55 лет: получение информации, оформление документов на сайтах органов государственной власти, госучреждений и ведомств","Objectives of Internet use by persons from 36 to 55 years: to obtain information, documents on the websites of public authorities, public institutions and agencies"
2012,FZ,INT553,"Цели использования Интернет лицами от 36 до 55 лет: поиск информации о товарах и услугах для повседневной жизни,  заказ товаров (бронирование мест), подача собственных объявлений о продаже личных вещей и имущества","Objectives of Internet use by persons from 36 to 55 years: search for information about goods and services for everyday life, ordering goods (seat reservation), supply their own ads personal belongings and property"
2012,FZ,INT554,"Цели использования Интернет лицами от 36 до 55 лет: осуществление финансовых операций (оплата услуг, перевод денег и др.)","Objectives of Internet use by persons from 36 to 55 years: financial transactions (payment services, money transfers, etc.)."
2012,FZ,INT555,Цели использования Интернет лицами от 36 до 55 лет: дистанционное обучение по обязательной или дополнительной программе,Objectives of Internet use by persons from 36 to 55 years: distance learning for mandatory or optional program
