,year,file,var,english,russian
81,2003,FY,AP35,Entitlement to a disability pension,Наличие права на получение пенсии по инвалидности
82,2003,FY,AP36,Having the right to receive a pension survivor,Наличие права на получение пенсии по случаю потери кормильца
83,2003,FY,AP37,Having the right to receive social pensions,Наличие права на получение социальной пенсии
84,2003,FY,AP38,Having the right to receive a monthly allowance for child care up to 1.5 years,"Наличие права на получение ежемесячного пособия по уходу за ребенком до 1,5 лет"
85,2003,FY,AP39,Having the right to receive a monthly allowance for a child under the age of 16,Наличие права на получение ежемесячного пособия на ребенка в возрасте до 16 лет
86,2003,FY,AP40,Entitlement to unemployment benefits,Наличие права на получение пособия по безработице
87,2003,FY,AP41,Eligibility for other benefits,Наличие права на получение других пособий
88,2003,FY,AP42,Eligibility for scholarships,Наличие права на получение стипендии
89,2003,FN,PER,development period,Период разработки
90,2003,FN,TER,cipher territory,Шифр территории
91,2003,FN,MEST,Type of settlement,Тип населенного пункта
92,2003,FN,BUD,number budget,Номер бюджета
93,2003,FN,R2V1,Code of head of household,Код главы домохозяйства
94,2003,FN,R2V7,Type of activity of the household head in the main job,Вид деятельности главы домохозяйства по основному месту работы
95,2003,FN,R2V8,Occupation of head of household on the main job,Занятие главы домохозяйства по основному месту работы
96,2003,FN,R2V9,The main source of livelihood of the household head,Основной источник средств к существованию главы домохозяйства
97,2003,FN,R2V10,Code interval money income households,Код интервала денежного дохода домохозяйства
98,2004,FC,PER,development period,Период разработки
99,2004,FC,TER,cipher territory,Шифр территории
100,2004,FC,MEST,Type of settlement,Тип населенного пункта
101,2004,FC,BUD,number budget,Номер бюджета
102,2004,FC,CHLICO,Number of persons in the household,Число лиц в домохозяйстве
103,2004,FC,CHISL,Grouped according to the number of persons per household cash (5 groups),Группировка по числу наличных лиц в домохозяйстве (5 групп)
104,2004,FC,CHDET,The actual number of children under 16 years,Фактическое число детей до 16 лет
105,2004,FC,CHISD,Grouping by the number of children under 16 in the household (5 groups),Группировка по числу детей до 16 лет в домохозяйстве (5 групп)
106,2004,FC,RASSQ,Final consumption expenditure,Расход на конечное потребление
107,2004,FC,DOXODSN,cash income,Денежный доход
108,2004,FC,RASRESS,disposable resources,Располагаемые ресурсы
109,2004,FC,DECILR,Deciles of per capita disposable resources,Дециль по среднедушевым располагаемым ресурсам
110,2004,FC,POTRAS,consumer spending,Потребительские расходы
111,2004,FC,PROD,Expenditure on food,Расходы на покупку продуктов питания
112,2004,FC,PITRES,Spending on food away from home,Расходы на питание вне дома
113,2004,FC,ALK,Expenditures for the purchase of alcoholic beverages,Расходы на покупку алкогольных напитков
114,2004,FC,NEPROD,The cost of purchasing non-food products,Расходы на покупку непродовольственных товаро
115,2004,FC,USLUG,'Fees,Расходы на оплату услуг
116,2004,FC,NALOG,"Taxes, fees, charges","Налоги, сборы, платежи"
117,2004,FC,DRRAS,other costs,Другие расходы
118,2004,FC,DENRAS,cash expenditures,Денежные расходы
119,2004,FC,FAKT,Increase in financial assets,Прирост финансовых активов
120,2004,FC,NATDOX,natural income,Натуральный доход
121,2004,FC,KVZV,Weighting factor (total),Коэффициент взвешивания (общий)
122,2004,FQ,PER,development period,Период разработки
123,2004,FQ,TER,cipher territory,Шифр территории
124,2004,FQ,MEST,Type of settlement,Тип населенного пункта
125,2004,FQ,BUD,number budget,Номер бюджета
126,2004,FQ,AP1,The cost of buying baked goods and cereals,Расходы на покупку хлебобулочных изделий и крупы
127,2004,FQ,AP2,The cost of buying meat and meat products,Расходы на покупку мяса и мясопродуктов
128,2004,FQ,AP3,The cost of buying fish and seafood,Расходы на покупку рыбы и морепродуктов
129,2004,FQ,AP4,"Expenditures for the purchase of dairy products, cheese","Расходы на покупку молочных изделий, сыров"
130,2004,FQ,AP5,The cost of buying eggs,Расходы на покупку яиц
131,2004,FQ,AP6,The cost of buying oil and fats,Расходы на покупку масла и жиров
132,2004,FQ,AP7,The cost of buying fruit,Расходы на покупку фруктов
133,2004,FQ,AP8,The cost of buying vegetables,Расходы на покупку овощей
134,2004,FQ,AP9,The cost of purchasing potatoes,Расходы на покупку картофеля
135,2004,FQ,AP10,Expenditures for the purchase of sugar and confectionery products,Расходы на покупку сахара и кондитерских изделий
136,2004,FQ,AP11,Expenditures for the purchase of other foods,Расходы на покупку других продуктов питания
137,2004,FQ,AP12,Expenditures for the purchase of soft drinks,Расходы на покупку безалкогольных напитков
138,2004,FQ,AP13,The cost of natural receipts of bakery products and cereals,Стоимость натуральных поступлений хлебобулочных изделий и крупы
139,2004,FQ,AP14,The cost of natural receipts of meat and meat products,Стоимость натуральных поступлений мяса и мясопродуктов
140,2004,FQ,AP15,The cost of natural receipts of fish and seafood,Стоимость натуральных поступлений рыбы и морепродуктов
141,2004,FQ,AP16,"The cost of natural receipts dairy products, cheese","Стоимость натуральных поступлений молочных изделий, сыров"
142,2004,FQ,AP17,The cost of natural receipts eggs,Стоимость натуральных поступлений яиц
143,2004,FQ,AP18,The cost of natural oils and fats proceeds,Стоимость натуральных поступлений масла и жиров
144,2004,FQ,AP19,The cost of natural receipts fruit,Стоимость натуральных поступлений фруктов
145,2004,FQ,AP20,The cost of natural receipts vegetables,Стоимость натуральных поступлений овощей
146,2004,FQ,AP21,The cost of natural receipts potatoes,Стоимость натуральных поступлений картофеля
147,2004,FQ,AP22,The cost of natural receipts sugar and confectionery products,Стоимость натуральных поступлений сахара и кондитерских изделий
148,2004,FQ,AP23,The cost of purchasing tobacco products,Расходы на покупку табачных изделий
149,2004,FQ,AP24,Expenditures for the purchase of clothing and footwear,Расходы на покупку одежды и обуви
150,2004,FQ,AP25,"Costs for housing services, water, electricity, gas and other fuels","Расходы на оплату жилищных услуг, воды, электроэнергии, газа и другого топлива"
151,2004,FQ,AP26,"Expenditures for the purchase of household items, household appliances and daily care of the house","Расходы на покупку предметов домашнего обихода, бытовой техники и на повседневный уход за домом"
152,2004,FQ,AP27,Health expenditures,Расходы на здравоохранение
153,2004,FQ,AP28,Freight costs,Расходы на транспорт
154,2004,FQ,AP29,Communication Costs,Расходы на связь
155,2004,FQ,AP30,Spending on recreation and cultural activities,Расходы на организацию отдыха и культурные мероприятия
156,2004,FQ,AP31,Expenditure on education,Расходы на образование
157,2004,FQ,AP32,Expenses for hotel services,Расходы на гостиничные услуги
158,2004,FQ,AP33,Spending on other goods and services,Расходы на другие товары и услуги
159,2004,FL,PER,development period,Период разработки
160,2004,FL,TER,cipher territory,Шифр территории
161,2004,FL,MEST,Type of settlement,Тип населенного пункта
162,2004,FL,BUD,number budget,Номер бюджета
163,2004,FL,LICO,Code household member (s),Код члена домохозяйства (лица)
164,2004,FL,POL,Paul,Пол
165,2004,FL,R3V4,The number of complete years,Число исполнившихся лет
166,2004,FL,R1V11,Having a job,Наличие работы
167,2004,FL,RABN,The number of working weeks,Число рабочих недель
168,2004,FL,ISKN,The number of weeks of unemployment and finding it,Число недель отсутствия работы и поиска ее
169,2004,FL,OTDN,The number of weeks of unemployment and its refusal to search,Число недель отсутствия работы и отказа от ее поиска
170,2004,FL,R1V16,Status in employment,Статус в занятости
171,2004,FL,R1V17,Category of non-performing,Категория неработавшего
172,2004,FY,PER,development period,Период разработки
173,2004,FY,TER,cipher territory,Шифр территории
174,2004,FY,MEST,Type of settlement,Тип населенного пункта
175,2004,FY,BUD,number budget,Номер бюджета
176,2004,FY,LICO,Code household member (s),Код члена домохозяйства (лица)
177,2004,FY,AP34,Entitlement to old-age pension and seniority,Наличие права на получение пенсии по старости и за выслугу лет
178,2004,FY,AP35,Entitlement to a disability pension,Наличие права на получение пенсии по инвалидности
179,2004,FY,AP36,Having the right to receive a pension survivor,Наличие права на получение пенсии по случаю потери кормильца
180,2004,FY,AP37,Having the right to receive social pensions,Наличие права на получение социальной пенсии
181,2004,FY,AP38,Having the right to receive a monthly allowance for child care up to 1.5 years,"Наличие права на получение ежемесячного пособия по уходу за ребенком до 1,5 лет"
182,2004,FY,AP39,Having the right to receive a monthly allowance for a child under the age of 16,Наличие права на получение ежемесячного пособия на ребенка в возрасте до 16 лет
183,2004,FY,AP40,Entitlement to unemployment benefits,Наличие права на получение пособия по безработице
184,2004,FY,AP41,Eligibility for other benefits,Наличие права на получение других пособий
185,2004,FY,AP42,Eligibility for scholarships,Наличие права на получение стипендии
186,2004,FN,PER,development period,Период разработки
187,2004,FN,TER,cipher territory,Шифр территории
188,2004,FN,MEST,Type of settlement,Тип населенного пункта
189,2004,FN,BUD,number budget,Номер бюджета
190,2004,FN,R2V1,Code of head of household,Код главы домохозяйства
191,2004,FN,R2V7,Type of activity of the household head in the main job,Вид деятельности главы домохозяйства по основному месту работы
192,2004,FN,R2V8,Occupation of head of household on the main job,Занятие главы домохозяйства по основному месту работы
193,2004,FN,R2V9,The main source of livelihood of the household head,Основной источник средств к существованию главы домохозяйства
194,2005,FC,PER,development period,Период разработки
195,2005,FC,TER,cipher territory,Шифр территории
196,2005,FC,MEST,Type of settlement,Тип населенного пункта
197,2005,FC,BUD,number budget,Номер бюджета
198,2005,FC,CHLICN,The number of persons in the household cash,Число наличных лиц в домохозяйстве
199,2005,FC,CHISL,Grouped according to the number of persons per household cash (5 groups),Группировка по числу наличных лиц в домохозяйстве  (5 групп)
200,2005,FC,CHDET,The actual number of children under 16 years,Фактическое число детей до 16 лет
201,2005,FC,CHISD,Grouping by the number of children under 16 in the household (5 groups),Группировка по числу детей до 16 лет в домохозяйстве  (5 групп)
202,2005,FC,DOXODSN,cash income,Денежный доход 
203,2005,FC,RASRESS,disposable resources,Располагаемые ресурсы 
204,2005,FC,DECILR,Deciles of per capita disposable resources,Дециль по среднедушевым располагаемым ресурсам
205,2005,FC,RASSQ,Final consumption expenditure,Расходы на конечное потребление 
206,2005,FC,POTRAS,consumer spending,Потребительские расходы
207,2005,FC,PROD,Expenditure on food,Расходы на покупку продуктов питания
208,2005,FC,PITRES,Spending on food away from home,Расходы на питание вне дома
209,2005,FC,ALK,Expenditures for the purchase of alcoholic beverages,Расходы на покупку алкогольных напитков
210,2005,FC,NEPROD,Expenditures for the purchase of non-food goods,Расходы на покупку непродовольственных товаров
211,2005,FC,USLUG,'Fees,Расходы на оплату услуг
212,2005,FC,NALOG,"Taxes, fees, charges","Налоги, сборы, платежи"
213,2005,FC,DRRAS,other costs,Другие расходы
214,2005,FC,DENRAS,cash expenditures,Денежные расходы
215,2005,FC,FAKT,Increase in financial assets,Прирост финансовых активов
216,2005,FC,NATDOX,receipts in kind,Натуральные поступления
217,2005,FC,R1GV131,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет"
218,2005,FC,R1GV132,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет"
219,2005,FC,R1GV133,"Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней"
220,2005,FC,R1GV134,"Types of benefits, subsidies or compensation, relying household members: housing subsidies","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии"
221,2005,FC,R1GV135,"Types of benefits, subsidies or compensation, relying household members: social benefits to the poor","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: социальное пособие малоимущим"
222,2005,FC,R1GV136,"Types of benefits, subsidies or compensation, relying household members: other benefits or subsidies to certain categories of citizens","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: другие пособия или субсидии отдельным категориям граждан"
223,2005,FC,KVZV,weighting factor,Коэффициент взвешивания
224,2005,FQ,PER,development period,Период разработки
225,2005,FQ,TER,cipher territory,Шифр территории
226,2005,FQ,MEST,Type of settlement,Тип населенного пункта
227,2005,FQ,BUD,number budget,Номер бюджета
228,2005,FQ,AP1,The cost of buying baked goods and cereals,Расходы на покупку хлебобулочных изделий и крупы
229,2005,FQ,AP2,The cost of buying meat and meat products,Расходы на покупку мяса и мясопродуктов
230,2005,FQ,AP3,The cost of buying fish and seafood,Расходы на покупку рыбы и морепродуктов
231,2005,FQ,AP4,"Expenditures for the purchase of dairy products, cheese","Расходы на покупку молочных изделий, сыров"
232,2005,FQ,AP5,The cost of buying eggs,Расходы на покупку яиц
233,2005,FQ,AP6,The cost of buying oil and fats,Расходы на покупку масла и жиров
234,2005,FQ,AP7,The cost of buying fruit,Расходы на покупку фруктов
235,2005,FQ,AP8,The cost of buying vegetables,Расходы на покупку овощей
236,2005,FQ,AP9,The cost of purchasing potatoes,Расходы на покупку картофеля
237,2005,FQ,AP10,Expenditures for the purchase of sugar and confectionery products,Расходы на покупку сахара и кондитерских изделий
238,2005,FQ,AP11,Expenditures for the purchase of other foods,Расходы на покупку других продуктов питания
239,2005,FQ,AP12,Expenditures for the purchase of soft drinks,Расходы на покупку безалкогольных напитков
240,2005,FQ,AP13,The cost of natural receipts of bakery products and cereals,Стоимость натуральных поступлений хлебобулочных изделий и крупы
241,2005,FQ,AP14,The cost of natural receipts of meat and meat products,Стоимость натуральных поступлений мяса и мясопродуктов
242,2005,FQ,AP15,The cost of natural receipts of fish and seafood,Стоимость натуральных поступлений рыбы и морепродуктов
243,2005,FQ,AP16,"The cost of natural receipts dairy products, cheese","Стоимость натуральных поступлений молочных изделий, сыров"
244,2005,FQ,AP17,The cost of natural receipts eggs,Стоимость натуральных поступлений яиц
245,2005,FQ,AP18,The cost of natural oils and fats proceeds,Стоимость натуральных поступлений масла и жиров
246,2005,FQ,AP19,The cost of natural receipts fruit,Стоимость натуральных поступлений фруктов
247,2005,FQ,AP20,The cost of natural receipts vegetables,Стоимость натуральных поступлений овощей
248,2005,FQ,AP21,The cost of natural receipts potatoes,Стоимость натуральных поступлений картофеля
249,2005,FQ,AP22,The cost of natural receipts sugar and confectionery products,Стоимость натуральных поступлений сахара и кондитерских изделий
250,2005,FQ,AP23,The cost of purchasing tobacco products,Расходы на покупку табачных изделий
251,2005,FQ,AP24,Expenditures for the purchase of clothing and footwear,Расходы на покупку одежды и обуви
252,2005,FQ,AP25,"Costs for housing services, water, electricity, gas and other fuels","Расходы на оплату жилищных услуг, воды, электроэнергии, газа и другого топлива"
253,2005,FQ,AP26,"Expenditures for the purchase of household items, household appliances and daily care of the house","Расходы на покупку предметов домашнего обихода, бытовой техники и на повседневный уход за домом"
254,2005,FQ,AP27,Health expenditures,Расходы на здравоохранение
255,2005,FQ,AP29,Freight costs,Расходы на транспорт
256,2005,FQ,AP30,Communication Costs,Расходы на связь
257,2005,FQ,AP31,Spending on recreation and cultural activities,Расходы на организацию отдыха и культурные мероприятия
258,2005,FQ,AP32,Expenditure on education,Расходы на образование
259,2005,FL,PER,development period,Период разработки
260,2005,FL,TER,cipher territory,Шифр территории
261,2005,FL,MEST,Type of settlement,Тип населенного пункта
262,2005,FL,BUD,number budget,Номер бюджета
263,2005,FL,LICO,Code household member (s),Код члена домохозяйства (лица)
264,2005,FL,POL,Paul,Пол
265,2005,FL,R1AV2,The number of complete years,Число исполнившихся лет
266,2005,FL,R1AV10,education Level,Уровень образования
267,2005,FL,R1AV11,Study now,Учеба в настоящее время
268,2005,FL,R1BV1,Having a job in the last 3 months,Наличие работы за последние 3 месяца
269,2005,FL,RABN,Number of working weeks,Число отработанных недель
270,2005,FL,ISKN,The number of weeks of unemployment and search,Число недель отсутствия работы и ее поиска
271,2005,FL,OTDN,The number of weeks of unemployment and its refusal to search,Число недель отсутствия работы и отказа от ее поиска
272,2005,FL,R1BV7,Status in employment in the main job,Статус в занятости по основному месту работы
273,2005,FL,R1BV16,The presence of unemployment benefits,Наличие пособия по безработице
274,2005,FL,R1V17,Category characterizing the position of the last 3 months,"Категория, характеризующая положение за последние 3 месяца"
275,2005,FL,R1GV1,Entitlement to a pension,Наличие права на получении пенсии
276,2005,FL,R1GV21,View granted pension,Вид назначенной пенсии
277,2005,FL,R1GV22,View second granted pension,Вид второй назначенной пенсии
278,2005,FL,R1EV1,Type of educational institution visited,Тип посещаемого образовательного учреждения
279,2005,FL,R1EV4,Ownership attend educational institutions,Форма собственности посещаемого образовательного учреждения
280,2005,FL,R1EV5,Paid or free training,Платное или бесплатное обучение
281,2005,FL,R1EV12,Does the child attend preschool educational institution,Посещает ли ребенок дошкольное образовательное учреждение
282,2005,FL,R1EV13,Ownership attend preschool,Форма собственности посещаемого дошкольного учреждения
283,2005,FN,PER,development period,Период разработки
284,2005,FN,TER,cipher territory,Шифр территории
285,2005,FN,MEST,Type of settlement,Тип населенного пункта
286,2005,FN,BUD,number budget,Номер бюджета
287,2005,FN,R1VV11,Code of head of household,Код главы домохозяйства
288,2005,FN,R1VV12,Code spouse (s) of the household head,Код супруга (и) главы домохозяйства
289,2005,FN,R1VV31,Ownership of the enterprise that is running the household head,"Форма собственности предприятия, на котором работает глава домохозяйства"
290,2005,FN,R1VV32,Ownership of the enterprise that is running the spouse (s) of the household head,"Форма собственности предприятия, на котором работает супруг(а) главы домохозяйства"
291,2005,FN,R1VV41,The main activity of the company in the main job of head of household,Основной вид деятельности предприятия по основному месту работы главы домохозяйства
292,2005,FN,R1VV42,The main activity of the company at the principal place of spouse (s) of the household head,Основной вид деятельности предприятия по основному месту работы супруга(и) главы домохозяйства
293,2005,FN,R1VV51,Occupation of head of household on the main job,Профессия  главы домохозяйства по основному месту работы
294,2005,FN,R1VV52,Occupation of spouse (s) of the household head in the main job,Профессия супруга(и) главы домохозяйства по основному месту работы
295,2005,FN,R2V1,The main source of livelihood of the household,Основной источник средств к существованию домохозяйства
296,2006,FC,PER,development period,Период разработки
297,2006,FC,TER,cipher territory,Шифр территории
298,2006,FC,MEST,Type of settlement,Тип населенного пункта
299,2006,FC,BUD,number budget,Номер бюджета
300,2006,FC,CHLICN,The number of persons in the household cash,Число наличных лиц в домохозяйстве
301,2006,FC,CHISL,Grouped according to the number of persons per household cash (5 groups),Группировка по числу наличных лиц в домохозяйстве  (5 групп)
302,2006,FC,CHDET,The actual number of children under 16 years,Фактическое число детей до 16 лет
303,2006,FC,CHISD,Grouping by the number of children under 16 in the household (5 groups),Группировка по числу детей до 16 лет в домохозяйстве  (5 групп)
304,2006,FC,DOXODSN,cash income,Денежный доход 
305,2006,FC,RASRESS,disposable resources,Располагаемые ресурсы 
306,2006,FC,DECILR,Deciles of per capita disposable resources,Дециль по среднедушевым располагаемым ресурсам
307,2006,FC,RASSQ,Final consumption expenditure,Расходы на конечное потребление 
308,2006,FC,POTRAS,consumer spending,Потребительские расходы
309,2006,FC,PROD,Expenditure on food,Расходы на покупку продуктов питания
310,2006,FC,PITRES,Spending on food away from home,Расходы на питание вне дома
311,2006,FC,ALK,Expenditures for the purchase of alcoholic beverages,Расходы на покупку алкогольных напитков
312,2006,FC,NEPROD,Expenditures for the purchase of non-food goods,Расходы на покупку непродовольственных товаров
313,2006,FC,USLUG,'Fees,Расходы на оплату услуг
314,2006,FC,NALOG,"Taxes, fees, charges","Налоги, сборы, платежи"
315,2006,FC,DRRAS,other costs,Другие расходы
316,2006,FC,DENRAS,cash expenditures,Денежные расходы
317,2006,FC,FAKT,Increase in financial assets,Прирост финансовых активов
318,2006,FC,NATDOX,receipts in kind,Натуральные поступления
319,2006,FC,R1GV131,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет"
320,2006,FC,R1GV132,"Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет"
321,2006,FC,R1GV133,"Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней"
322,2006,FC,R1GV134,"Types of benefits, subsidies or compensation, relying household members: housing subsidies","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии"
323,2006,FC,R1GV135,"Types of benefits, subsidies or compensation, relying household members: social benefits to the poor","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: социальное пособие малоимущим"
324,2006,FC,R1GV136,"Types of benefits, subsidies or compensation, relying household members: other benefits or subsidies to certain categories of citizens","Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: другие пособия или субсидии отдельным категориям граждан"
325,2006,FC,KVZV,weighting factor,Коэффициент взвешивания
326,2006,FQ,PER,development period,Период разработки
327,2006,FQ,TER,cipher territory,Шифр территории
328,2006,FQ,MEST,Type of settlement,Тип населенного пункта
329,2006,FQ,BUD,number budget,Номер бюджета
330,2006,FQ,AP1,The cost of buying baked goods and cereals,Расходы на покупку хлебобулочных изделий и крупы
331,2006,FQ,AP2,The cost of buying meat and meat products,Расходы на покупку мяса и мясопродуктов
332,2006,FQ,AP3,The cost of buying fish and seafood,Расходы на покупку рыбы и морепродуктов
333,2006,FQ,AP4,"Expenditures for the purchase of dairy products, cheese","Расходы на покупку молочных изделий, сыров"
334,2006,FQ,AP5,The cost of buying eggs,Расходы на покупку яиц
335,2006,FQ,AP6,The cost of buying oil and fats,Расходы на покупку масла и жиров
336,2006,FQ,AP7,The cost of buying fruit,Расходы на покупку фруктов
337,2006,FQ,AP8,The cost of buying vegetables,Расходы на покупку овощей
338,2006,FQ,AP9,The cost of purchasing potatoes,Расходы на покупку картофеля
339,2006,FQ,AP10,Expenditures for the purchase of sugar and confectionery products,Расходы на покупку сахара и кондитерских изделий
