varcode,russian,english
rb6.9.3,Кем 6-ой член семьи приходится 3-му члену семьи? ,Who second member of the family has to 3rd family member?
rb6.9.4,Кем 6-ой член семьи приходится 4-му члену семьи? ,Who second family member has the 4th member of the family?
rb6.9.5,Кем 6-ой член семьи приходится 5-му члену семьи? ,Who second family member has the 5th member of the family?
rb7.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind7,индивидуальный номер 7-го члена ,individual number of the 7th member
rb7.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb7.2.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb7.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb7.4,Какого пола этот человек? ,What sex is this person?
rb7.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb7.9.1,Кем 7-ой член семьи приходится 1-му члену семьи? ,Who seventh member of the family has to 1st family member?
rb7.9.2,Кем 7-ой член семьи приходится 2-му члену семьи? ,Who seventh member of the family has to 2nd family member?
rb7.9.3,Кем 7-ой член семьи приходится 3-му члену семьи? ,Who seventh member of the family has to 3rd family member?
rb7.9.4,Кем 7-ой член семьи приходится 4-му члену семьи? ,Who seventh member of the family has to the 4th member of the family?
rb7.9.5,Кем 7-ой член семьи приходится 5-му члену семьи? ,Who seventh family member has the 5th member of the family?
rb7.9.6,Кем 7-ой член семьи приходится 6-му члену семьи? ,Who seventh family member has the 6th member of the family?
rb8.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind8,индивидуальный номер 8-го члена ,individual number of the 8th member
rb8.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb8.2.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb8.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb8.4,Какого пола этот человек? ,What sex is this person?
rb8.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb8.9.1,Кем 8-ой член семьи приходится 1-му члену семьи? ,Who eighth member of the family has to 1st family member?
rb8.9.2,Кем 8-ой член семьи приходится 2-му члену семьи? ,Who eighth member of the family has to 2nd family member?
rb8.9.3,Кем 8-ой член семьи приходится 3-му члену семьи? ,Who eighth member of the family has to 3rd family member?
rb8.9.4,Кем 8-ой член семьи приходится 4-му члену семьи? ,Who eighth member of the family has to the 4th member of the family?
rb8.9.5,Кем 8-ой член семьи приходится 5-му члену семьи? ,Who eighth family member has the 5th member of the family?
rb8.9.6,Кем 8-ой член семьи приходится 6-му члену семьи? ,Who eighth family member has the 6th member of the family?
rb8.9.7,Кем 8-ой член семьи приходится 7-му члену семьи? ,Who eighth family member has the 7th member of the family?
rb9.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind9,индивидуальный номер 9-го члена ,individual number of the 9th member
rb9.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb9.2.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb9.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb9.4,Какого пола этот человек? ,What sex is this person?
rb9.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb9.9.1,Кем 9-ый член семьи приходится 1-му члену семьи? ,Who ninth member of the family has to 1st family member?
rb9.9.2,Кем 9-ый член семьи приходится 2-му члену семьи? ,Who ninth member of the family has to 2nd family member?
rb9.9.3,Кем 9-ый член семьи приходится 3-му члену семьи? ,Who ninth member of the family has to 3rd family member?
rb9.9.4,Кем 9-ый член семьи приходится 4-му члену семьи? ,Who ninth member of the family has to the 4th member of the family?
rb9.9.5,Кем 9-ый член семьи приходится 5-му члену семьи? ,Who ninth family member has the 5th member of the family?
rb9.9.6,Кем 9-ый член семьи приходится 6-му члену семьи? ,Who ninth family member has the 6th member of the family?
rb9.9.7,Кем 9-ый член семьи приходится 7-му члену семьи? ,Who ninth family member has the 7th member of the family?
rb9.9.8,Кем 9-ый член семьи приходится 8-му члену семьи? ,Who ninth family member has the 8th member of the family?
rb10.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind10,индивидуальный номер 10-го члена ,individual number of the 10 th member
rb10.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb102.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb10.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb10.4,Какого пола этот человек? ,What sex is this person?
rb10.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb10.9.1,Кем 10-ый член семьи приходится 1-му члену семьи? ,Who the 10th member of the family has to 1st family member?
rb10.9.2,Кем 10-ый член семьи приходится 2-му члену семьи? ,Who the 10th member of the family has to 2nd family member?
rb10.9.3,Кем 10-ый член семьи приходится 3-му члену семьи? ,Who the 10th member of the family has to 3rd family member?
rb10.9.4,Кем 10-ый член семьи приходится 4-му члену семьи? ,Who the 10th member of the family has to the 4th member of the family?
rb10.9.5,Кем 10-ый член семьи приходится 5-му члену семьи? ,Who the 10th member of the family has to 5th family member?
rb10.9.6,Кем 10-ый член семьи приходится 6-му члену семьи? ,Who the 10th member of the family has to the 6th member of the family?
rb10.9.7,Кем 10-ый член семьи приходится 7-му члену семьи? ,Who the 10th member of the family has to the 7th member of the family?
rb10.9.8,Кем 10-ый член семьи приходится 8-му члену семьи? ,Who the 10th member of the family has to the 8th member of the family?
rb10.9.9,Кем 10-ый член семьи приходится 9-му члену семьи? ,Who the 10th member of the family has to 9th family member?
rb11.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind11,индивидуальный номер 11-го члена ,individual number of the 11th member
rb11.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb112.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb11.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb11.4,Какого пола этот человек? ,What sex is this person?
rb11.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb11.9.1,Кем 11-ый член семьи приходится 1-му члену семьи? ,Who the 11th member of the family has to 1st family member?
rb11.9.2,Кем 11-ый член семьи приходится 2-му члену семьи? ,Who the 11th member of the family has to 2nd family member?
rb11.9.3,Кем 11-ый член семьи приходится 3-му члену семьи? ,Who the 11th member of the family has to 3rd family member?
rb11.9.4,Кем 11-ый член семьи приходится 4-му члену семьи? ,Who the 11th member of the family has to the 4th member of the family?
rb11.9.5,Кем 11-ый член семьи приходится 5-му члену семьи? ,Who the 11th member of the family has to the 5th member of the family?
rb11.9.6,Кем 11-ый член семьи приходится 6-му члену семьи? ,Who the 11th member of the family has to the 6th member of the family?
rb11.9.7,Кем 11-ый член семьи приходится 7-му члену семьи? ,Who the 11th member of the family has to the 7th member of the family?
rb11.9.8,Кем 11-ый член семьи приходится 8-му члену семьи? ,Who the 11th member of the family has to the 8th member of the family?
rb11.9.9,Кем 11-ый член семьи приходится 9-му члену семьи? ,Who the 11th member of the family has to 9th family member?
rb119.10,Кем 11-ый член семьи приходится 10-му члену семьи? ,Who the 11th member of the family has to the 10th member of the family?
rb12.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind12,индивидуальный номер 12-го члена ,individual number of the 12th member
rb12.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb122.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb12.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb12.4,Какого пола этот человек? ,What sex is this person?
rb12.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb12.9.1,Кем 12-ый член семьи приходится 1-му члену семьи? ,Who the 12th member of the family has to 1st family member?
rb12.9.2,Кем 12-ый член семьи приходится 2-му члену семьи? ,Who the 12th member of the family has to 2nd family member?
rb12.9.3,Кем 12-ый член семьи приходится 3-му члену семьи? ,Who the 12th member of the family has to 3rd family member?
rb12.9.4,Кем 12-ый член семьи приходится 4-му члену семьи? ,Who the 12th member of the family has to the 4th member of the family?
rb12.9.5,Кем 12-ый член семьи приходится 5-му члену семьи? ,Who the 12th member of the family has to the 5th member of the family?
rb12.9.6,Кем 12-ый член семьи приходится 6-му члену семьи? ,Who the 12th member of the family has to the 6th member of the family?
rb12.9.7,Кем 12-ый член семьи приходится 7-му члену семьи? ,Who the 12th member of the family has to the 7th member of the family?
rb12.9.8,Кем 12-ый член семьи приходится 8-му члену семьи? ,Who the 12th member of the family has to the 8th member of the family?
rb12.9.9,Кем 12-ый член семьи приходится 9-му члену семьи? ,Who the 12th member of the family has to 9th family member?
rb129.10,Кем 12-ый член семьи приходится 10-му члену семьи? ,Who the 12th member of the family has to the 10th member of the family?
rb129.11,Кем 12-ый член семьи приходится 11-му члену семьи? ,Who the 12th member of the family has to the 11th member of the family?
rb13.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind13,индивидуальный номер 13-го члена ,individual number of the 13th member
rb13.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb132.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb13.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb13.4,Какого пола этот человек? ,What sex is this person?
rb13.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb13.9.1,Кем 13-ый член семьи приходится 1-му члену семьи? ,Who the 13th member of the family has to 1st family member?
rb13.9.2,Кем 13-ый член семьи приходится 2-му члену семьи? ,Who the 13th member of the family has to 2nd family member?
rb13.9.3,Кем 13-ый член семьи приходится 3-му члену семьи? ,Who the 13th member of the family has to 3rd family member?
rb13.9.4,Кем 13-ый член семьи приходится 4-му члену семьи? ,Who the 13th member of the family has to the 4th member of the family?
rb13.9.5,Кем 13-ый член семьи приходится 5-му члену семьи? ,Who the 13th member of the family has to the 5th member of the family?
rb13.9.6,Кем 13-ый член семьи приходится 6-му члену семьи? ,Who the 13th member of the family has to the 6th member of the family?
rb13.9.7,Кем 13-ый член семьи приходится 7-му члену семьи? ,Who the 13th member of the family has to the 7th member of the family?
rb13.9.8,Кем 13-ый член семьи приходится 8-му члену семьи? ,Who the 13th member of the family has to the 8th member of the family?
rb13.9.9,Кем 13-ый член семьи приходится 9-му члену семьи? ,Who the 13th member of the family has to 9th family member?
rb139.10,Кем 13-ый член семьи приходится 10-му члену семьи? ,Who the 13th member of the family has to the 10th member of the family?
rb139.11,Кем 13-ый член семьи приходится 11-му члену семьи? ,Who the 13th member of the family has to the 11th member of the family?
rb139.12,Кем 13-ый член семьи приходится 12-му члену семьи? ,Who the 13th member of the family has to the 12th member of the family?
rb14.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind14,индивидуальный номер 14-го члена ,individual number of the 14th member
rb14.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb142.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb14.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb14.4,Какого пола этот человек? ,What sex is this person?
rb14.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb14.9.1,Кем 14-ый член семьи приходится 1-му члену семьи? ,Who the 14th member of the family has to 1st family member?
rb14.9.2,Кем 14-ый член семьи приходится 2-му члену семьи? ,Who the 14th member of the family has to 2nd family member?
rb14.9.3,Кем 14-ый член семьи приходится 3-му члену семьи? ,Who the 14th member of the family has to 3rd family member?
rb14.9.4,Кем 14-ый член семьи приходится 4-му члену семьи? ,Who the 14th member of the family has to the 4th member of the family?
rb14.9.5,Кем 14-ый член семьи приходится 5-му члену семьи? ,Who the 14th member of the family has to the 5th member of the family?
rb14.9.6,Кем 14-ый член семьи приходится 6-му члену семьи? ,Who the 14th member of the family has to the 6th member of the family?
rb14.9.7,Кем 14-ый член семьи приходится 7-му члену семьи? ,Who the 14th member of the family has to the 7th member of the family?
rb14.9.8,Кем 14-ый член семьи приходится 8-му члену семьи? ,Who the 14th member of the family has to the 8th member of the family?
rb14.9.9,Кем 14-ый член семьи приходится 9-му члену семьи? ,Who the 14th member of the family has to 9th family member?
rb149.10,Кем 14-ый член семьи приходится 10-му члену семьи? ,Who the 14th member of the family has to the 10th member of the family?
rb149.11,Кем 14-ый член семьи приходится 11-му члену семьи? ,Who the 14th member of the family has to the 11th member of the family?
rb149.12,Кем 14-ый член семьи приходится 12-му члену семьи? ,Who the 14th member of the family has to the 12th member of the family?
rb149.13,Кем 14-ый член семьи приходится 13-му члену семьи? ,Who the 14th member of the family has to the 13th member of the family?
rb15.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind15,индивидуальный номер 15-го члена ,individual number of the 15 th member
rb15.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb152.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb15.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb15.4,Какого пола этот человек? ,What sex is this person?
rb15.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb15.9.1,Кем 15-ый член семьи приходится 1-му члену семьи? ,Who the 15th member of the family has to 1st family member?
rb15.9.2,Кем 15-ый член семьи приходится 2-му члену семьи? ,Who the 15th member of the family has to 2nd family member?
rb15.9.3,Кем 15-ый член семьи приходится 3-му члену семьи? ,Who the 15th member of the family has to 3rd family member?
rb15.9.4,Кем 15-ый член семьи приходится 4-му члену семьи? ,Who the 15th member of the family has to the 4th member of the family?
rb15.9.5,Кем 15-ый член семьи приходится 5-му члену семьи? ,Who the 15th member of the family has to the 5th member of the family?
rb15.9.6,Кем 15-ый член семьи приходится 6-му члену семьи? ,Who the 15th member of the family has to the 6th member of the family?
rb15.9.7,Кем 15-ый член семьи приходится 7-му члену семьи? ,Who the 15th member of the family has to the 7th member of the family?
rb15.9.8,Кем 15-ый член семьи приходится 8-му члену семьи? ,Who the 15th member of the family has to the 8th member of the family?
rb15.9.9,Кем 15-ый член семьи приходится 9-му члену семьи? ,Who the 15th member of the family has to 9th family member?
rb159.10,Кем 15-ый член семьи приходится 10-му члену семьи? ,Who the 15th member of the family has to the 10th member of the family?
rb159.11,Кем 15-ый член семьи приходится 11-му члену семьи? ,Who the 15th member of the family has to the 11th member of the family?
rb159.12,Кем 15-ый член семьи приходится 12-му члену семьи? ,Who the 15th member of the family has to the 12th member of the family?
rb159.13,Кем 15-ый член семьи приходится 13-му члену семьи? ,Who the 15th member of the family has to the 13th member of the family?
rb159.14,Кем 15-ый член семьи приходится 14-му члену семьи? ,Who the 15th member of the family has to the 14th member of the family?
rb16.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind16,индивидуальный номер 16-го члена ,individual number of the 16th member
rb16.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb162.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb16.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb16.4,Какого пола этот человек? ,What sex is this person?
rb16.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb16.9.1,Кем 16-ый член семьи приходится 1-му члену семьи? ,Who the 16th member of the family has to 1st family member?
rb16.9.2,Кем 16-ый член семьи приходится 2-му члену семьи? ,Who the 16th member of the family has to 2nd family member?
rb16.9.3,Кем 16-ый член семьи приходится 3-му члену семьи? ,Who the 16th member of the family has to 3rd family member?
rb16.9.4,Кем 16-ый член семьи приходится 4-му члену семьи? ,Who the 16th member of the family has to the 4th member of the family?
rb16.9.5,Кем 16-ый член семьи приходится 5-му члену семьи? ,Who the 16th member of the family has to 5th family member?
rb16.9.6,Кем 16-ый член семьи приходится 6-му члену семьи? ,Who the 16th member of the family has to the 6th member of the family?
rb16.9.7,Кем 16-ый член семьи приходится 7-му члену семьи? ,Who the 16th member of the family has to the 7th member of the family?
rb16.9.8,Кем 16-ый член семьи приходится 8-му члену семьи? ,Who the 16th member of the family has to the 8th member of the family?
rb16.9.9,Кем 16-ый член семьи приходится 9-му члену семьи? ,Who the 16th member of the family has to 9th family member?
rb169.10,Кем 16-ый член семьи приходится 10-му члену семьи? ,Who the 16th member of the family has to the 10th member of the family?
rb169.11,Кем 16-ый член семьи приходится 11-му члену семьи? ,Who the 16th member of the family has to the 11th member of the family?
rb169.12,Кем 16-ый член семьи приходится 12-му члену семьи? ,Who the 16th member of the family has to the 12th member of the family?
rb169.13,Кем 16-ый член семьи приходится 13-му члену семьи? ,Who the 16th member of the family has to the 13th member of the family?
rb169.14,Кем 16-ый член семьи приходится 14-му члену семьи? ,Who the 16th member of the family has to the 14th member of the family?
rb169.15,Кем 16-ый член семьи приходится 15-му члену семьи? ,Who the 16th member of the family has to the 15th member of the family?
rb17.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind17,индивидуальный номер 17-го члена ,individual number of the 17 th member
rb17.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb172.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb17.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb17.4,Какого пола этот человек? ,What sex is this person?
rb17.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb17.9.1,Кем 17-ый член семьи приходится 1-му члену семьи? ,Who the 17th member of the family has to 1st family member?
rb17.9.2,Кем 17-ый член семьи приходится 2-му члену семьи? ,Who the 17th member of the family has to 2nd family member?
rb17.9.3,Кем 17-ый член семьи приходится 3-му члену семьи? ,Who the 17th member of the family has to 3rd family member?
