,year,file,var,russian,english
164,2004,FL,POL,Пол,Paul
165,2004,FL,R3V4,Число исполнившихся лет,The number of complete years
166,2004,FL,R1V11,Наличие работы,Having a job
167,2004,FL,RABN,Число рабочих недель,The number of working weeks
168,2004,FL,ISKN,Число недель отсутствия работы и поиска ее,The number of weeks of unemployment and finding it
169,2004,FL,OTDN,Число недель отсутствия работы и отказа от ее поиска,The number of weeks of unemployment and its refusal to search
170,2004,FL,R1V16,Статус в занятости,Status in employment
171,2004,FL,R1V17,Категория неработавшего,Category of non-performing
172,2004,FY,PER,Период разработки,development period
173,2004,FY,TER,Шифр территории,cipher territory
174,2004,FY,MEST,Тип населенного пункта,Type of settlement
175,2004,FY,BUD,Номер бюджета,number budget
176,2004,FY,LICO,Код члена домохозяйства (лица),Code household member (s)
177,2004,FY,AP34,Наличие права на получение пенсии по старости и за выслугу лет,Entitlement to old-age pension and seniority
178,2004,FY,AP35,Наличие права на получение пенсии по инвалидности,Entitlement to a disability pension
179,2004,FY,AP36,Наличие права на получение пенсии по случаю потери кормильца,Having the right to receive a pension survivor
180,2004,FY,AP37,Наличие права на получение социальной пенсии,Having the right to receive social pensions
181,2004,FY,AP38,"Наличие права на получение ежемесячного пособия по уходу за ребенком до 1,5 лет",Having the right to receive a monthly allowance for child care up to 1.5 years
182,2004,FY,AP39,Наличие права на получение ежемесячного пособия на ребенка в возрасте до 16 лет,Having the right to receive a monthly allowance for a child under the age of 16
183,2004,FY,AP40,Наличие права на получение пособия по безработице,Entitlement to unemployment benefits
184,2004,FY,AP41,Наличие права на получение других пособий,Eligibility for other benefits
185,2004,FY,AP42,Наличие права на получение стипендии,Eligibility for scholarships
186,2004,FN,PER,Период разработки,development period
187,2004,FN,TER,Шифр территории,cipher territory
188,2004,FN,MEST,Тип населенного пункта,Type of settlement
189,2004,FN,BUD,Номер бюджета,number budget
190,2004,FN,R2V1,Код главы домохозяйства,Code of head of household
191,2004,FN,R2V7,Вид деятельности главы домохозяйства по основному месту работы,Type of activity of the household head in the main job
192,2004,FN,R2V8,Занятие главы домохозяйства по основному месту работы,Occupation of head of household on the main job
193,2004,FN,R2V9,Основной источник средств к существованию главы домохозяйства,The main source of livelihood of the household head
194,2005,FC,PER,Период разработки,development period
195,2005,FC,TER,Шифр территории,cipher territory
196,2005,FC,MEST,Тип населенного пункта,Type of settlement
197,2005,FC,BUD,Номер бюджета,number budget
198,2005,FC,CHLICN,Число наличных лиц в домохозяйстве,The number of persons in the household cash
199,2005,FC,CHISL,Группировка по числу наличных лиц в домохозяйстве  (5 групп),Grouped according to the number of persons per household cash (5 groups)
200,2005,FC,CHDET,Фактическое число детей до 16 лет,The actual number of children under 16 years
201,2005,FC,CHISD,Группировка по числу детей до 16 лет в домохозяйстве  (5 групп),Grouping by the number of children under 16 in the household (5 groups)
202,2005,FC,DOXODSN,Денежный доход ,cash income
203,2005,FC,RASRESS,Располагаемые ресурсы ,disposable resources
204,2005,FC,DECILR,Дециль по среднедушевым располагаемым ресурсам,Deciles of per capita disposable resources
205,2005,FC,RASSQ,Расходы на конечное потребление ,Final consumption expenditure
206,2005,FC,POTRAS,Потребительские расходы,consumer spending
207,2005,FC,PROD,Расходы на покупку продуктов питания,Expenditure on food
208,2005,FC,PITRES,Расходы на питание вне дома,Spending on food away from home
209,2005,FC,ALK,Расходы на покупку алкогольных напитков,Expenditures for the purchase of alcoholic beverages
210,2005,FC,NEPROD,Расходы на покупку непродовольственных товаров,Expenditures for the purchase of non-food goods
211,2005,FC,USLUG,Расходы на оплату услуг,'Fees
212,2005,FC,NALOG,"Налоги, сборы, платежи","Taxes, fees, charges"
213,2005,FC,DRRAS,Другие расходы,other costs
214,2005,FC,DENRAS,Денежные расходы,cash expenditures
215,2005,FC,FAKT,Прирост финансовых активов,Increase in financial assets
216,2005,FC,NATDOX,Натуральные поступления,receipts in kind
217,2005,FC,R1GV131,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет","Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years"
218,2005,FC,R1GV132,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет","Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16"
219,2005,FC,R1GV133,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней","Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen"
220,2005,FC,R1GV134,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии","Types of benefits, subsidies or compensation, relying household members: housing subsidies"
221,2005,FC,R1GV135,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: социальное пособие малоимущим","Types of benefits, subsidies or compensation, relying household members: social benefits to the poor"
222,2005,FC,R1GV136,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: другие пособия или субсидии отдельным категориям граждан","Types of benefits, subsidies or compensation, relying household members: other benefits or subsidies to certain categories of citizens"
223,2005,FC,KVZV,Коэффициент взвешивания,weighting factor
224,2005,FQ,PER,Период разработки,development period
225,2005,FQ,TER,Шифр территории,cipher territory
226,2005,FQ,MEST,Тип населенного пункта,Type of settlement
227,2005,FQ,BUD,Номер бюджета,number budget
228,2005,FQ,AP1,Расходы на покупку хлебобулочных изделий и крупы,The cost of buying baked goods and cereals
229,2005,FQ,AP2,Расходы на покупку мяса и мясопродуктов,The cost of buying meat and meat products
230,2005,FQ,AP3,Расходы на покупку рыбы и морепродуктов,The cost of buying fish and seafood
231,2005,FQ,AP4,"Расходы на покупку молочных изделий, сыров","Expenditures for the purchase of dairy products, cheese"
232,2005,FQ,AP5,Расходы на покупку яиц,The cost of buying eggs
233,2005,FQ,AP6,Расходы на покупку масла и жиров,The cost of buying oil and fats
234,2005,FQ,AP7,Расходы на покупку фруктов,The cost of buying fruit
235,2005,FQ,AP8,Расходы на покупку овощей,The cost of buying vegetables
236,2005,FQ,AP9,Расходы на покупку картофеля,The cost of purchasing potatoes
237,2005,FQ,AP10,Расходы на покупку сахара и кондитерских изделий,Expenditures for the purchase of sugar and confectionery products
238,2005,FQ,AP11,Расходы на покупку других продуктов питания,Expenditures for the purchase of other foods
239,2005,FQ,AP12,Расходы на покупку безалкогольных напитков,Expenditures for the purchase of soft drinks
240,2005,FQ,AP13,Стоимость натуральных поступлений хлебобулочных изделий и крупы,The cost of natural receipts of bakery products and cereals
241,2005,FQ,AP14,Стоимость натуральных поступлений мяса и мясопродуктов,The cost of natural receipts of meat and meat products
242,2005,FQ,AP15,Стоимость натуральных поступлений рыбы и морепродуктов,The cost of natural receipts of fish and seafood
243,2005,FQ,AP16,"Стоимость натуральных поступлений молочных изделий, сыров","The cost of natural receipts dairy products, cheese"
244,2005,FQ,AP17,Стоимость натуральных поступлений яиц,The cost of natural receipts eggs
245,2005,FQ,AP18,Стоимость натуральных поступлений масла и жиров,The cost of natural oils and fats proceeds
246,2005,FQ,AP19,Стоимость натуральных поступлений фруктов,The cost of natural receipts fruit
247,2005,FQ,AP20,Стоимость натуральных поступлений овощей,The cost of natural receipts vegetables
248,2005,FQ,AP21,Стоимость натуральных поступлений картофеля,The cost of natural receipts potatoes
249,2005,FQ,AP22,Стоимость натуральных поступлений сахара и кондитерских изделий,The cost of natural receipts sugar and confectionery products
250,2005,FQ,AP23,Расходы на покупку табачных изделий,The cost of purchasing tobacco products
251,2005,FQ,AP24,Расходы на покупку одежды и обуви,Expenditures for the purchase of clothing and footwear
252,2005,FQ,AP25,"Расходы на оплату жилищных услуг, воды, электроэнергии, газа и другого топлива","Costs for housing services, water, electricity, gas and other fuels"
253,2005,FQ,AP26,"Расходы на покупку предметов домашнего обихода, бытовой техники и на повседневный уход за домом","Expenditures for the purchase of household items, household appliances and daily care of the house"
254,2005,FQ,AP27,Расходы на здравоохранение,Health expenditures
255,2005,FQ,AP29,Расходы на транспорт,Freight costs
256,2005,FQ,AP30,Расходы на связь,Communication Costs
257,2005,FQ,AP31,Расходы на организацию отдыха и культурные мероприятия,Spending on recreation and cultural activities
258,2005,FQ,AP32,Расходы на образование,Expenditure on education
259,2005,FL,PER,Период разработки,development period
260,2005,FL,TER,Шифр территории,cipher territory
261,2005,FL,MEST,Тип населенного пункта,Type of settlement
262,2005,FL,BUD,Номер бюджета,number budget
263,2005,FL,LICO,Код члена домохозяйства (лица),Code household member (s)
264,2005,FL,POL,Пол,Paul
265,2005,FL,R1AV2,Число исполнившихся лет,The number of complete years
266,2005,FL,R1AV10,Уровень образования,education Level
267,2005,FL,R1AV11,Учеба в настоящее время,Study now
268,2005,FL,R1BV1,Наличие работы за последние 3 месяца,Having a job in the last 3 months
269,2005,FL,RABN,Число отработанных недель,Number of working weeks
270,2005,FL,ISKN,Число недель отсутствия работы и ее поиска,The number of weeks of unemployment and search
271,2005,FL,OTDN,Число недель отсутствия работы и отказа от ее поиска,The number of weeks of unemployment and its refusal to search
272,2005,FL,R1BV7,Статус в занятости по основному месту работы,Status in employment in the main job
273,2005,FL,R1BV16,Наличие пособия по безработице,The presence of unemployment benefits
274,2005,FL,R1V17,"Категория, характеризующая положение за последние 3 месяца",Category characterizing the position of the last 3 months
275,2005,FL,R1GV1,Наличие права на получении пенсии,Entitlement to a pension
276,2005,FL,R1GV21,Вид назначенной пенсии,View granted pension
277,2005,FL,R1GV22,Вид второй назначенной пенсии,View second granted pension
278,2005,FL,R1EV1,Тип посещаемого образовательного учреждения,Type of educational institution visited
279,2005,FL,R1EV4,Форма собственности посещаемого образовательного учреждения,Ownership attend educational institutions
280,2005,FL,R1EV5,Платное или бесплатное обучение,Paid or free training
281,2005,FL,R1EV12,Посещает ли ребенок дошкольное образовательное учреждение,Does the child attend preschool educational institution
282,2005,FL,R1EV13,Форма собственности посещаемого дошкольного учреждения,Ownership attend preschool
283,2005,FN,PER,Период разработки,development period
284,2005,FN,TER,Шифр территории,cipher territory
285,2005,FN,MEST,Тип населенного пункта,Type of settlement
286,2005,FN,BUD,Номер бюджета,number budget
287,2005,FN,R1VV11,Код главы домохозяйства,Code of head of household
288,2005,FN,R1VV12,Код супруга (и) главы домохозяйства,Code spouse (s) of the household head
289,2005,FN,R1VV31,"Форма собственности предприятия, на котором работает глава домохозяйства",Ownership of the enterprise that is running the household head
290,2005,FN,R1VV32,"Форма собственности предприятия, на котором работает супруг(а) главы домохозяйства",Ownership of the enterprise that is running the spouse (s) of the household head
291,2005,FN,R1VV41,Основной вид деятельности предприятия по основному месту работы главы домохозяйства,The main activity of the company in the main job of head of household
292,2005,FN,R1VV42,Основной вид деятельности предприятия по основному месту работы супруга(и) главы домохозяйства,The main activity of the company at the principal place of spouse (s) of the household head
293,2005,FN,R1VV51,Профессия  главы домохозяйства по основному месту работы,Occupation of head of household on the main job
294,2005,FN,R1VV52,Профессия супруга(и) главы домохозяйства по основному месту работы,Occupation of spouse (s) of the household head in the main job
295,2005,FN,R2V1,Основной источник средств к существованию домохозяйства,The main source of livelihood of the household
296,2006,FC,PER,Период разработки,development period
297,2006,FC,TER,Шифр территории,cipher territory
298,2006,FC,MEST,Тип населенного пункта,Type of settlement
299,2006,FC,BUD,Номер бюджета,number budget
300,2006,FC,CHLICN,Число наличных лиц в домохозяйстве,The number of persons in the household cash
301,2006,FC,CHISL,Группировка по числу наличных лиц в домохозяйстве  (5 групп),Grouped according to the number of persons per household cash (5 groups)
302,2006,FC,CHDET,Фактическое число детей до 16 лет,The actual number of children under 16 years
303,2006,FC,CHISD,Группировка по числу детей до 16 лет в домохозяйстве  (5 групп),Grouping by the number of children under 16 in the household (5 groups)
304,2006,FC,DOXODSN,Денежный доход ,cash income
305,2006,FC,RASRESS,Располагаемые ресурсы ,disposable resources
306,2006,FC,DECILR,Дециль по среднедушевым располагаемым ресурсам,Deciles of per capita disposable resources
307,2006,FC,RASSQ,Расходы на конечное потребление ,Final consumption expenditure
308,2006,FC,POTRAS,Потребительские расходы,consumer spending
309,2006,FC,PROD,Расходы на покупку продуктов питания,Expenditure on food
310,2006,FC,PITRES,Расходы на питание вне дома,Spending on food away from home
311,2006,FC,ALK,Расходы на покупку алкогольных напитков,Expenditures for the purchase of alcoholic beverages
312,2006,FC,NEPROD,Расходы на покупку непродовольственных товаров,Expenditures for the purchase of non-food goods
313,2006,FC,USLUG,Расходы на оплату услуг,'Fees
314,2006,FC,NALOG,"Налоги, сборы, платежи","Taxes, fees, charges"
315,2006,FC,DRRAS,Другие расходы,other costs
316,2006,FC,DENRAS,Денежные расходы,cash expenditures
317,2006,FC,FAKT,Прирост финансовых активов,Increase in financial assets
318,2006,FC,NATDOX,Натуральные поступления,receipts in kind
319,2006,FC,R1GV131,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие по уходу за ребенком до 1,5 лет","Types of benefits, subsidies or compensation, relying household members: a monthly allowance for child care up to 1.5 years"
320,2006,FC,R1GV132,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: ежемесячное пособие на ребенка до 16 лет","Types of benefits, subsidies or compensation, relying household members: a monthly allowance for a child under the age of 16"
321,2006,FC,R1GV133,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: бесплатное пользование молочной кухней","Types of benefits, subsidies or compensation, relying household members: free use of dairy kitchen"
322,2006,FC,R1GV134,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: жилищные субсидии","Types of benefits, subsidies or compensation, relying household members: housing subsidies"
323,2006,FC,R1GV135,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: социальное пособие малоимущим","Types of benefits, subsidies or compensation, relying household members: social benefits to the poor"
324,2006,FC,R1GV136,"Виды пособий, субсидий или компенсаций, полагающихся членам домохозяйства: другие пособия или субсидии отдельным категориям граждан","Types of benefits, subsidies or compensation, relying household members: other benefits or subsidies to certain categories of citizens"
325,2006,FC,KVZV,Коэффициент взвешивания,weighting factor
326,2006,FQ,PER,Период разработки,development period
327,2006,FQ,TER,Шифр территории,cipher territory
328,2006,FQ,MEST,Тип населенного пункта,Type of settlement
329,2006,FQ,BUD,Номер бюджета,number budget
330,2006,FQ,AP1,Расходы на покупку хлебобулочных изделий и крупы,The cost of buying baked goods and cereals
331,2006,FQ,AP2,Расходы на покупку мяса и мясопродуктов,The cost of buying meat and meat products
332,2006,FQ,AP3,Расходы на покупку рыбы и морепродуктов,The cost of buying fish and seafood
333,2006,FQ,AP4,"Расходы на покупку молочных изделий, сыров","Expenditures for the purchase of dairy products, cheese"
334,2006,FQ,AP5,Расходы на покупку яиц,The cost of buying eggs
335,2006,FQ,AP6,Расходы на покупку масла и жиров,The cost of buying oil and fats
336,2006,FQ,AP7,Расходы на покупку фруктов,The cost of buying fruit
337,2006,FQ,AP8,Расходы на покупку овощей,The cost of buying vegetables
338,2006,FQ,AP9,Расходы на покупку картофеля,The cost of purchasing potatoes
339,2006,FQ,AP10,Расходы на покупку сахара и кондитерских изделий,Expenditures for the purchase of sugar and confectionery products
340,2006,FQ,AP11,Расходы на покупку других продуктов питания,Expenditures for the purchase of other foods
